,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,drb,rfid
0,ztf,58860.2784258998,1106278423315015001,2,1106278423315,19.3626,1,1106,3.01872,19.5862,19.1739,0.207383,0.2983,100.1807288,42.1286029,0.197143,t17_f5_c3,19.1354,0.3698,False,False,False,bulk_1.0.0,0.0,1113219433315015004,,,,,
1,ztf,58861.118159700185,1107118153315015004,1,1107118153315,20.161043,1,1107,0.85389537,19.522427,19.3394,0.19662197,0.145,100.1808579,42.1284716,0.6571429,t17_f5_c3,19.3882,0.1938,False,True,False,bulk_1.0.0,0.0,1113219433315015004,19.4538,0.18348184,0.1845785,0.9996722,705120133.0
2,ztf,58862.308854199946,1108308853315015007,2,1108308853315,19.938776,1,1108,3.284908,19.31529,19.7225,0.14351234,0.2926,100.1807862,42.1285398,0.75857145,t17_f5_c3,19.5237,0.3128,False,False,False,bulk_1.0.0,0.0,1138281873315015001,,,,0.9999907,705120233.0
3,ztf,58863.22454860015,1109224543315015004,2,1109224543315,19.300978,1,1109,2.832497,19.291294,19.7123,0.19993722,0.5167,100.1806748,42.128636,0.7242857,t17_f5_c3,19.7926,0.7143,False,False,False,bulk_1.0.0,0.0,1138281873315015001,,,,0.999918,705120233.0
4,ztf,58864.15559029998,1110155593315015005,1,1110155593315,20.6864,1,1110,0.8849918,19.085592,19.067,0.10046178,0.0902,100.1808088,42.1285479,0.9342857,t17_f5_c3,19.1684,0.1259,False,True,False,bulk_1.0.0,0.0,1138281873315015001,19.03922,0.09527951,0.0962614,0.9999994,705120133.0
5,ztf,58864.19439810002,1110194393315015006,1,1110194393315,20.744032,1,1110,0.9034444,19.191282,19.1355,0.1301076,0.089,100.1808186,42.1285466,0.8414286,t17_f5_c3,19.0505,0.1046,False,True,False,bulk_1.0.0,0.0,1138281873315015001,19.14028,0.12322115,0.124137044,0.99999374,705120133.0
6,ztf,58864.2215741002,1110221573315015002,2,1110221573315,20.604828,1,1110,3.2433076,19.22361,19.0988,0.095677994,0.0984,100.1807894,42.1285607,0.8842857,t17_f5_c3,19.025,0.1172,False,False,False,bulk_1.0.0,0.0,1138281873315015001,,,,0.99943185,705120233.0
7,ztf,58867.219432900194,1113219433315015004,1,1113219433315,20.70223,1,1113,0.89293665,18.880512,18.8136,0.082536295,0.0708,100.1808136,42.1285457,0.93714285,t17_f5_c3,18.8296,0.091,False,True,False,bulk_1.0.0,0.0,1138281873315015001,18.841982,0.07883351,0.07965865,0.9999995,705120133.0
8,ztf,58867.2666782001,1113266673315015004,2,1113266673315,20.48129,1,1113,3.3285732,18.98922,18.9761,0.0771084,0.0977,100.1808045,42.1285366,0.8971428,t17_f5_c3,18.8874,0.1148,False,False,False,bulk_1.0.0,0.0,1138281873315015001,,,,0.999696,705120233.0
9,ztf,58873.172326399945,1119172323315015006,2,1119172323315,20.492136,1,1119,3.2460692,18.901762,19.0044,0.06856193,0.0994,100.1808084,42.1285671,0.8414286,t17_f5_c3,18.9484,0.1204,False,False,False,bulk_1.0.0,0.0,1138281873315015001,,,,0.9998511,705120233.0
10,ztf,58875.214213000145,1121214213315015004,2,1121214213315,20.462967,1,1121,3.2843933,19.004253,19.1864,0.07673616,0.1075,100.1807907,42.1285441,0.89857143,t17_f5_c3,19.2239,0.1417,False,False,False,bulk_1.0.0,0.0,1124159913315015002,,,,0.9999994,705120233.0
11,ztf,58876.18145829998,1122181453315025003,1,1122181453315,20.7144,1,1122,0.937343,19.0594,19.0975,0.091768,0.0889,100.1808214,42.1285626,0.938571,t17_f5_c3,19.1158,0.1149,False,True,False,bulk_1.0.0,0.0,1138281873315015001,19.01411,0.08699277,0.08801882,,
