,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase
0,ztf,59278.294976899866,1524294971015015002,1,1524294971015,20.188282,1,1524,4.301861,18.863857,18.7518,0.085563496,0.0943,152.3993933,-13.0421399,0.80285716,t17_f5_c3,0.99999976,18.739,0.1163,366120110.0,True,False,False,correction_0.0.1,0.0
1,ztf,59281.24773149984,1527247731015015007,2,1527247731015,20.268225,1,1527,4.130006,18.159178,18.1042,0.06334276,0.0581,152.3994434,-13.0420642,0.70857143,t17_f5_c3,0.9999796,18.1376,0.0733,366120210.0,True,False,False,correction_0.0.1,0.0
2,ztf,59281.315069399774,1527315061015015009,1,1527315061015,20.129856,1,1527,4.3348074,18.419666,18.3967,0.08972917,0.0584,152.3994512,-13.0420738,0.44714287,t17_f5_c3,0.999997,18.4455,0.0762,366120110.0,True,False,False,correction_0.0.1,0.0
3,ztf,59291.2355324002,1537235531015015013,2,1537235531015,20.373621,1,1537,4.176691,17.964237,18.0497,0.053370032,0.0624,152.3994097,-13.0420801,0.9257143,t17_f5_c3,0.99993205,18.0778,0.078,366120210.0,True,False,False,correction_0.0.1,0.0
4,ztf,59293.231944399886,1539231941015015006,2,1539231941015,20.074537,1,1539,4.271239,18.082886,18.1636,0.073021896,0.0712,152.3994015,-13.0420504,0.81857145,t17_f5_c3,1.0,18.1142,0.0844,366120210.0,True,False,False,correction_0.0.1,0.0
5,ztf,59293.27670140006,1539276701015015005,1,1539276701015,20.282757,1,1539,4.299073,19.15892,19.4575,0.09341621,0.1815,152.3994217,-13.0421183,0.8428571,t17_f5_c3,0.9999999,19.6951,0.2819,366120110.0,True,False,False,correction_0.0.1,0.0
6,ztf,59296.24938660022,1542249381015015007,2,1542249381015,19.721628,1,1542,4.21167,18.255072,18.2373,0.06310556,0.1021,152.3993982,-13.0420746,0.8971428,t17_f5_c3,1.0,18.3037,0.1363,366120210.0,True,False,False,correction_0.0.1,0.0
7,ztf,59302.24237270001,1548242371015015002,2,1548242371015,19.1814,1,1548,4.01474,18.6474,18.776,0.122226,0.2857,152.3994446,-13.0421066,0.89,t17_f5_c3,,18.4969,0.2817,,False,False,False,correction_0.0.1,0.0
8,ztf,59304.27425929997,1550274251015015001,2,1550274251015,19.255001,1,1550,4.1690316,19.028404,18.7894,0.183838,0.2168,152.3994868,-13.042018,0.68142855,t17_f5_c3,0.9999999,18.8593,0.293,366120210.0,True,False,False,correction_0.0.1,0.0
9,ztf,59307.15415510023,1553154151015015010,1,1553154151015,20.383408,1,1553,3.9880202,20.048136,19.7666,0.2154256,0.23,152.3994435,-13.0422163,0.46,t17_f5_c3,0.9983315,19.8426,0.3073,366120110.0,True,False,False,correction_0.0.1,0.0
10,ztf,59309.211458299775,1555211451015015012,2,1555211451015,20.417456,1,1555,4.212418,19.553968,19.943,0.13375811,0.3448,152.3994017,-13.0420695,0.6642857,t17_f5_c3,0.9999896,19.6891,0.3341,366120210.0,True,False,False,correction_0.0.1,0.0
11,ztf,59311.168576399796,1557168571015015005,2,1557168571015,19.40387,1,1557,4.5547333,19.449434,19.3443,0.19462217,0.4161,152.399381,-13.0419609,0.75,t17_f5_c3,0.99996877,19.4666,0.5891,366120210.0,True,False,False,correction_0.0.1,0.0
12,ztf,59317.190787000116,1563190781015015011,2,1563190781015,20.547956,1,1563,4.4730577,20.013128,19.7606,0.17742282,0.2554,152.399355,-13.0420167,0.68285716,t17_f5_c3,0.99999124,19.5952,0.2675,366120210.0,True,False,False,correction_0.0.1,0.0
13,ztf,59322.23324069986,1568233241015015005,2,1568233241015,20.001848,1,1568,4.2595553,19.91691,19.7282,0.21539617,0.3587,152.3993947,-13.0420579,0.64285713,t17_f5_c3,0.99904084,20.0399,0.597,366120210.0,True,False,False,correction_0.0.1,0.0
