,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext
0,ztf,59622.46353009995,1868463534415015009,1,1868463534415,19.8438,1,1868,1.60575,19.8695,19.9104,0.274466,0.3043,175.5222353,56.2107743,0.384286,t17_f5_c3,19.6402,0.3043,False,False,False,correction_1.0.6,0.0,1.868527364415015e+18,,,,,
1,ztf,59622.527361100074,1868527364415015008,2,1868527364415,20.365005,1,1868,2.2222762,19.803339,19.7093,0.13431504,0.2039,175.5220908,56.2106984,0.7728571,t17_f5_c3,19.591,0.2334,True,False,False,correction_1.0.6,0.0,,0.9999036,789120244.0,,,
2,ztf,59623.349085600115,1869349083215015005,2,1869349083215,19.772064,1,1869,0.65628815,19.933098,20.1604,0.2020374,0.5036,175.5222031,56.2107199,0.68142855,t17_f5_c3,19.5505,0.3687,True,True,True,correction_1.0.6,0.0,,0.99978435,788120232.0,19.436628,0.117437474,0.12789217
3,ztf,59624.38640049985,1870386404415015007,2,1870386404415,19.9637,1,1870,2.2591574,19.99811,20.6452,0.17702696,0.7753,175.522123,56.2106887,0.8371429,t17_f5_c3,20.5135,0.8807,True,False,False,correction_1.0.6,0.0,,0.99995494,789120244.0,,,
4,ztf,59624.51082180021,1870510824415015002,1,1870510824415,19.7788,1,1870,1.99633,20.1073,20.1037,0.282654,0.5116,175.5221267,56.2106602,0.574286,t17_f5_c3,20.5016,0.9477,False,False,False,correction_1.0.6,0.0,1.882406384415015e+18,,,,,
5,ztf,59629.348437500186,1875348434415015012,2,1875348434415,19.9509,1,1875,2.00897,20.2404,20.3277,0.258446,0.5505,175.5222271,56.2107646,0.651429,t17_f5_c3,20.6211,0.925,False,False,False,correction_1.0.6,0.0,1.882406384415015e+18,,,,,
6,ztf,59636.40638889978,1882406384415015015,2,1882406384415,20.532482,1,1882,2.2952228,20.427902,20.6749,0.20531817,0.4497,175.5219313,56.2106838,0.7657143,t17_f5_c3,20.8395,0.6676,True,False,False,correction_1.0.6,0.0,,0.9998553,789120244.0,,,
7,ztf,59636.40737270005,1882407373215015008,2,1882407373215,20.4406,1,1882,0.768354,20.4587,20.1714,0.234976,0.3032,175.5222305,56.2106929,0.325714,t17_f5_c3,19.7409,0.2604,False,True,True,correction_1.0.6,0.0,1.885263324415015e+18,,,19.73877,0.10091641,0.12107403
8,ztf,59636.444861100055,1882444864415015008,1,1882444864415,20.3917,1,1882,1.98822,20.6,20.2892,0.228952,0.2836,175.5220604,56.2106635,0.501429,t17_f5_c3,20.1244,0.3112,False,False,False,correction_1.0.6,0.0,1.885263324415015e+18,,,,,
9,ztf,59639.26332180016,1885263324415015007,2,1885263324415,20.238745,1,1885,2.1080499,20.25456,20.2899,0.21581133,0.3514,175.5222428,56.2107374,0.57285714,t17_f5_c3,20.1671,0.4009,True,False,False,correction_1.0.6,0.0,,0.9986923,789120244.0,,,
10,ztf,59639.31869209977,1885318694415015004,1,1885318694415,20.2795,1,1885,1.99795,20.6256,20.2926,0.312711,0.2793,175.5222444,56.2106638,0.314286,t17_f5_c3,20.3869,0.3886,False,False,False,correction_1.0.6,0.0,1.887323324415015e+18,,,,,
11,ztf,59641.30629630014,1887306293215015009,2,1887306293215,20.2996,1,1887,0.460724,20.6367,20.6821,0.270363,0.5819,175.5220076,56.2107305,0.661429,t17_f5_c3,20.7437,0.7875,False,True,True,correction_1.0.6,0.0,1.887323324415015e+18,,,19.82684,0.10574018,0.12823392
12,ztf,59641.32332180021,1887323324415015005,2,1887323324415,20.569515,1,1887,2.1381845,20.531164,20.8187,0.20873846,0.5184,175.5222515,56.21073,0.70714283,t17_f5_c3,20.5879,0.5353,True,False,False,correction_1.0.6,0.0,,0.9998654,789120244.0,,,
13,ztf,59671.33225690015,1917332253215015007,2,1917332253215,20.6149,1,1917,0.650536,20.8951,21.3376,0.335039,0.7879,175.5220409,56.21068,0.505714,t17_f5_c3,21.5629,1.2369,False,True,True,correction_1.0.6,0.0,1.917369744415015e+18,,,19.94178,0.113508046,0.1392412
14,ztf,59671.3697453998,1917369744415015009,2,1917369744415,20.766863,1,1917,2.2441092,20.470295,20.4824,0.21020679,0.3377,175.522115,56.2106923,0.54285717,t17_f5_c3,20.3164,0.3693,True,False,False,correction_1.0.6,0.0,,0.9998888,789120244.0,,,
