,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase
0,ztf,59290.31459489977,1536314595815015002,1,1536314595815,20.36625,1,1536,1.0531274,19.960802,19.487843,20.1285,0.17556736,0.109433144,0.11356896,0.2786,176.9464311,-14.3643523,0.7828571,t17_f5_c3,0.9957478,20.1138,0.352,319120158.0,True,True,False,correction_0.0.1,0.0
1,ztf,59290.3372105998,1536337215815015002,2,1536337215815,20.28893,1,1536,0.78048235,19.959522,19.455883,20.3262,0.17342936,0.10592062,0.10906043,0.4195,176.9464363,-14.3644537,0.8157143,t17_f5_c3,0.9999975,20.5078,0.6352,319120258.0,True,True,False,correction_0.0.1,0.0
2,ztf,59292.29332179995,1538293325815015007,1,1538293325815,20.271,1,1538,0.921633,20.0111,19.520111,19.9657,0.263333,0.16458946,0.16753648,0.261,176.9464475,-14.3644106,0.647143,t17_f5_c3,,20.1017,0.3785,,False,True,False,correction_0.0.1,0.0
3,ztf,59294.316446799785,1540316445815015002,2,1540316445815,19.6502,1,1540,0.499254,19.8522,19.387167,20.056,0.226441,0.14552164,0.14755097,0.4627,176.946371,-14.3645063,0.677143,t17_f5_c3,,19.8546,0.4934,,False,True,False,correction_0.0.1,0.0
4,ztf,59297.27210649988,1543272105815015003,2,1543272105815,19.4138,1,1543,0.730073,19.85,19.385735,20.3699,0.240604,0.15498838,0.15689032,0.766,176.9464166,-14.364448,0.534286,t17_f5_c3,,20.1932,0.8371,,False,True,False,correction_0.0.1,0.0
5,ztf,59307.23094910011,1553230945815015009,2,1553230945815,20.127703,1,1553,0.6095543,19.811346,19.360373,19.7645,0.18826441,0.12197471,0.12427362,0.2909,176.94639,-14.3644714,0.5814286,t17_f5_c3,0.99991566,19.3503,0.2551,319120258.0,True,True,False,correction_0.0.1,0.0
