,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,rbversion
0,ztf,58316.24359950004,562243595015015019,2,562243595015,20.177221,1,562,0.32451126,19.445581,17.125628,19.1101,0.18774982,100.0,0.022161428,0.1634,273.9334385,71.1999967,0.6166667,0.0,19.0005,0.1827,848120250.0,True,True,False,bulk_1.0.0,0.0,0,
1,ztf,58720.317812500056,966317815015015014,1,966317815015,20.5034,1,966,0.520723,20.2638,18.136965,20.0822,0.313389,0.017973956,0.044192586,0.2902,273.9331349,71.2001116,0.754286,,20.5413,0.556,,False,True,False,bulk_1.0.0,0.0,971296205015015019,t17_f5_c3
2,ztf,58722.297870399896,968297875015015009,1,968297875015,20.59365,1,968,1.0304195,19.997223,18.095171,19.8761,0.19812813,100.0,0.034365695,0.2218,273.9337373,71.2002236,0.8957143,0.99789953,20.1373,0.3532,848120150.0,False,True,False,bulk_1.0.0,0.0,971296205015015019,t17_f5_c3
3,ztf,58722.29837960005,968298376215015003,1,968298376215,20.454487,1,968,0.9986578,19.863758,18.08292,19.8652,0.20274626,100.0,0.039320353,0.234,273.9337296,71.2001868,0.93,0.53301466,19.7719,0.2705,849120162.0,False,True,False,bulk_1.0.0,0.0,971296205015015019,t17_f5_c3
4,ztf,58723.319861100055,969319865015015011,1,969319865015,20.568228,1,969,0.8618598,19.653011,18.027098,19.6196,0.15040615,100.0,0.033643395,0.1724,273.9336929,71.2001733,0.9771429,0.9980384,19.6215,0.2161,848120150.0,False,True,False,bulk_1.0.0,0.0,971296205015015019,t17_f5_c3
5,ztf,58723.32037039986,969320376215015005,1,969320376215,20.4699,1,969,0.858828,19.9376,18.096853,19.8927,0.203206,100.0,0.037293926,0.2323,273.9337545,71.2001102,0.208571,,20.0287,0.3311,,False,True,False,bulk_1.0.0,0.0,971296205015015019,t17_f5_c3
6,ztf,58724.31988430023,970319885015015005,1,970319885015,20.50077,1,970,0.78584886,19.649914,18.026403,19.8303,0.12978238,100.0,0.029094541,0.2187,273.9337383,71.2001352,0.9671429,0.9958831,19.8554,0.2811,848120150.0,False,True,False,bulk_1.0.0,0.0,971296205015015019,t17_f5_c3
7,ztf,58724.32039349992,970320396215015006,1,970320396215,20.3934,1,970,0.757372,19.5801,18.021805,19.9205,0.151044,100.0,0.035957184,0.2548,273.933733,71.2000631,0.184286,,20.1315,0.3898,,False,True,False,bulk_1.0.0,0.0,971296205015015019,t17_f5_c3
8,ztf,58725.296203699894,971296205015015019,1,971296205015,20.663925,1,971,0.91467494,19.486963,17.987688,19.5477,0.123889655,100.0,0.03114045,0.1577,273.933724,71.200187,0.91571426,0.99663764,19.5809,0.203,848120150.0,False,True,False,bulk_1.0.0,0.0,979293795015015006,t17_f5_c3
9,ztf,58725.29671300016,971296716215015013,1,971296716215,20.5781,1,971,0.94314,19.5332,18.010454,19.4585,0.157201,0.011409622,0.038668513,0.153,273.9337849,71.2001393,0.155714,,19.3759,0.1782,,False,True,False,bulk_1.0.0,0.0,979293795015015006,t17_f5_c3
