,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext
0,ztf,59328.2311689998,1574231160715015000,2,1574231160715,18.905033,1,1574,11.473334,17.343048,17.2807,0.05710841,0.0779,186.299123,-27.1541587,0.8242857,t17_f5_c3,0.9999999,17.2503,0.097,270120207.0,True,False,False,correction_0.0.1,0.0,,,
1,ztf,59334.20974540012,1580209740715015000,1,1580209740715,19.951258,1,1580,0.6901296,17.815315,17.82,0.04769674,0.0469,186.2991395,-27.1541296,0.92,t17_f5_c3,0.9999999,17.8067,0.0586,270120107.0,True,True,False,correction_0.0.1,0.0,17.79213,0.046276808,0.04668902
2,ztf,59334.33247689996,1580332470715015000,2,1580332470715,19.0914,1,1580,11.6646,17.9093,17.8819,0.085873,0.1095,186.2991031,-27.1541042,0.737143,t17_f5_c3,,17.9227,0.1456,,False,False,False,correction_0.0.1,0.0,,,
3,ztf,59336.2512730998,1582251270715025001,1,1582251270715,20.0775,1,1582,0.709845,17.9194,17.9415,0.061491,0.0432,186.2991426,-27.1541247,0.887143,t17_f5_c3,,17.9212,0.0534,,False,True,False,correction_0.0.1,0.0,17.89391,0.059678137,0.060064163
4,ztf,59336.2512730998,1582251270715015001,1,1582251270715,20.077518,1,1582,0.70984495,17.919401,17.9415,0.06149123,0.0432,186.2991426,-27.1541247,0.88714284,t17_f5_c3,0.99999475,17.9212,0.0534,270120107.0,True,True,False,correction_0.0.1,0.0,17.893911,0.059678357,0.06006438
5,ztf,59336.2512730998,1582251270715035001,1,1582251270715,20.0775,1,1582,0.709845,17.9194,17.9415,0.061491,0.0432,186.2991426,-27.1541247,0.887143,t17_f5_c3,,17.9212,0.0534,,False,True,False,correction_0.0.1,0.0,17.89391,0.059678137,0.060064163
6,ztf,59336.293298599776,1582293290715035000,2,1582293290715,19.7947,1,1582,11.4741,18.0814,18.1709,0.072847,0.0717,186.2991372,-27.1541492,0.872857,t17_f5_c3,,18.1834,0.0923,,False,False,False,correction_0.0.1,0.0,,,
7,ztf,59336.293298599776,1582293290715015000,2,1582293290715,19.794714,1,1582,11.474129,18.081432,18.1709,0.07284743,0.0717,186.2991372,-27.1541492,0.87285715,t17_f5_c3,0.9999993,18.1834,0.0923,270120207.0,True,False,False,correction_0.0.1,0.0,,,
8,ztf,59336.293298599776,1582293290715025000,2,1582293290715,19.7947,1,1582,11.4741,18.0814,18.1709,0.072847,0.0717,186.2991372,-27.1541492,0.872857,t17_f5_c3,,18.1834,0.0923,,False,False,False,correction_0.0.1,0.0,,,
9,ztf,59338.25148149999,1584251480715015000,2,1584251480715,19.625422,1,1584,11.458579,18.317572,18.3583,0.07250605,0.1032,186.2991336,-27.154157,0.8757143,t17_f5_c3,0.99999964,18.3165,0.1271,270120207.0,True,False,False,correction_0.0.1,0.0,,,
10,ztf,59341.20923609985,1587209230715015000,2,1587209230715,20.07746,1,1587,11.526147,18.666489,18.8862,0.08376019,0.1277,186.2991237,-27.1541397,0.8971428,t17_f5_c3,0.9999969,19.0461,0.1889,270120207.0,True,False,False,correction_0.0.1,0.0,,,
11,ztf,59343.21010420006,1589210100715015000,2,1589210100715,19.933134,1,1589,11.44859,18.709066,18.8772,0.09256485,0.1469,186.2991379,-27.1541595,0.88,t17_f5_c3,0.9997977,18.9979,0.2101,270120207.0,True,False,False,correction_0.0.1,0.0,,,
12,ztf,59343.23118059989,1589231180715015000,1,1589231180715,19.5952,1,1589,0.6959549,18.645533,18.9177,0.11517243,0.1314,186.299139,-27.1541315,0.6685714,t17_f5_c3,0.9998753,18.7759,0.1475,270120107.0,True,True,False,correction_0.0.1,0.0,18.596321,0.10930037,0.11006882
13,ztf,59345.17180560017,1591171800715015000,1,1591171800715,19.838783,1,1591,0.67505157,18.691805,18.6315,0.08746313,0.1026,186.2991281,-27.1541069,0.8971428,t17_f5_c3,0.9999969,18.5639,0.1231,270120107.0,True,True,False,correction_0.0.1,0.0,18.640501,0.082323164,0.08342644
14,ztf,59345.18973380001,1591189730715015002,2,1591189730715,19.897837,1,1591,11.434941,18.936346,18.7917,0.094406866,0.1412,186.2991492,-27.1541496,0.77428573,t17_f5_c3,0.9999995,18.9025,0.2001,270120207.0,True,False,False,correction_0.0.1,0.0,,,
15,ztf,59348.17333329981,1594173330715015001,2,1594173330715,19.988089,1,1594,11.538295,19.41462,19.503,0.15799175,0.2588,186.2991461,-27.154116,0.7157143,t17_f5_c3,0.99977636,19.4037,0.3029,270120207.0,True,False,False,correction_0.0.1,0.0,,,
16,ztf,59352.188796299975,1598188790715015001,1,1598188790715,19.181,1,1598,0.100738,19.2038,19.0898,0.222867,0.1808,186.2989215,-27.1541762,0.214286,t17_f5_c3,,19.029,0.2193,,False,True,False,correction_0.0.1,0.0,19.122717,0.20575218,0.20682964
17,ztf,59354.17755790008,1600177550715015000,1,1600177550715,19.371061,1,1600,0.6952417,19.093601,19.3672,0.15660153,0.2706,186.2991368,-27.1541499,0.68714285,t17_f5_c3,0.99981606,19.3581,0.3446,270120107.0,True,True,False,correction_0.0.1,0.0,19.020086,0.14508642,0.14634901
18,ztf,59354.2103587999,1600210350715015000,2,1600210350715,19.4783,1,1600,11.656,19.5651,20.1106,0.247256,0.5455,186.2990729,-27.1541136,0.344286,t17_f5_c3,,20.0369,0.6548,,False,False,False,correction_0.0.1,0.0,,,
19,ztf,59356.18917819997,1602189170715015000,1,1602189170715,18.8553,1,1602,0.5059303,19.188547,19.0199,0.20092969,0.3166,186.2990785,-27.1541649,0.42571428,t17_f5_c3,0.99083376,18.8001,0.3323,270120107.0,True,True,False,correction_0.0.1,0.0,19.108555,0.18549454,0.1866583
