,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,rbversion
0,ztf,58262.308611100074,508308615415015001,2,508308615415,20.0747,1,508,0.199631,19.5033,18.220928,19.4506,0.140836,0.041781522,0.04322801,0.2167,231.8988925,79.2890134,0.233333,19.411,0.2669,False,True,False,bulk_1.0.0,0.0,5.36260795415015e+17,,,
1,ztf,58290.26079860004,536260795415015001,2,536260795415,20.144247,1,536,0.24188128,19.716492,18.282028,19.5225,0.17816463,0.04606735,0.047537513,0.2148,231.8982254,79.2889878,0.7,19.5757,0.2879,True,True,False,bulk_1.0.0,0.0,0.0,0.0,863120254.0,
2,ztf,58362.16059029987,608160595415010002,2,608160595415,20.3232,-1,608,0.150952,20.3689,18.860657,20.2854,0.277938,0.066340886,0.069286786,0.3601,231.8987103,79.288959,0.703333,20.7056,0.6776,False,True,False,bulk_1.0.0,0.0,6.1123721541501e+17,,,t12_f5_c3
3,ztf,58362.23672450008,608236725415015000,1,608236725415,20.351353,1,608,0.49737033,19.190678,18.142517,19.0738,0.111454464,0.04078284,0.04244567,0.116,231.8989098,79.2888849,0.77666664,18.8992,0.1254,False,True,False,bulk_1.0.0,0.0,6.1123721541501e+17,0.0,863120154.0,t8_f5_c3
4,ztf,58365.23721060017,611237215415010001,1,611237215415,20.661247,-1,611,0.028450841,20.213018,18.960794,20.6699,0.1746376,0.049117763,0.055112213,0.4067,231.8986094,79.2890188,0.79333335,20.2797,0.3615,False,True,False,bulk_1.0.0,0.0,6.2019703541501e+17,0.0,863120154.0,t8_f5_c3
5,ztf,58369.22453700006,615224535415010000,1,615224535415,20.464403,-1,615,0.06070416,19.946957,19.06037,19.8951,0.16916752,0.06956147,0.07476221,0.2268,231.8986437,79.2890252,0.85333335,20.017,0.3239,False,True,False,bulk_1.0.0,0.0,6.2019703541501e+17,0.0,863120154.0,t8_f5_c3
6,ztf,58374.19703700021,620197035415010000,1,620197035415,20.396122,-1,620,0.15132727,20.187063,18.969114,20.5178,0.20716208,0.06259532,0.06747315,0.3938,231.8988265,79.2890122,0.7633333,20.8037,0.6545,False,True,False,bulk_1.0.0,0.0,6.2319728541501e+17,0.0,863120154.0,t8_f5_c3
7,ztf,58377.19728010008,623197285415010000,1,623197285415,20.265556,-1,623,0.13205808,19.659079,19.216805,19.6985,0.1793097,0.11504227,0.11931467,0.2389,231.8988056,79.2890012,0.8566667,19.7762,0.3284,True,True,False,bulk_1.0.0,0.0,0.0,0.0,863120154.0,t8_f5_c3
8,ztf,58472.49016200006,718490165415010000,1,718490165415,19.6566,-1,718,0.183556,19.9152,19.074705,20.5008,0.329415,0.14933749,0.15189588,0.7624,231.898864,79.2890044,0.74,20.4749,0.9556,False,True,False,bulk_1.0.0,0.0,7.40513965415015e+17,,,t12_f5_c3
9,ztf,58480.50907409983,726509075415010001,1,726509075415,19.7222,-1,726,0.531149,19.8724,19.095024,20.2384,0.297641,0.14268291,0.14545955,0.4438,231.8978586,79.2889479,0.646667,20.1964,0.5473,False,True,False,bulk_1.0.0,0.0,7.54491075415015e+17,,,t12_f5_c3
10,ztf,58494.51396990009,740513965415015003,1,740513965415,20.747845,1,740,0.3559461,20.28286,18.442719,20.0578,0.16638045,0.026322193,0.030552415,0.2104,231.8990029,79.2889546,0.9085714,20.0424,0.2624,False,True,False,bulk_1.0.0,0.0,7.54491075415015e+17,0.0,863120154.0,t15_f5_c3
11,ztf,58508.49107640004,754491075415015005,2,754491075415,19.592045,1,754,0.49455237,19.305096,18.156157,19.3435,0.17452596,0.059666086,0.060573734,0.2318,231.8986729,79.2891329,0.7457143,19.2116,0.2629,True,True,False,bulk_1.0.0,0.0,0.0,0.0,863120254.0,t15_f5_c3
12,ztf,58511.48790509999,757487905415010000,1,757487905415,20.3429,-1,757,0.185052,20.1076,18.996305,20.8073,0.253945,0.08751631,0.0912477,0.5795,231.8983433,79.2889856,0.701429,20.7348,0.6931,False,True,False,bulk_1.0.0,0.0,7.87446205415015e+17,,,t15_f5_c3
