,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,parent_candid
0,ztf,59623.532557900064,1869532551115015000,1,1869532551115,20.377357,1,1869,4.0376997,19.841837,19.8895,0.1469263,0.2298,230.2386237,66.4132888,0.8471429,t17_f5_c3,0.9999844,19.8041,0.2687,846120111.0,True,False,False,correction_1.0.6,0.0,,,,
1,ztf,59625.455868099816,1871455861115015002,2,1871455861115,19.7636,1,1871,1.37892,19.7695,19.4184,0.295011,0.2873,230.2382809,66.4131439,0.461429,t17_f5_c3,,19.3185,0.334,,False,True,False,correction_1.0.6,0.0,18.7387,0.0897929,0.11416111,1.883364301115015e+18
2,ztf,59628.36888890015,1874368881115015002,1,1874368881115,19.3611,1,1874,4.03702,19.5518,19.6602,0.221622,0.4571,230.2386812,66.4131941,0.842857,t17_f5_c3,,19.7279,0.624,,False,False,False,correction_1.0.6,0.0,,,,1.883364301115015e+18
3,ztf,59630.42717589997,1876427171115015001,1,1876427171115,20.0442,1,1876,3.93126,19.9518,19.9154,0.254379,0.3546,230.238557,66.4132829,0.851429,t17_f5_c3,,20.1533,0.5632,,False,False,False,correction_1.0.6,0.0,,,,1.883364301115015e+18
4,ztf,59637.36430560006,1883364301115015000,1,1883364301115,20.231827,1,1883,3.7288415,19.93152,20.1353,0.15590753,0.2839,230.2384499,66.4132141,0.71,t17_f5_c3,0.9999146,20.2254,0.3901,846120111.0,True,False,False,correction_1.0.6,0.0,,,,
5,ztf,59637.40775460005,1883407751115015002,2,1883407751115,20.112413,1,1883,1.8254588,19.83464,20.121,0.18360391,0.3501,230.2384219,66.4132615,0.8214286,t17_f5_c3,0.99996287,19.8108,0.3324,846120211.0,True,False,True,correction_1.0.6,0.0,,,,
6,ztf,59641.32924770005,1887329241115015000,2,1887329241115,20.355932,1,1887,1.7046186,19.89904,19.8713,0.17649184,0.2848,230.2384783,66.4132144,0.89428574,t17_f5_c3,0.99978316,19.5759,0.2732,846120211.0,True,False,True,correction_1.0.6,0.0,,,,
7,ztf,59675.20138890017,1921201381115015002,2,1921201381115,20.1293,1,1921,1.96192,20.1428,20.2216,0.220878,0.5063,230.2385861,66.4132681,0.68,t17_f5_c3,,20.2542,0.6609,,False,False,True,correction_1.0.6,0.0,,,,1.923389511115015e+18
8,ztf,59677.38951390004,1923389511115015000,2,1923389511115,20.234175,1,1923,1.918155,20.017847,20.2978,0.18485738,0.4141,230.2386475,66.4132409,0.8971428,t17_f5_c3,0.9999249,19.9794,0.39,846120211.0,True,False,True,correction_1.0.6,0.0,,,,
9,ztf,59682.36839119997,1928368391115015000,2,1928368391115,19.7728,1,1928,1.50001,19.896,20.2148,0.252845,0.5222,230.2383051,66.4131809,0.754286,t17_f5_c3,,20.1308,0.615,,False,False,True,correction_1.0.6,0.0,,,,1.936348221115015e+18
10,ztf,59687.40915510012,1933409151115015002,2,1933409151115,19.8226,1,1933,1.85321,20.08,19.9328,0.296406,0.4678,230.2383886,66.4132693,0.557143,t17_f5_c3,,19.8679,0.5624,,False,False,True,correction_1.0.6,0.0,,,,1.936348221115015e+18
11,ztf,59690.34822920011,1936348221115015000,2,1936348221115,20.175226,1,1936,1.5769038,19.862951,20.2788,0.20245832,0.4451,230.2384095,66.4131818,0.86142856,t17_f5_c3,0.999937,20.0601,0.4601,846120211.0,True,False,True,correction_1.0.6,0.0,,,,
12,ztf,59694.32574070012,1940325741115015001,2,1940325741115,20.3797,1,1940,1.98237,20.1609,20.9182,0.227713,0.729,230.2384339,66.4132991,0.757143,t17_f5_c3,,20.7122,0.758,,False,False,True,correction_1.0.6,0.0,,,,1.944387931115015e+18
13,ztf,59698.38793980004,1944387931115015001,2,1944387931115,20.371172,1,1944,1.6524732,20.097284,19.8877,0.19363524,0.2573,230.2384911,66.4131895,0.6785714,t17_f5_c3,0.99994075,19.5466,0.2363,846120211.0,True,False,True,correction_1.0.6,0.0,,,,
14,ztf,59702.4103472,1948410341115015001,2,1948410341115,20.348164,1,1948,1.9411442,20.139353,20.3566,0.20545396,0.3822,230.2385178,66.4132806,0.80714285,t17_f5_c3,0.9907161,20.4688,0.5313,846120211.0,True,False,True,correction_1.0.6,0.0,,,,
