,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,rbversion
0,ztf,58278.38253469998,524382534015015003,1,524382534015,21.002184,1,524,1.3733269,18.148886,15.169814,18.1852,0.047219533,100.0,0.0030373363,0.053,290.097629,56.6971179,0.53,0.0,18.1811,0.0581,799120140.0,False,True,False,bulk_1.0.0,0.0,5.51325824015015e+17,
1,ztf,58287.411064799875,533411064015015001,1,533411064015,20.631495,1,533,1.4410342,18.431784,,18.397,0.06300837,,,0.0645,290.0977888,56.6971438,0.74333334,0.0,18.4201,0.0734,799120140.0,False,False,True,bulk_1.0.0,0.0,5.51325824015015e+17,
2,ztf,58290.41634259978,536416344015015005,1,536416344015,20.960062,1,536,0.68687874,17.752651,15.139482,17.7249,0.10142066,100.0,0.009138159,0.0347,290.0974701,56.697292,0.6533333,0.0,17.7242,0.0381,799120140.0,False,True,False,bulk_1.0.0,0.0,5.51325824015015e+17,
3,ztf,58302.42766200006,548427664015015005,1,548427664015,20.189531,1,548,0.49916685,17.652231,15.130043,17.6966,0.07956593,100.0,0.0077956445,0.0477,290.0975445,56.6973685,0.70666665,0.0,17.6608,0.055,799120140.0,False,True,False,bulk_1.0.0,0.0,5.51325824015015e+17,
4,ztf,58305.32582180016,551325824015015003,1,551325824015,20.7276,1,551,0.82243925,18.082272,15.165403,17.9967,0.10255149,100.0,0.006985456,0.0466,290.0974148,56.6972478,0.66,0.0,18.014,0.0528,799120140.0,True,True,False,bulk_1.0.0,0.0,0.0,
5,ztf,58344.344780100044,590344784015015012,1,590344784015,20.7425,1,590,0.312862,17.8579,15.148558,17.6422,0.192353,0.010456147,0.01586214,0.036,290.0972452,56.6974393,0.446667,,17.6339,0.0399,,False,True,False,bulk_1.0.0,0.0,6.06150044015015e+17,t12_f5_c3
6,ztf,58360.15004630014,606150044015015003,1,606150044015,20.508589,1,606,0.5439919,17.7821,15.142103,17.862,0.06550964,100.0,0.0057584564,0.0405,290.0974573,56.6973311,0.71,0.0,17.8663,0.0459,799120140.0,True,True,False,bulk_1.0.0,0.0,0.0,t8_f5_c3
7,ztf,58573.49701389996,819497014015010002,1,819497014015,20.2252,-1,819,0.857212,18.6249,15.291246,18.304,0.123228,100.0,0.0057180445,0.0662,290.0969784,56.697389,0.398571,,18.2359,0.0718,,False,True,False,bulk_1.0.0,0.0,8.42499754015015e+17,t15_f5_c3
8,ztf,58581.472939800005,827472934015015000,1,827472934015,20.497204,1,827,0.98086447,17.915956,15.15323,18.0352,0.07595356,100.0,0.0059628976,0.0623,290.0974569,56.6972058,0.14571428,0.0,18.0066,0.0698,799120140.0,False,True,False,bulk_1.0.0,0.0,8.42499754015015e+17,t15_f5_c3
9,ztf,58581.472939800005,827472934015015001,1,827472934015,20.497204,1,827,0.97585344,17.969477,15.157337,18.0962,0.14636439,100.0,0.010979425,0.063,290.0974863,56.69721,0.16428572,0.0,18.0558,0.0708,799120140.0,False,True,False,bulk_1.0.0,0.0,8.42499754015015e+17,t15_f5_c3
