,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,drb,rfid
0,ztf,59303.28203700017,1549282034415015007,1,1549282034415,19.1602,1,1549,0.564339,19.2403,18.669693,18.6484,0.216705,0.12583253,0.12812288,0.2063,165.298333,-8.7807183,0.437143,t17_f5_c3,18.4962,0.2302,False,True,False,correction_0.0.1,0.0,,
1,ztf,59305.31266199984,1551312664415015009,2,1551312664415,19.653336,1,1551,0.8551822,19.383495,18.319277,19.5265,0.18465628,0.063331224,0.06929101,0.291,165.298417,-8.7807738,0.88857144,t17_f5_c3,19.5506,0.3812,True,True,False,correction_0.0.1,0.0,0.9999157,368120244.0
2,ztf,59307.24918980012,1553249184415015012,2,1553249184415,20.35718,1,1553,0.7992321,19.483181,18.35562,19.498,0.115096055,0.028543584,0.040741388,0.1748,165.2984166,-8.7806701,0.93714285,t17_f5_c3,19.4284,0.209,True,True,False,correction_0.0.1,0.0,0.99999726,368120244.0
3,ztf,59307.275856500026,1553275854415015012,1,1553275854415,20.52591,1,1553,0.74317265,19.81765,18.973162,19.7674,0.15363687,0.06296586,0.070583016,0.1809,165.2983891,-8.7807032,0.87,t17_f5_c3,20.0189,0.29,True,True,False,correction_0.0.1,0.0,0.9998256,368120144.0
4,ztf,59309.191365700215,1555191364415015019,1,1555191364415,20.442657,1,1555,0.5703717,19.661165,18.89846,19.516,0.16957085,0.07854424,0.08399812,0.1533,165.2983356,-8.7807159,0.8857143,t17_f5_c3,19.5738,0.2059,True,True,False,correction_0.0.1,0.0,0.99989176,368120144.0
5,ztf,59309.231597200036,1555231594415015085,2,1555231594415,19.7804,1,1555,1.09602,19.8665,18.476418,19.7897,0.23125,0.05545857,0.064275965,0.4146,165.2984758,-8.7805672,0.66,t17_f5_c3,19.7292,0.5025,False,True,False,correction_0.0.1,0.0,,
6,ztf,59313.21079860022,1559210794415015013,2,1559210794415,20.313812,1,1559,0.80277824,19.569986,18.38556,19.4736,0.12971641,0.03171153,0.04357367,0.1848,165.2984174,-8.7806728,0.92142856,t17_f5_c3,19.424,0.2248,True,True,False,correction_0.0.1,0.0,0.999997,368120244.0
7,ztf,59315.21006939979,1561210064415015015,1,1561210064415,20.56411,1,1561,0.6280025,20.045517,19.071953,20.1877,0.18355455,0.06622716,0.07487546,0.262,165.2983576,-8.780692,0.85714287,t17_f5_c3,20.0118,0.2845,True,True,False,correction_0.0.1,0.0,0.999938,368120144.0
8,ztf,59315.23175929999,1561231754415015015,2,1561231754415,20.482677,1,1561,0.7440621,19.74056,18.439922,19.3451,0.120567314,0.018359752,0.036389343,0.1401,165.2983977,-8.7806516,0.7871429,t17_f5_c3,19.212,0.1575,True,True,False,correction_0.0.1,0.0,0.99999595,368120244.0
9,ztf,59317.23236110015,1563232364415015017,1,1563232364415,20.724901,1,1563,0.74870175,20.146166,19.111889,20.0509,0.18999419,0.06369929,0.07328748,0.1919,165.29839,-8.7806309,0.8242857,t17_f5_c3,20.057,0.2452,True,True,False,correction_0.0.1,0.0,0.9998331,368120144.0
10,ztf,59321.233680599835,1567233684415015006,1,1567233684415,20.4381,1,1567,0.684784,20.3854,19.19804,20.3823,0.25873,0.077288546,0.086676784,0.344,165.2983677,-8.7807222,0.845714,t17_f5_c3,20.3196,0.4152,False,True,False,correction_0.0.1,0.0,,
11,ztf,59323.2278355998,1569227834415015011,2,1569227834415,20.133108,1,1569,0.99434686,20.242266,18.5685,19.9055,0.20828526,0.027140057,0.044581313,0.3054,165.2984716,-8.7807079,0.79285717,t17_f5_c3,20.1173,0.4742,True,True,False,correction_0.0.1,0.0,0.99904656,368120244.0
