,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,rbversion
0,ztf,58311.35351849999,557353510915015048,1,557353510915,20.909864,1,557,6.3769546,19.606922,19.7484,0.12377218,0.1435,297.1111078,59.5528465,0.54333335,0.0,19.7119,0.1784,828120109.0,False,False,False,bulk_1.0.0,0.0,5.6038848091501504e+17,
1,ztf,58314.388483799994,560388480915015072,1,560388480915,20.893402,1,560,6.542824,20.127127,19.9009,0.15597904,0.1624,297.1111937,59.5528375,0.37,0.0,19.6952,0.1737,828120109.0,True,False,False,bulk_1.0.0,0.0,0.0,
2,ztf,58423.11113430001,669111130915015022,2,669111130915,19.779823,1,669,6.6415405,19.571892,19.7529,0.1919628,0.3695,297.1111305,59.5527857,0.54333335,0.0,19.5163,0.3827,828120209.0,True,False,False,bulk_1.0.0,0.0,0.0,t8_f5_c3
3,ztf,58766.17538189981,1012175380915015013,1,1012175380915,19.822348,1,1012,6.2443166,19.55284,19.5814,0.18729365,0.3023,297.1110556,59.5529038,0.8257143,0.99996555,19.5264,0.3696,828120109.0,False,False,False,bulk_1.0.0,0.0,1.013144270915015e+18,t17_f5_c3
4,ztf,58767.144270800054,1013144270915015013,2,1013144270915,19.368698,1,1013,6.8238983,18.688133,18.5885,0.12478449,0.1447,297.1112896,59.5528949,0.79714286,0.999997,18.4573,0.1647,828120209.0,False,False,False,bulk_1.0.0,0.0,1.022143990915015e+18,t17_f5_c3
5,ztf,58767.17288189987,1013172880915015012,1,1013172880915,19.18805,1,1013,6.4363914,18.503767,18.4188,0.1270318,0.1238,297.1111198,59.5528117,0.61142856,0.99545866,18.2897,0.141,828120109.0,False,False,False,bulk_1.0.0,0.0,1.022143990915015e+18,t17_f5_c3
6,ztf,58768.14471059991,1014144710915015013,2,1014144710915,19.80849,1,1014,6.6709948,18.879461,18.7997,0.123694636,0.165,297.1111741,59.5528397,0.9114286,0.9999877,18.6624,0.1869,828120209.0,False,False,False,bulk_1.0.0,0.0,1.022143990915015e+18,t17_f5_c3
7,ztf,58768.17348380014,1014173480915015010,1,1014173480915,19.573967,1,1014,6.403796,18.631948,18.5709,0.12467579,0.1471,297.1111126,59.5528324,0.87857145,0.9999883,18.4999,0.1768,828120109.0,False,False,False,bulk_1.0.0,0.0,1.022143990915015e+18,t17_f5_c3
8,ztf,58769.14438659977,1015144380915015009,2,1015144380915,19.730375,1,1015,6.442723,19.107449,18.7858,0.16334954,0.1768,297.1110751,59.552906,0.69,0.999121,18.6737,0.2051,828120209.0,False,False,False,bulk_1.0.0,0.0,1.022143990915015e+18,t17_f5_c3
9,ztf,58769.17341439985,1015173410915015005,1,1015173410915,19.392365,1,1015,6.5686793,18.965343,19.2221,0.14452583,0.3049,297.1112134,59.5528473,0.9114286,0.9999969,18.8638,0.2818,828120109.0,False,False,False,bulk_1.0.0,0.0,1.022143990915015e+18,t17_f5_c3
10,ztf,58770.14557870012,1016145570915015008,2,1016145570915,19.556635,1,1016,6.6728806,19.115215,18.9951,0.13906308,0.2255,297.1111753,59.5528297,0.9242857,0.9999887,19.2358,0.3614,828120209.0,False,False,False,bulk_1.0.0,0.0,1.022143990915015e+18,t17_f5_c3
11,ztf,58770.173460599966,1016173460915015004,1,1016173460915,19.378235,1,1016,6.557909,19.15796,19.203,0.21249221,0.3114,297.1111838,59.5527997,0.7757143,0.9997822,19.8513,0.7262,828120109.0,False,False,False,bulk_1.0.0,0.0,1.022143990915015e+18,t17_f5_c3
12,ztf,58771.14579859981,1017145790915015015,2,1017145790915,19.529085,1,1017,6.7112865,19.308426,19.0399,0.20000204,0.2201,297.1111014,59.5526721,0.7285714,0.9984602,18.899,0.2484,828120209.0,False,False,False,bulk_1.0.0,0.0,1.022143990915015e+18,t17_f5_c3
13,ztf,58771.173692100216,1017173690915015010,1,1017173690915,19.45033,1,1017,6.5414815,18.953747,18.8989,0.13268809,0.2073,297.1111666,59.5528009,0.93142855,0.9999987,18.8923,0.2648,828120109.0,False,False,False,bulk_1.0.0,0.0,1.022143990915015e+18,t17_f5_c3
14,ztf,58772.14611109998,1018146110915015011,2,1018146110915,20.002884,1,1018,6.642352,19.4235,19.2691,0.1404354,0.2134,297.1111695,59.5528581,0.7771429,0.9998702,19.3107,0.2851,828120209.0,False,False,False,bulk_1.0.0,0.0,1.022143990915015e+18,t17_f5_c3
15,ztf,58772.174050900154,1018174050915015009,1,1018174050915,19.673363,1,1018,6.5935016,19.36292,19.2251,0.18715371,0.2371,297.1112555,59.5529004,0.83,0.9994117,19.0228,0.253,828120109.0,False,False,False,bulk_1.0.0,0.0,1.022143990915015e+18,t17_f5_c3
