,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext
0,ztf,59254.38041670015,1500380412715015003,2,1500380412715,20.680124,1,1500,2.4356,20.533554,20.4158,0.19470307,0.337,149.4026483,-3.6795644,0.8385714,t17_f5_c3,0.99971825,20.1197,0.3216,417120227.0,True,False,False,correction_0.0.1,0.0,,,
1,ztf,59256.33567130007,1502335672715015000,1,1502335672715,20.539684,1,1502,1.4882334,20.315252,20.189,0.21003889,0.2476,149.4025648,-3.6795066,0.7785714,t17_f5_c3,0.9998096,19.9638,0.2546,417120127.0,True,False,False,correction_0.0.1,0.0,,,
2,ztf,59256.37986110011,1502379862715015000,2,1502379862715,20.635279,1,1502,2.1951573,19.859074,19.9397,0.12722999,0.2326,149.4026099,-3.6795006,0.9128571,t17_f5_c3,0.9999149,19.899,0.281,417120227.0,True,False,False,correction_0.0.1,0.0,,,
3,ztf,59258.36836809991,1504368362715015002,1,1504368362715,20.0798,1,1504,1.39039,19.8723,19.4182,0.223105,0.1997,149.4026128,-3.6794538,0.56,t17_f5_c3,,19.2032,0.2086,,False,True,True,correction_0.0.1,0.0,18.940334,0.08158109,0.0945635
4,ztf,59262.33165509999,1508331652715015003,1,1508331652715,20.460552,1,1508,1.425647,19.351906,19.287,0.11031572,0.1181,149.4025825,-3.6794998,0.92142856,t17_f5_c3,0.99999785,19.2851,0.1486,417120127.0,True,False,False,correction_0.0.1,0.0,,,
5,ztf,59264.2931597,1510293152715015001,2,1510293152715,20.260128,1,1510,2.1919863,18.879536,18.7776,0.08706707,0.099,149.402611,-3.6795029,0.95285714,t17_f5_c3,0.9998548,18.7219,0.1186,417120227.0,True,False,False,correction_0.0.1,0.0,,,
6,ztf,59266.296770799905,1512296772715015001,1,1512296772715,19.620974,1,1512,1.4630455,19.195105,19.1676,0.14587355,0.1692,149.4025673,-3.6795308,0.6242857,t17_f5_c3,0.9979749,19.2261,0.2279,417120127.0,True,False,False,correction_0.0.1,0.0,,,
7,ztf,59266.3174883998,1512317482715015000,2,1512317482715,19.564026,1,1512,2.3971617,18.734598,18.7922,0.10991477,0.1225,149.4026804,-3.6794957,0.54285717,t17_f5_c3,0.9995291,18.6502,0.1366,417120227.0,True,False,False,correction_0.0.1,0.0,,,
8,ztf,59268.229282400105,1514229282715015001,1,1514229282715,19.737825,1,1514,1.3174969,19.220636,18.8988,0.14842382,0.1764,149.4026504,-3.6794402,0.81142855,t17_f5_c3,0.99742484,18.8238,0.2108,417120127.0,True,True,True,correction_0.0.1,0.0,18.615616,0.07726715,0.08501495
9,ztf,59268.31501160003,1514315012715015000,2,1514315012715,19.992908,1,1514,2.1369362,18.781393,19.0277,0.1199979,0.1681,149.402617,-3.679464,0.94285715,t17_f5_c3,0.999999,19.2076,0.2523,417120227.0,True,False,False,correction_0.0.1,0.0,,,
10,ztf,59270.3128819,1516312882715015003,2,1516312882715,19.159426,1,1516,2.0622244,18.738514,18.7279,0.120603204,0.2201,149.4025736,-3.6794911,0.87857145,t17_f5_c3,0.99926245,18.9213,0.3369,417120227.0,True,False,False,correction_0.0.1,0.0,,,
11,ztf,59273.27461809991,1519274612715015002,2,1519274612715,18.428,1,1519,2.01974,18.6885,18.8785,0.223004,0.3442,149.4025489,-3.6795085,0.542857,t17_f5_c3,,18.9787,0.4845,,False,False,False,correction_0.0.1,0.0,,,
12,ztf,59275.30862270016,1521308622715015002,1,1521308622715,19.4255,1,1521,0.755655,19.7235,19.4605,0.250597,0.3228,149.4027695,-3.6795531,0.314286,t17_f5_c3,,19.4417,0.4066,,False,True,True,correction_0.0.1,0.0,18.87476,0.10547258,0.114678025
13,ztf,59275.319236100186,1521319232715015001,2,1521319232715,19.712008,1,1521,2.2137291,18.955261,19.0561,0.10780371,0.2041,149.402624,-3.6794905,0.9028571,t17_f5_c3,0.9999701,18.9254,0.2312,417120227.0,True,False,False,correction_0.0.1,0.0,,,
14,ztf,59278.25847220002,1524258472715015002,1,1524258472715,20.093029,1,1524,1.4069033,19.727587,19.5094,0.16846168,0.1811,149.4026426,-3.6794017,0.60571426,t17_f5_c3,0.99886346,19.264,0.1838,417120127.0,True,False,False,correction_0.0.1,0.0,,,
15,ztf,59278.281944400165,1524281942715015001,2,1524281942715,20.05816,1,1524,2.114743,19.178545,18.9113,0.12097004,0.1095,149.402591,-3.6794893,0.5928571,t17_f5_c3,0.9976968,18.8349,0.1287,417120227.0,True,False,False,correction_0.0.1,0.0,,,
16,ztf,59281.251643499825,1527251642715015002,2,1527251642715,20.444828,1,1527,1.9790752,19.453243,19.3053,0.11405163,0.1241,149.4025645,-3.6794613,0.8742857,t17_f5_c3,0.9999172,19.3413,0.1602,417120227.0,True,False,False,correction_0.0.1,0.0,,,
17,ztf,59281.31600689981,1527316002715015001,1,1527316002715,20.53111,1,1527,1.2440268,20.120491,20.0069,0.20004936,0.2033,149.4026572,-3.6794663,0.63857144,t17_f5_c3,0.999381,19.9201,0.2367,417120127.0,True,True,True,correction_0.0.1,0.0,19.038698,0.052101146,0.07386181
18,ztf,59291.235069400165,1537235062715015002,2,1537235062715,20.61383,1,1537,2.1622863,19.48149,19.5823,0.09648911,0.1765,149.4026111,-3.6794812,0.94142854,t17_f5_c3,0.9999957,19.5489,0.2151,417120227.0,True,False,False,correction_0.0.1,0.0,,,
19,ztf,59293.21254630014,1539212542715015001,2,1539212542715,20.277546,1,1539,2.265027,19.471298,19.2741,0.15107433,0.1511,149.4026228,-3.6795186,0.7985714,t17_f5_c3,0.9999714,19.3643,0.2073,417120227.0,True,False,False,correction_0.0.1,0.0,,,
20,ztf,59296.24986110022,1542249862715015000,2,1542249862715,19.902834,1,1542,2.2332425,19.438425,19.4463,0.14442632,0.2569,149.4026221,-3.6795033,0.9442857,t17_f5_c3,0.9999143,19.3997,0.3138,417120227.0,True,False,False,correction_0.0.1,0.0,,,
21,ztf,59306.23134260019,1552231342715015001,2,1552231342715,20.502293,1,1552,2.2924223,20.305527,20.0696,0.20283636,0.2944,149.4026526,-3.6794831,0.79714286,t17_f5_c3,0.9911845,20.073,0.373,417120227.0,True,False,False,correction_0.0.1,0.0,,,
