,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase
0,ztf,59292.27306709997,1538273065315015016,1,1538273065315,20.087078,1,1538,0.90606374,19.532572,17.224081,19.3443,0.1787631,100.0,0.02132465,0.1893,164.4807248,-13.7907718,0.9,t17_f5_c3,0.9990896,19.4082,0.2509,317120153.0,True,True,False,correction_0.0.1,0.0
1,ztf,59294.25200230023,1540252005315015021,1,1540252005315,19.645771,1,1540,0.90728056,19.133856,17.16808,19.0921,0.19200958,100.0,0.031406004,0.1877,164.4806835,-13.7908365,0.8357143,t17_f5_c3,0.9980355,18.9205,0.2024,317120153.0,True,True,False,correction_0.0.1,0.0
2,ztf,59294.31739579979,1540317395315015009,2,1540317395315,19.716248,1,1540,0.77262914,19.110865,16.323318,19.2838,0.1901044,100.0,0.014587256,0.255,164.4807369,-13.7907182,0.87,t17_f5_c3,0.9235433,19.2278,0.3006,317120253.0,True,True,False,correction_0.0.1,0.0
3,ztf,59297.17912039999,1543179125315015004,1,1543179125315,18.9156,1,1543,0.738307,18.7701,17.099607,18.9514,0.230011,0.034489706,0.0493801,0.2571,164.4807721,-13.7907925,0.54,t17_f5_c3,,18.7862,0.2818,,False,True,False,correction_0.0.1,0.0
4,ztf,59297.253888899926,1543253885315015007,2,1543253885315,19.32481,1,1543,0.7410295,18.637705,16.278742,18.7289,0.12727624,100.0,0.014493126,0.2046,164.480682,-13.7908692,0.89428574,t17_f5_c3,0.9968089,18.5359,0.2158,317120253.0,True,True,False,correction_0.0.1,0.0
5,ztf,59301.341539400164,1547341535315015002,1,1547341535315,18.303501,1,1547,0.89016515,18.346947,16.993841,18.1288,0.20434582,0.049250625,0.05876563,0.2365,164.4806711,-13.7909841,0.51857144,t17_f5_c3,0.9993918,18.1998,0.3239,317120153.0,True,True,False,correction_0.0.1,0.0
6,ztf,59303.28251159983,1549282515315015004,1,1549282515315,18.98,1,1549,0.92819,18.7018,17.084578,18.2877,0.192408,0.025835294,0.043384515,0.1696,164.4806785,-13.7908328,0.645714,t17_f5_c3,,18.3396,0.2276,,False,True,False,correction_0.0.1,0.0
7,ztf,59305.27193289995,1551271935315015041,1,1551271935315,19.255772,1,1551,0.71132064,18.3408,16.99207,17.9746,0.1037318,100.0,0.029951595,0.1097,164.480727,-13.7908825,0.55,t17_f5_c3,0.9941429,17.8946,0.1294,317120153.0,True,True,False,correction_0.0.1,0.0
8,ztf,59305.31219909992,1551312195315015005,2,1551312195315,19.408792,1,1551,0.528845,18.65397,16.280582,18.9724,0.120684,100.0,0.013561074,0.2338,164.4807584,-13.790808,0.8657143,t17_f5_c3,0.9999912,18.8331,0.2585,317120253.0,True,True,False,correction_0.0.1,0.0
9,ztf,59307.275381899904,1553275385315015016,1,1553275385315,20.377766,1,1553,0.8336901,18.84875,17.11602,18.8326,0.08998855,100.0,0.018242963,0.0976,164.4807043,-13.7908441,0.9242857,t17_f5_c3,0.99997973,18.8197,0.1188,317120153.0,True,True,False,correction_0.0.1,0.0
10,ztf,59309.19090279983,1555190905315015005,1,1555190905315,20.214779,1,1555,0.8176693,18.9708,17.139679,18.8042,0.15197147,100.0,0.028139293,0.1083,164.4806934,-13.7908887,0.85714287,t17_f5_c3,0.99941176,18.7129,0.1238,317120153.0,True,True,False,correction_0.0.1,0.0
11,ztf,59311.20951389987,1557209515315015003,1,1557209515315,18.7632,1,1557,1.44447,19.0499,,18.8103,0.287223,,,0.4056,164.4805686,-13.7907251,0.754286,t17_f5_c3,,18.594,0.4243,,False,False,True,correction_0.0.1,0.0
12,ztf,59313.23140050005,1559231405315015004,1,1559231405315,20.190687,1,1559,0.94562316,19.448292,17.213678,19.2459,0.19122866,100.0,0.024417844,0.165,164.4806673,-13.7908447,0.8814286,t17_f5_c3,0.99404097,19.1361,0.1858,317120153.0,True,True,False,correction_0.0.1,0.0
13,ztf,59315.20960649988,1561209605315015012,1,1561209605315,20.46411,1,1561,0.6470993,19.645626,17.236965,19.4435,0.16638039,100.0,0.018098311,0.1656,164.4807542,-13.7908633,0.8757143,t17_f5_c3,0.9989598,19.6605,0.2482,317120153.0,True,True,False,correction_0.0.1,0.0
14,ztf,59315.23128469987,1561231285315015010,2,1561231285315,20.278059,1,1561,0.78515655,19.351568,16.340012,19.5451,0.19069597,100.0,0.011904713,0.2482,164.4806934,-13.7907734,0.6857143,t17_f5_c3,0.99974006,19.6105,0.3187,317120253.0,True,True,False,correction_0.0.1,0.0
15,ztf,59317.17349540023,1563173495315015012,1,1563173495315,20.507679,1,1563,0.6934081,19.948643,17.266115,19.7073,0.17804794,100.0,0.01504963,0.1941,164.4807593,-13.7908273,0.85571426,t17_f5_c3,0.9999128,19.8266,0.2646,317120153.0,True,True,False,correction_0.0.1,0.0
16,ztf,59322.23182869982,1568231825315015005,2,1568231825315,19.969084,1,1568,0.99905336,19.151348,16.326372,19.3385,0.12939736,100.0,0.0095925685,0.2447,164.4806078,-13.7908871,0.8242857,t17_f5_c3,0.9997461,19.1992,0.2648,317120253.0,True,True,False,correction_0.0.1,0.0
