,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,parent_candid
0,ztf,59459.47575230012,1705475753115015034,2,1705475753115,20.87543,1,1705,4.8352003,19.014458,19.0948,0.060727622,0.097,34.5875446,10.138045,0.93857145,t17_f5_c3,0.9999969,19.1198,0.1231,504120231.0,True,False,False,correction_1.0.6,0.0,,,,
1,ztf,59461.443414399866,1707443413115015018,1,1707443413115,20.71957,1,1707,0.6659306,19.93408,19.6235,0.15491846,0.1374,34.5876038,10.138011,0.62142855,t17_f5_c3,0.99970585,19.6599,0.1792,504120131.0,True,True,False,correction_1.0.6,0.0,19.198824,0.057610262,0.07870476,
2,ztf,59461.47165510012,1707471653115015030,2,1707471653115,20.71185,1,1707,4.7471595,18.933783,18.8757,0.07103067,0.0891,34.5875182,10.1380389,0.94285715,t17_f5_c3,0.99999917,18.7797,0.1017,504120231.0,True,False,False,correction_1.0.6,0.0,,,,
3,ztf,59463.40281250002,1709402813115015021,2,1709402813115,20.578886,1,1709,4.7033806,18.950327,19.0632,0.06493136,0.1106,34.5875193,10.1380138,0.9457143,t17_f5_c3,0.999999,19.1106,0.1446,504120231.0,True,False,False,correction_1.0.6,0.0,,,,
4,ztf,59463.436469899956,1709436463115015014,1,1709436463115,20.740326,1,1709,0.3707472,19.868727,19.8926,0.13673368,0.1842,34.5875311,10.1380609,0.92,t17_f5_c3,0.99999976,20.0765,0.2752,504120131.0,True,True,False,correction_1.0.6,0.0,19.16513,0.04912116,0.07152161,
5,ztf,59465.42194439983,1711421943115015020,1,1711421943115,20.5225,1,1711,0.550434,19.9464,20.3247,0.145454,0.2925,34.5875303,10.1379677,0.778571,t17_f5_c3,,20.2927,0.3598,,False,True,False,correction_1.0.6,0.0,19.205067,0.049911294,0.0734839,1.711467493115015e+18
6,ztf,59465.467499999795,1711467493115015021,2,1711467493115,20.387995,1,1711,4.6935544,18.858046,18.8062,0.08796552,0.0918,34.5875362,10.1379844,0.94142854,t17_f5_c3,0.9999805,18.8498,0.1194,504120231.0,True,False,False,correction_1.0.6,0.0,,,,
7,ztf,59467.4045833,1713404583115015026,2,1713404583115,20.747288,1,1713,4.7612944,18.994638,18.9277,0.066715494,0.0935,34.5875305,10.1380267,0.92714286,t17_f5_c3,0.99999964,18.8871,0.1122,504120231.0,True,False,False,correction_1.0.6,0.0,,,,
8,ztf,59467.45467589982,1713454673115015023,1,1713454673115,20.734812,1,1713,0.40082428,20.09714,19.9288,0.15954575,0.1951,34.5875257,10.1380276,0.8414286,t17_f5_c3,0.99999845,19.7586,0.2112,504120131.0,True,True,False,correction_1.0.6,0.0,19.278605,0.048009645,0.0750709,
9,ztf,59469.40359950019,1715403593115015033,2,1715403593115,20.55171,1,1715,4.788577,19.055258,19.0409,0.07282332,0.1096,34.5875408,10.1380242,0.93,t17_f5_c3,0.9999999,19.0809,0.1423,504120231.0,True,False,False,correction_1.0.6,0.0,,,,
10,ztf,59469.4343634001,1715434363115015019,1,1715434363115,20.70786,1,1715,0.40082455,19.965986,20.0972,0.1453323,0.2218,34.5874956,10.1379916,0.9142857,t17_f5_c3,0.99999964,20.0347,0.2651,504120131.0,True,True,False,correction_1.0.6,0.0,19.214916,0.0483014,0.072767004,
11,ztf,59471.43546300009,1717435463115015030,2,1717435463115,20.50628,1,1717,4.7962976,19.177336,19.3515,0.09769239,0.162,34.5875513,10.1380139,0.94,t17_f5_c3,0.99995387,19.3342,0.1999,504120231.0,True,False,False,correction_1.0.6,0.0,,,,
12,ztf,59474.32826389978,1720328263115015018,2,1720328263115,20.095482,1,1720,4.761607,19.480665,19.8504,0.13600415,0.3592,34.5875304,10.138027,0.8971428,t17_f5_c3,0.99999917,19.5928,0.3609,504120231.0,True,False,False,correction_1.0.6,0.0,,,,
13,ztf,59474.40180560015,1720401803115015018,1,1720401803115,20.5319,1,1720,0.525811,20.4283,20.2403,0.21799,0.3245,34.5875337,10.1379787,0.717143,t17_f5_c3,,19.8825,0.2972,,False,True,False,correction_1.0.6,0.0,19.421967,0.055737082,0.08627859,1.723282593115015e+18
14,ztf,59477.28259260021,1723282593115015010,2,1723282593115,19.458414,1,1723,4.80709,19.490763,19.6627,0.17792858,0.4744,34.5875827,10.1379704,0.88,t17_f5_c3,0.9999925,19.3681,0.4635,504120231.0,True,False,False,correction_1.0.6,0.0,,,,
15,ztf,59486.30534720002,1732305343115015014,2,1732305343115,19.760784,1,1732,4.535941,19.607948,19.9396,0.19764093,0.3256,34.5874709,10.138002,0.7285714,t17_f5_c3,0.99998236,19.9764,0.4277,504120231.0,True,False,False,correction_1.0.6,0.0,,,,
16,ztf,59488.423125000205,1734423123115015031,2,1734423123115,20.48149,1,1734,4.7845454,19.723413,19.7461,0.12389333,0.2262,34.5875401,10.1380234,0.8842857,t17_f5_c3,0.9999869,19.8141,0.3037,504120231.0,True,False,False,correction_1.0.6,0.0,,,,
