,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,drb,rfid
0,ztf,59198.25303239981,1444253030515025008,2,1444253030515,19.6945,1,1444,1.465,20.0953,20.0809,0.382853,0.3915,62.3490232,-12.6698437,0.544286,t17_f5_c3,20.408,0.677,False,False,False,bulk_1.0.0,0.0,1464213800515015007,,,,,
1,ztf,59198.25303239981,1444253030515015008,2,1444253030515,19.6945,1,1444,1.465,20.0953,20.0809,0.382853,0.3915,62.3490232,-12.6698437,0.544286,t17_f5_c3,20.408,0.677,False,False,False,bulk_1.0.0,0.0,1450278370515015007,,,,,
2,ztf,59198.31010420015,1444310100515025007,1,1444310100515,20.1233,1,1444,1.48916,20.0387,20.4326,0.228142,0.3789,62.3492337,-12.6696802,0.584286,t17_f5_c3,20.5629,0.5466,False,False,False,bulk_1.0.0,0.0,1464213800515015007,,,,,
3,ztf,59198.31010420015,1444310100515015007,1,1444310100515,20.1233,1,1444,1.48916,20.0387,20.4326,0.228142,0.3789,62.3492337,-12.6696802,0.584286,t17_f5_c3,20.5629,0.5466,False,False,False,bulk_1.0.0,0.0,1450278370515015007,,,,,
4,ztf,59202.23796299985,1448237960515015006,1,1448237960515,20.168564,1,1448,1.3674023,19.22385,19.3657,0.12905586,0.1413,62.3492044,-12.6696534,0.87857145,t17_f5_c3,19.3667,0.1804,False,True,True,bulk_1.0.0,0.0,1464213800515015007,18.754745,0.08051575,0.083779074,0.9999935,353120105.0
5,ztf,59202.29129630001,1448291290515015007,2,1448291290515,19.872604,1,1448,2.0381925,19.171251,19.3718,0.14027852,0.1768,62.3493478,-12.6696304,0.7114286,t17_f5_c3,19.5266,0.26,False,False,False,bulk_1.0.0,0.0,1464213800515015007,,,,0.99907005,353120205.0
6,ztf,59204.27837960003,1450278370515015007,2,1450278370515,20.15849,1,1450,1.6687392,19.050549,18.8621,0.12296861,0.1162,62.3492255,-12.6696714,0.9085714,t17_f5_c3,18.9677,0.1631,False,False,False,bulk_1.0.0,0.0,1464213800515015007,,,,0.9999846,353120205.0
7,ztf,59204.301909700036,1450301900515015007,1,1450301900515,20.315046,1,1450,1.4341109,18.966784,19.0177,0.1064891,0.1112,62.3492302,-12.6696398,0.9457143,t17_f5_c3,19.1032,0.1532,False,False,False,bulk_1.0.0,0.0,1464213800515015007,,,,0.9999994,353120105.0
8,ztf,59210.23149310006,1456231490515015005,1,1456231490515,19.172905,1,1456,1.5033123,18.82357,18.7094,0.13910422,0.1902,62.3492369,-12.6696789,0.56285715,t17_f5_c3,18.7333,0.2494,False,False,False,bulk_1.0.0,0.0,1464213800515015007,,,,0.992932,353120105.0
9,ztf,59210.277557900175,1456277550515015004,2,1456277550515,19.564035,1,1456,1.7687434,18.816551,18.7139,0.10026836,0.1835,62.3492781,-12.669567,0.95857143,t17_f5_c3,18.7305,0.2387,False,False,False,bulk_1.0.0,0.0,1464213800515015007,,,,0.9999941,353120205.0
10,ztf,59216.30964120012,1462309640515015003,2,1462309640515,19.60937,1,1462,1.7076575,19.107935,18.7133,0.14034577,0.161,62.3492246,-12.6696942,0.69,t17_f5_c3,18.7272,0.2089,False,False,False,bulk_1.0.0,0.0,1464213800515015007,,,,0.998487,353120205.0
11,ztf,59218.21380789997,1464213800515015007,1,1464213800515,20.460869,1,1464,1.4551477,19.373528,19.2731,0.11741557,0.1219,62.3492458,-12.6695999,0.93857145,t17_f5_c3,19.2382,0.1503,False,False,False,bulk_1.0.0,0.0,1464282280515015005,,,,0.99997365,353120105.0
12,ztf,59218.282280100044,1464282280515015005,2,1464282280515,19.888195,1,1464,1.7522767,19.178328,18.9418,0.12033468,0.153,62.3492535,-12.6696602,0.9242857,t17_f5_c3,18.9109,0.19,False,False,False,bulk_1.0.0,0.0,1466212140515015006,,,,0.9999425,353120205.0
