,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,drb,rfid
0,ztf,59379.32586809993,1625325860915015011,1,1625325860915,20.7342,1,1625,3.44732,21.3055,21.3525,0.413123,0.6588,266.0292397,52.4709535,0.338571,t17_f5_c3,21.29,0.7982,False,False,False,correction_0.0.1,0.0,,
1,ztf,59386.38827549992,1632388270915015001,2,1632388270915,20.1801,1,1632,5.05659,20.5052,20.3552,0.299744,0.4636,266.0291021,52.4709783,0.36,t17_f5_c3,20.5419,0.7063,False,False,False,correction_0.0.1,0.0,,
2,ztf,59386.42736109998,1632427360915015005,1,1632427360915,20.566751,1,1632,3.2357795,20.318335,20.1787,0.20129038,0.2314,266.0291039,52.4709469,0.6628571,t17_f5_c3,20.0496,0.2632,True,False,False,correction_0.0.1,0.0,0.99984515,797120109.0
3,ztf,59390.26296300022,1636262960915015015,1,1636262960915,19.6186,1,1636,3.54486,20.0762,19.8149,0.29529,0.4322,266.0293762,52.470905,0.231429,t17_f5_c3,19.7832,0.5392,False,False,False,correction_0.0.1,0.0,,
4,ztf,59392.264884300064,1638264880915015025,1,1638264880915,20.029438,1,1638,3.4735923,19.861116,19.8538,0.17612317,0.3056,266.0291269,52.4710221,0.7114286,t17_f5_c3,19.6993,0.3405,True,False,False,correction_0.0.1,0.0,0.99988675,797120109.0
5,ztf,59392.36681709997,1638366810915015007,2,1638366810915,20.0067,1,1638,4.66157,19.955,19.8066,0.253566,0.3276,266.029014,52.4708773,0.548571,t17_f5_c3,20.3315,0.6817,False,False,False,correction_0.0.1,0.0,,
6,ztf,59396.28138889978,1642281380915015005,1,1642281380915,20.701912,1,1642,3.2566776,20.064047,20.2449,0.16649865,0.2367,266.0291029,52.4709553,0.7828571,t17_f5_c3,20.313,0.3224,True,False,False,correction_0.0.1,0.0,0.99999094,797120109.0
7,ztf,59399.290705999825,1645290700915015012,1,1645290700915,20.766964,1,1645,3.1608453,19.954264,20.0372,0.18985939,0.1844,266.0290701,52.4709371,0.7457143,t17_f5_c3,19.954,0.2182,True,False,False,correction_0.0.1,0.0,0.9999995,797120109.0
8,ztf,59399.34633099986,1645346330915015004,2,1645346330915,20.674936,1,1645,4.880421,19.903788,19.9371,0.20972365,0.2085,266.0290647,52.4709327,0.5285714,t17_f5_c3,19.7881,0.2327,True,False,False,correction_0.0.1,0.0,0.9986695,797120209.0
9,ztf,59401.25732639991,1647257320915015009,1,1647257320915,20.612568,1,1647,3.3286364,19.909061,20.0192,0.17041521,0.1931,266.0291284,52.4709689,0.7157143,t17_f5_c3,20.0646,0.2573,True,False,False,correction_0.0.1,0.0,0.99997056,797120109.0
10,ztf,59401.347661999986,1647347660915015004,2,1647347660915,20.544397,1,1647,4.774003,19.941368,20.2221,0.1800704,0.2837,266.0290866,52.4708992,0.7014286,t17_f5_c3,20.2696,0.3794,True,False,False,correction_0.0.1,0.0,0.99999833,797120209.0
11,ztf,59403.30478010001,1649304780915015005,2,1649304780915,20.615713,1,1649,4.8247247,20.019526,19.8641,0.15419365,0.2036,266.0291068,52.4709086,0.69,t17_f5_c3,19.9918,0.2927,True,False,False,correction_0.0.1,0.0,0.9999988,797120209.0
12,ztf,59403.3744907002,1649374490915015016,1,1649374490915,20.501955,1,1649,2.9299164,19.935884,19.8438,0.17382868,0.1976,266.029023,52.470876,0.75857145,t17_f5_c3,19.7252,0.227,True,False,False,correction_0.0.1,0.0,0.9998058,797120109.0
13,ztf,59405.30696759978,1651306960915015010,1,1651306960915,20.709164,1,1651,3.1503992,20.027124,20.2442,0.15974489,0.2441,266.0291001,52.4709185,0.75714284,t17_f5_c3,20.1647,0.2904,True,False,False,correction_0.0.1,0.0,0.999962,797120109.0
14,ztf,59407.2711920999,1653271190915015016,1,1653271190915,20.678646,1,1653,3.170413,20.34646,20.8221,0.20394443,0.4446,266.0291154,52.4709176,0.57,t17_f5_c3,20.7605,0.5382,True,False,False,correction_0.0.1,0.0,0.9999985,797120109.0
