,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase
0,ztf,59393.38393520005,1639383932615015007,2,1639383932615,19.83714,1,1639,10.972866,18.321781,18.3309,0.089265876,0.0857,272.5761101,17.2434823,0.92142856,t17_f5_c3,0.99999917,18.3823,0.1148,588120226.0,True,False,False,correction_0.0.1,0.0
1,ztf,59395.28966439981,1641289662615015006,1,1641289662615,19.590673,1,1641,12.011911,18.34367,18.2269,0.12440677,0.1218,272.5761273,17.2435185,0.8685714,t17_f5_c3,0.9999999,18.0956,0.1379,588120126.0,True,False,False,correction_0.0.1,0.0
2,ztf,59399.299050900154,1645299052615015021,1,1645299052615,20.892002,1,1645,12.026577,18.847723,18.9,0.07494797,0.0667,272.5761245,17.2435148,0.9185714,t17_f5_c3,1.0,18.8459,0.0803,588120126.0,True,False,False,correction_0.0.1,0.0
3,ztf,59399.34256940009,1645342562615015015,2,1645342562615,20.6322,1,1645,11.013557,19.083105,19.1366,0.09167378,0.0996,272.5761264,17.2434925,0.9028571,t17_f5_c3,0.9999828,19.2185,0.1368,588120226.0,True,False,False,correction_0.0.1,0.0
4,ztf,59401.33996530017,1647339962615015020,2,1647339962615,20.576323,1,1647,10.952369,19.384827,19.2865,0.09612656,0.1178,272.5761055,17.2434871,0.88714284,t17_f5_c3,0.9999136,19.2668,0.148,588120226.0,True,False,False,correction_0.0.1,0.0
5,ztf,59401.372303199954,1647372302615015014,1,1647372302615,20.517519,1,1647,12.142282,19.360542,19.5013,0.13066435,0.1362,272.576128,17.2434821,0.8814286,t17_f5_c3,0.99999994,19.4461,0.1652,588120126.0,True,False,False,correction_0.0.1,0.0
6,ztf,59403.31870369986,1649318702615015016,2,1649318702615,20.723766,1,1649,10.930842,19.63424,19.4303,0.12868392,0.1267,272.5761114,17.2435057,0.68285716,t17_f5_c3,0.99999905,19.4811,0.1695,588120226.0,True,False,False,correction_0.0.1,0.0
7,ztf,59403.363067099825,1649363062615015016,1,1649363062615,20.542686,1,1649,12.094014,19.603846,19.6117,0.13552454,0.1776,272.5761064,17.2434978,0.81285715,t17_f5_c3,1.0,19.4925,0.2036,588120126.0,True,False,False,correction_0.0.1,0.0
8,ztf,59405.31939810002,1651319392615015015,1,1651319392615,20.62828,1,1651,12.065755,19.805977,19.8377,0.16518006,0.1915,272.576132,17.2435001,0.79142857,t17_f5_c3,0.9999999,19.6587,0.2079,588120126.0,True,False,False,correction_0.0.1,0.0
9,ztf,59405.33792820014,1651337922615015019,2,1651337922615,20.522902,1,1651,11.038166,19.754692,19.5671,0.16041048,0.1673,272.5761127,17.2434571,0.63857144,t17_f5_c3,0.999999,19.5048,0.2023,588120226.0,True,False,False,correction_0.0.1,0.0
10,ztf,59407.27651620004,1653276512615015014,1,1653276512615,20.6047,1,1653,12.0881,20.1728,19.9484,0.217339,0.2222,272.5761212,17.2434981,0.608571,t17_f5_c3,,19.943,0.283,,False,False,False,correction_0.0.1,0.0
11,ztf,59409.275636599865,1655275632615015021,2,1655275632615,20.689407,1,1655,10.910798,20.217459,20.0346,0.21322176,0.2308,272.5761156,17.2435274,0.4842857,t17_f5_c3,0.9999931,20.0137,0.2901,588120226.0,True,False,False,correction_0.0.1,0.0
12,ztf,59409.333159700036,1655333152615015018,1,1655333152615,20.60216,1,1655,12.089692,20.304085,20.4181,0.19973634,0.3413,272.5761256,17.2434945,0.57857144,t17_f5_c3,0.99999464,20.627,0.5298,588120126.0,True,False,False,correction_0.0.1,0.0
