,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,drb,rfid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext
0,ztf,59280.29604170006,1526296041815025008,2,1526296041815,20.4919,1,1526,1.56328,20.2403,20.6493,0.222247,0.4552,166.5501036,-3.8122923,0.805714,t17_f5_c3,20.5977,0.5527,False,False,False,correction_0.0.1,0.0,,,,,
1,ztf,59280.35795139987,1526357951815015003,1,1526357951815,20.1571,1,1526,1.52992,20.555,20.3549,0.367833,0.3755,166.5501662,-3.8123328,0.608571,t17_f5_c3,20.5433,0.5703,False,False,False,correction_0.0.1,0.0,,,,,
2,ztf,59290.25383100007,1536253831815015005,2,1536253831815,20.296707,1,1536,1.5194352,19.44651,19.381,0.15289642,0.1655,166.5501163,-3.8122871,0.8528572,t17_f5_c3,19.2004,0.1784,True,False,False,correction_0.0.1,0.0,0.99986386,419120218.0,,,
3,ztf,59290.294699099846,1536294691815015006,1,1536294691815,20.547571,1,1536,1.589486,19.532417,19.4718,0.10667841,0.1419,166.5501584,-3.8122966,0.9057143,t17_f5_c3,19.5253,0.1891,True,False,False,correction_0.0.1,0.0,0.99999976,419120118.0,,,
4,ztf,59292.2532060002,1538253201815015003,2,1538253201815,20.255527,1,1538,1.4477117,19.447472,19.9018,0.17951648,0.2871,166.5501389,-3.8122674,0.85,t17_f5_c3,19.7505,0.3184,True,False,False,correction_0.0.1,0.0,0.9997674,419120218.0,,,
5,ztf,59292.293819400016,1538293811815015007,1,1538293811815,20.419355,1,1538,1.6193479,19.572483,19.4648,0.13262323,0.1533,166.5501418,-3.8123266,0.9057143,t17_f5_c3,19.5645,0.2131,True,False,False,correction_0.0.1,0.0,0.99997926,419120118.0,,,
6,ztf,59294.28004630003,1540280041815015004,2,1540280041815,19.808287,1,1540,1.3344015,19.460678,19.5379,0.1463679,0.2624,166.5501674,-3.8123077,0.92285717,t17_f5_c3,19.5708,0.3462,True,True,True,correction_0.0.1,0.0,0.99995846,419120218.0,18.406315,0.034353722,0.055424362
7,ztf,59297.20501160016,1543205011815015000,1,1543205011815,19.2548,1,1543,1.72579,19.6115,19.5,0.235265,0.3707,166.5501122,-3.812534,0.54,t17_f5_c3,19.4138,0.4391,False,False,False,correction_0.0.1,0.0,,,,,
8,ztf,59297.25482639996,1543254821815015003,2,1543254821815,19.48811,1,1543,1.6383928,19.64734,19.8556,0.21670511,0.4906,166.5500872,-3.8122495,0.74857146,t17_f5_c3,19.8641,0.6338,True,False,False,correction_0.0.1,0.0,0.9994823,419120218.0,,,
9,ztf,59303.31478009978,1549314781815015002,2,1549314781815,19.3548,1,1549,1.78675,19.6504,19.3568,0.307487,0.3842,166.5500464,-3.8122399,0.521429,t17_f5_c3,19.2579,0.45,False,False,False,correction_0.0.1,0.0,,,,,
10,ztf,59308.270659700036,1554270651815015002,1,1554270651815,20.4923,1,1554,1.63104,20.6976,20.5022,0.261182,0.3751,166.5501462,-3.8122966,0.715714,t17_f5_c3,20.3602,0.4198,False,False,False,correction_0.0.1,0.0,,,,,
11,ztf,59317.19172450015,1563191721815015005,2,1563191721815,20.477623,1,1563,1.6551849,20.223848,20.2508,0.19916779,0.313,166.5500899,-3.8122126,0.8157143,t17_f5_c3,19.942,0.2999,True,False,False,correction_0.0.1,0.0,0.99964297,419120218.0,,,
