,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,drb,rfid
0,ztf,58864.4675925998,1110467591815015001,1,1110467591815,19.697,1,1110,1.47806,19.7965,19.2708,0.238613,0.2268,254.5055324,68.056846,0.38,t17_f5_c3,19.3061,0.3001,False,False,False,bulk_1.0.0,0.0,1123514961815015003,,,,,
1,ztf,58866.53302079998,1112533021815015001,2,1112533021815,20.1547,1,1112,1.42432,20.2665,20.9177,0.243872,0.7771,254.5055104,68.0568492,0.851429,t17_f5_c3,20.6534,0.7794,False,False,False,bulk_1.0.0,0.0,1123514961815015003,,,,,
2,ztf,58871.44644680014,1117446441815015004,1,1117446441815,19.9059,1,1117,1.06121,19.9055,19.7547,0.222213,0.2336,254.5058188,68.0567379,0.4,t17_f5_c3,19.5,0.2364,False,True,True,bulk_1.0.0,0.0,1123514961815015003,19.150673,0.10567223,0.11087618,,
3,ztf,58872.45310189994,1118453101815015002,1,1118453101815,19.6125,1,1118,1.28355,20.0112,20.3809,0.338432,0.7862,254.5056056,68.0567955,0.648571,t17_f5_c3,20.2942,0.9313,False,True,True,bulk_1.0.0,0.0,1123514961815015003,19.202127,0.15673195,0.16063577,,
4,ztf,58872.567187500186,1118567181815015001,2,1118567181815,20.359259,1,1118,1.4052166,20.160086,20.07,0.17264806,0.3356,254.5056569,68.0568534,0.8685714,t17_f5_c3,19.7863,0.3305,False,False,False,bulk_1.0.0,0.0,1123514961815015003,,,,0.99979055,847120218.0
5,ztf,58873.55377310002,1119553771815015004,1,1119553771815,20.578733,1,1119,1.33966,20.139011,19.99,0.16725853,0.2095,254.5057341,68.0568164,0.89428574,t17_f5_c3,19.7895,0.2221,False,True,True,bulk_1.0.0,0.0,1123514961815015003,19.260921,0.06457164,0.074499376,0.999977,847120118.0
6,ztf,58875.47115739994,1121471151815015005,1,1121471151815,20.0587,1,1121,1.40495,20.1337,20.2354,0.248946,0.2847,254.5056087,68.0568303,0.434286,t17_f5_c3,20.4444,0.4403,False,False,False,bulk_1.0.0,0.0,1123514961815015003,,,,,
7,ztf,58875.54708330007,1121547081815015001,2,1121547081815,20.0855,1,1121,0.937917,20.0368,20.2984,0.222797,0.3531,254.5058415,68.0567233,0.762857,t17_f5_c3,20.3244,0.4611,False,True,True,bulk_1.0.0,0.0,1123514961815015003,18.658031,0.031727355,0.062575154,,
8,ztf,58876.53075229982,1122530751815025003,1,1122530751815,20.5758,1,1122,1.48101,20.3213,20.2249,0.233743,0.2785,254.5057016,68.0568556,0.852857,t17_f5_c3,20.1436,0.3298,False,False,False,bulk_1.0.0,0.0,1123514961815015003,,,,,
9,ztf,58876.53075229982,1122530751815015003,1,1122530751815,20.5743,1,1122,1.47696,20.3373,20.2964,0.233,0.2978,254.5056895,68.0568541,0.87,t17_f5_c3,20.1958,0.3464,False,False,False,bulk_1.0.0,0.0,1122555521815015003,,,,,
10,ztf,58876.55552079994,1122555521815015003,2,1122555521815,20.529049,1,1122,1.2736037,20.13659,20.0734,0.17180939,0.2803,254.5056173,68.0568155,0.9042857,t17_f5_c3,20.068,0.3551,False,True,True,bulk_1.0.0,0.0,1123514961815015003,18.685144,100.0,0.045130406,0.9999505,847120218.0
11,ztf,58877.51496529998,1123514961815015003,2,1123514961815,20.21055,1,1123,1.4228392,20.311071,20.8089,0.20924056,0.5966,254.5054645,68.0568436,0.92285717,t17_f5_c3,20.5492,0.6001,True,False,False,bulk_1.0.0,0.0,0,,,,0.99190557,847120218.0
