,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,rbversion
0,ztf,58317.36021990003,563360215915015012,1,563360215915,20.781397,1,563,5.6661725,19.262445,19.2507,0.10442259,0.0994,281.7023791,36.0154416,0.54333335,0.0,19.2703,0.1286,684120159.0,False,False,False,bulk_1.0.0,0.0,5.6636172591501504e+17,
1,ztf,58317.40598380007,563405985915015005,2,563405985915,20.434885,1,563,10.019983,19.475105,19.3154,0.11078784,0.1365,281.7023433,36.0154088,0.47333333,0.0,19.3254,0.1763,684120259.0,False,False,False,bulk_1.0.0,0.0,5.6640231591501504e+17,
2,ztf,58320.36172450008,566361725915015029,2,566361725915,20.855642,1,566,10.163,19.899988,20.1033,0.1372694,0.2041,281.7022935,36.0154108,0.39,0.0,20.2632,0.3024,684120259.0,False,False,False,bulk_1.0.0,0.0,5.6640231591501504e+17,t8_f5_c3
3,ztf,58320.40231479984,566402315915015016,1,566402315915,20.509192,1,566,5.8583837,19.698544,19.6302,0.15449467,0.1743,281.7023651,36.0153831,0.38666666,0.0,19.7662,0.2525,684120159.0,False,False,False,bulk_1.0.0,0.0,5.69267825915015e+17,t8_f5_c3
4,ztf,58323.267824099865,569267825915015001,2,569267825915,20.098274,1,569,10.073607,19.789568,19.5845,0.1728082,0.2636,281.702321,36.0153951,0.28666666,0.0,19.7115,0.3804,684120259.0,True,False,False,bulk_1.0.0,0.0,0.0,t8_f5_c3
5,ztf,58572.432534699794,818432535915015007,2,818432535915,20.425058,1,818,9.811972,19.972464,19.8266,0.17399299,0.2386,281.7024178,36.0154316,0.15428571,0.0,20.1434,0.4091,684120259.0,False,False,False,bulk_1.0.0,0.0,8.18503835915015e+17,t15_f5_c3
6,ztf,58572.50383100007,818503835915015008,1,818503835915,20.555506,1,818,5.712764,19.82793,20.0951,0.17056191,0.2348,281.7023012,36.0154772,0.5285714,0.0,20.0506,0.289,684120159.0,True,False,False,bulk_1.0.0,0.0,0.0,t15_f5_c3
7,ztf,58747.14417820005,993144175915015021,1,993144175915,20.833952,1,993,5.7809277,19.044777,19.0479,0.088737406,0.08,281.7023302,36.0154309,0.9514286,0.9999998,19.0356,0.1003,684120159.0,False,False,False,bulk_1.0.0,0.0,1.000131795915015e+18,t17_f5_c3
8,ztf,58751.13627310004,997136275915015012,2,997136275915,20.42781,1,997,10.207543,19.668907,19.6928,0.15808605,0.2,281.7022678,36.0154,0.79285717,0.9999431,19.9464,0.3238,684120259.0,False,False,False,bulk_1.0.0,0.0,1.000131795915015e+18,t17_f5_c3
9,ztf,58754.131794000044,1000131795915015015,2,1000131795915,20.704222,1,1000,9.966547,19.997301,19.9185,0.16098508,0.1938,281.7023618,36.015408,0.54,0.99837375,20.0035,0.2691,684120259.0,True,False,False,bulk_1.0.0,0.0,0.0,t17_f5_c3
