,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,drb,rfid
0,ztf,59252.21361109987,1498213615315015011,2,1498213615315,20.2863,1,1498,3.60615,20.626,20.2532,0.320948,0.3841,131.0006071,7.478256,0.635714,t17_f5_c3,20.0921,0.4239,False,False,False,correction_0.0.1,0.0,,
1,ztf,59252.28422449995,1498284225315015016,1,1498284225315,20.51518,1,1498,4.1543365,20.373652,20.7466,0.21441321,0.4652,131.0004638,7.4781946,0.7542857,t17_f5_c3,20.589,0.5154,True,False,False,correction_0.0.1,0.0,0.9999796,465120153.0
2,ztf,59254.27025459986,1500270255315015018,2,1500270255315,20.4952,1,1500,3.91451,20.257,20.4674,0.244311,0.3744,131.0004971,7.4782539,0.714286,t17_f5_c3,20.5196,0.5013,False,False,False,correction_0.0.1,0.0,,
3,ztf,59254.276458300184,1500276455315015020,1,1500276455315,20.812899,1,1500,4.001277,20.070276,20.1289,0.16583605,0.2082,131.0004788,7.4782502,0.76857144,t17_f5_c3,20.106,0.2598,True,False,False,correction_0.0.1,0.0,0.99997044,465120153.0
4,ztf,59256.236250000075,1502236255315015014,2,1502236255315,20.472303,1,1502,4.0796695,19.978073,19.8098,0.17266487,0.2184,131.0004638,7.4782267,0.75857145,t17_f5_c3,19.8684,0.2938,True,False,False,correction_0.0.1,0.0,0.99981725,465120253.0
5,ztf,59256.29487269977,1502294875315015011,1,1502294875315,20.419834,1,1502,4.057269,19.77797,19.7776,0.16073322,0.2038,131.0004621,7.4782501,0.86714286,t17_f5_c3,19.8185,0.2705,True,False,False,correction_0.0.1,0.0,0.9999975,465120153.0
6,ztf,59260.25579860015,1506255795315015006,2,1506255795315,19.7127,1,1506,4.18633,19.745,19.5727,0.257797,0.2727,131.0004511,7.4781848,0.621429,t17_f5_c3,19.6901,0.3887,False,False,False,correction_0.0.1,0.0,,
7,ztf,59260.303738399874,1506303735315015010,1,1506303735315,20.185633,1,1506,4.025895,19.425142,19.4191,0.13725793,0.1869,131.0004979,7.4782091,0.9028571,t17_f5_c3,19.4292,0.241,True,False,False,correction_0.0.1,0.0,0.9969715,465120153.0
8,ztf,59263.235324100126,1509235325315015008,2,1509235325315,19.6436,1,1509,3.95137,19.6303,19.7137,0.26199,0.2644,131.00053,7.4781992,0.351429,t17_f5_c3,19.9355,0.4149,False,False,False,correction_0.0.1,0.0,,
9,ztf,59263.33771990007,1509337715315015004,1,1509337715315,19.8563,1,1509,3.80118,19.4454,19.1318,0.218631,0.1161,131.0005889,7.4781896,0.28,t17_f5_c3,19.0671,0.1396,False,False,False,correction_0.0.1,0.0,,
10,ztf,59265.2943519,1511294355315015015,2,1511294355315,20.317068,1,1511,4.1745563,19.67788,19.4043,0.1587578,0.1677,131.0004553,7.4781882,0.7657143,t17_f5_c3,19.6316,0.2634,True,False,False,correction_0.0.1,0.0,0.9999193,465120253.0
11,ztf,59265.39403939992,1511394035315015012,1,1511394035315,20.373941,1,1511,3.9939516,19.43177,19.2089,0.12780704,0.1245,131.0004797,7.4782576,0.80714285,t17_f5_c3,19.2756,0.1687,True,False,False,correction_0.0.1,0.0,0.9999973,465120153.0
12,ztf,59267.27512730006,1513275125315015013,1,1513275125315,19.741718,1,1513,3.8801572,19.275526,19.3593,0.1365832,0.2191,131.0005163,7.4782579,0.6685714,t17_f5_c3,19.2232,0.2481,True,False,False,correction_0.0.1,0.0,0.99991775,465120153.0
13,ztf,59267.29627310019,1513296275315015013,2,1513296275315,19.757687,1,1513,4.2325053,19.260874,19.0626,0.14131078,0.1782,131.0004277,7.4781953,0.75714284,t17_f5_c3,18.9681,0.2092,True,False,False,correction_0.0.1,0.0,0.99994016,465120253.0
14,ztf,59269.253888899926,1515253885315015007,1,1515253885315,19.612,1,1515,4.09215,19.5743,19.3987,0.258579,0.3441,131.0004632,7.4782284,0.29,t17_f5_c3,19.7794,0.6273,False,False,False,correction_0.0.1,0.0,,
15,ztf,59271.253067099955,1517253065315015014,2,1517253065315,18.981,1,1517,4.04313,19.3451,19.3474,0.326465,0.4514,131.0005096,7.4781814,0.41,t17_f5_c3,19.6245,0.7486,False,False,False,correction_0.0.1,0.0,,
16,ztf,59275.17021990009,1521170215315015007,1,1521170215315,20.313272,1,1521,3.8990436,19.62397,19.7048,0.17024234,0.1847,131.0004941,7.4782847,0.7757143,t17_f5_c3,19.7069,0.2363,True,False,False,correction_0.0.1,0.0,0.99973005,465120153.0
17,ztf,59275.27778939996,1521277785315015009,2,1521277785315,19.708061,1,1521,4.124,19.560383,19.2267,0.17569332,0.2073,131.000471,7.4781939,0.5971429,t17_f5_c3,19.1313,0.2432,True,False,False,correction_0.0.1,0.0,0.9978343,465120253.0
18,ztf,59278.17045139987,1524170455315015014,2,1524170455315,20.067196,1,1524,4.0699725,19.633572,19.3901,0.17774273,0.1828,131.0005402,7.4781331,0.48,t17_f5_c3,19.2995,0.2148,True,False,False,correction_0.0.1,0.0,0.9989054,465120253.0
19,ztf,59278.2360417,1524236045315015009,1,1524236045315,20.064106,1,1524,4.2431364,19.807728,20.1184,0.20055467,0.3082,131.0004261,7.4782052,0.64285713,t17_f5_c3,20.2139,0.4312,True,False,False,correction_0.0.1,0.0,0.9992254,465120153.0
