,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,drb,rfid
0,ztf,59305.27193289995,1551271932915015024,1,1551271932915,19.6087,1,1551,1.37862,19.9149,19.527391,19.8183,0.269766,0.18209827,0.18879226,0.4008,160.753835,-17.4685522,0.46,t17_f5_c3,19.7677,0.4908,False,True,True,correction_0.0.1,0.0,,
1,ztf,59305.31219909992,1551312192915015001,2,1551312192915,19.3175,1,1551,0.741194,19.6033,19.152002,19.3208,0.293222,0.18964371,0.19349848,0.2884,160.7537425,-17.4685161,0.492857,t17_f5_c3,18.8885,0.2487,False,True,True,correction_0.0.1,0.0,,
2,ztf,59307.1536921002,1553153691615015008,1,1553153691615,20.202433,1,1553,1.4466652,19.399225,,19.4191,0.1252941,,,0.1725,160.7537615,-17.4685793,0.8471429,t17_f5_c3,19.5275,0.2436,True,False,True,correction_0.0.1,0.0,0.9999898,316120116.0
3,ztf,59307.275381899904,1553275382915015006,1,1553275382915,20.255608,1,1553,0.8761392,19.446915,19.179977,19.1733,0.14454629,0.10709273,0.11303995,0.1294,160.7538255,-17.468694,0.45857143,t17_f5_c3,18.9903,0.1398,True,True,False,correction_0.0.1,0.0,0.9993474,317120129.0
4,ztf,59309.18949070014,1555189491615015008,1,1555189491615,20.20346,1,1555,1.2799838,19.049562,18.945574,18.977,0.08404453,0.07492143,0.076368466,0.1127,160.753797,-17.4686099,0.89428574,t17_f5_c3,18.9294,0.1377,True,True,False,correction_0.0.1,0.0,0.99986327,316120116.0
5,ztf,59309.19090279983,1555190902915015004,1,1555190902915,20.251541,1,1555,1.3101612,19.183592,18.968855,19.1733,0.09791171,0.07461498,0.0803415,0.1326,160.7538248,-17.4685714,0.89428574,t17_f5_c3,19.1079,0.1595,True,True,False,correction_0.0.1,0.0,0.999998,317120129.0
6,ztf,59309.2503819,1555250381615015005,2,1555250381615,19.413746,1,1555,0.63139707,19.234446,18.862709,19.1961,0.15521564,0.10909739,0.110215,0.279,160.7537572,-17.4685951,0.8857143,t17_f5_c3,19.0076,0.3011,True,True,False,correction_0.0.1,0.0,0.9998692,316120216.0
7,ztf,59311.20857639983,1557208571615015002,1,1557208571615,18.5909,1,1557,1.24309,18.7979,18.714622,18.444,0.236846,0.21903268,0.21935901,0.3335,160.7538359,-17.4685775,0.447143,t17_f5_c3,18.9506,0.6815,False,True,False,correction_0.0.1,0.0,,
8,ztf,59311.20951389987,1557209512915015003,1,1557209512915,18.6036,1,1557,1.31638,18.6178,18.485226,18.5124,0.257454,0.22706063,0.22786094,0.3519,160.7537846,-17.4685716,0.681429,t17_f5_c3,18.2593,0.3577,False,True,False,correction_0.0.1,0.0,,
9,ztf,59313.2098495001,1559209842915015005,2,1559209842915,20.002178,1,1559,0.44620135,18.963808,18.69073,19.0414,0.114516675,0.08543169,0.08905069,0.1503,160.7538266,-17.4686181,0.9057143,t17_f5_c3,19.0372,0.1913,True,True,False,correction_0.0.1,0.0,0.99999654,317120229.0
10,ztf,59313.23140050005,1559231402915015007,1,1559231402915,20.099,1,1559,1.3589514,18.906408,18.736483,18.9518,0.08754885,0.07089736,0.07486522,0.12,160.7538351,-17.4685612,0.92142856,t17_f5_c3,18.8624,0.1412,True,True,False,correction_0.0.1,0.0,0.9999715,317120129.0
11,ztf,59313.23233800009,1559232331615015007,1,1559232331615,20.212572,1,1559,1.3568298,18.99157,18.892752,18.998,0.1330471,0.12065218,0.121472515,0.1204,160.753783,-17.4685913,0.87857145,t17_f5_c3,19.0357,0.1589,True,True,False,correction_0.0.1,0.0,0.99996823,316120116.0
12,ztf,59315.1942245001,1561194221615015014,1,1561194221615,20.360703,1,1561,1.3628019,18.893248,18.802637,18.7838,0.088584855,0.08045322,0.08149211,0.0873,160.7537764,-17.4685973,0.9,t17_f5_c3,18.8328,0.116,True,True,False,correction_0.0.1,0.0,0.9999099,316120116.0
13,ztf,59315.20960649988,1561209602915015008,1,1561209602915,20.39398,1,1561,1.1617489,18.944242,18.768753,18.8098,0.0880627,0.07070487,0.07491974,0.0857,160.7538289,-17.4686174,0.8914286,t17_f5_c3,18.6788,0.0966,True,True,False,correction_0.0.1,0.0,0.99980175,317120129.0
14,ztf,59315.23128469987,1561231282915015004,2,1561231282915,20.232544,1,1561,0.42539883,18.868752,18.616104,18.8754,0.10585688,0.080532916,0.08388028,0.1075,160.7537933,-17.4686106,0.9071429,t17_f5_c3,18.8784,0.1374,True,True,False,correction_0.0.1,0.0,0.9999957,317120229.0
15,ztf,59317.17349540023,1563173492915015006,1,1563173492915,20.415695,1,1563,1.2364188,18.965645,18.786934,18.8957,0.07979671,0.0628231,0.0676863,0.084,160.7538552,-17.4685938,0.8757143,t17_f5_c3,18.8015,0.0979,True,True,False,correction_0.0.1,0.0,0.999998,317120129.0
