,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase
0,ztf,59290.329722200055,1536329725615015001,1,1536329725615,20.386612,1,1536,2.7431092,19.26153,19.3778,0.11580885,0.1412,184.3181587,-13.5130197,0.9028571,t17_f5_c3,0.99999917,19.3592,0.1769,320120156.0,True,False,False,correction_0.0.1,0.0
1,ztf,59290.33908559987,1536339085615015002,2,1536339085615,20.2433,1,1536,3.1157296,19.282764,19.1819,0.15072931,0.1468,184.3181856,-13.5130176,0.7814286,t17_f5_c3,0.99997866,19.2601,0.201,320120256.0,True,False,False,correction_0.0.1,0.0
2,ztf,59291.29006939987,1537290060215015015,1,1537290060215,20.109045,1,1537,2.6877265,19.145063,19.3135,0.10073837,0.1554,184.3182034,-13.5130046,0.81714284,t17_f5_c3,0.9998162,19.5906,0.2554,370120102.0,True,False,False,correction_0.0.1,0.0
3,ztf,59292.31443289993,1538314435615015002,1,1538314435615,20.262758,1,1538,2.7930348,19.083496,19.2142,0.1310991,0.1316,184.3181487,-13.513008,0.89857143,t17_f5_c3,0.9999999,19.2835,0.1787,320120156.0,True,False,False,correction_0.0.1,0.0
4,ztf,59293.292963000014,1539292960215015004,1,1539292960215,20.176033,1,1539,2.7532272,18.951878,18.9434,0.096043356,0.1103,184.3181471,-13.5130522,0.89285713,t17_f5_c3,0.9999535,18.8951,0.1343,370120102.0,True,False,False,correction_0.0.1,0.0
5,ztf,59294.284027799964,1540284025615015006,1,1540284025615,19.678783,1,1540,2.872658,18.870321,18.9002,0.12268003,0.14,184.3181974,-13.512972,0.7057143,t17_f5_c3,0.99997205,18.8579,0.1722,320120156.0,True,False,False,correction_0.0.1,0.0
6,ztf,59296.35091440007,1542350910215015018,2,1542350910215,19.46931,1,1542,1.4705682,18.895744,18.6593,0.1289938,0.1369,184.3181015,-13.5130337,0.37714285,t17_f5_c3,0.99977314,18.4436,0.1438,370120202.0,True,False,False,correction_0.0.1,0.0
7,ztf,59297.27258099988,1543272585615015005,2,1543272585615,19.330519,1,1543,2.9784806,18.890762,19.0134,0.1517031,0.2221,184.3182203,-13.5130559,0.60571426,t17_f5_c3,0.99996006,18.9557,0.27,320120256.0,True,False,False,correction_0.0.1,0.0
8,ztf,59297.29623840004,1543296235615015002,1,1543296235615,19.0524,1,1543,2.33647,18.6482,18.6274,0.141514,0.1459,184.3183847,-13.5131022,0.184286,t17_f5_c3,,18.5289,0.1708,,False,False,False,correction_0.0.1,0.0
9,ztf,59298.306273099966,1544306270215015006,2,1544306270215,19.030891,1,1544,1.6818502,18.755392,18.8638,0.1394716,0.2906,184.3181399,-13.5129827,0.8214286,t17_f5_c3,0.99997425,18.8076,0.3542,370120202.0,True,False,False,correction_0.0.1,0.0
