,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,drb,rfid,parent_candid
0,ztf,59386.34694440011,1632346943315015003,1,1632346943315,19.6734,1,1632,1.55613,20.0903,19.7936,0.334114,0.3901,287.5996646,77.8068576,0.205714,t17_f5_c3,19.91,0.5579,False,False,False,correction_0.0.1,0.0,,,,,,
1,ztf,59386.37401620019,1632374013315015001,2,1632374013315,19.8185,1,1632,0.483561,19.949,20.3233,0.222228,0.5404,287.5996361,77.8072685,0.505714,t17_f5_c3,20.2735,0.6635,False,True,False,correction_0.0.1,0.0,19.819471,0.19660738,0.19723676,,,
2,ztf,59386.386377300136,1632386374415015003,2,1632386374415,20.113287,1,1632,0.39866027,20.043016,20.2177,0.20337366,0.4358,287.599641,77.8071603,0.7457143,t17_f5_c3,20.2283,0.5647,True,True,False,correction_0.0.1,0.0,19.918455,0.17911002,0.18133032,0.9999959,866120244.0,
3,ztf,59386.43209489994,1632432094415015002,1,1632432094415,20.4371,1,1632,10.0113,19.8076,19.3136,0.121563,0.1247,287.5997469,77.8069782,0.278571,t17_f5_c3,19.3533,0.1651,False,False,False,correction_0.0.1,0.0,,,,,,
4,ztf,59390.26146990014,1636261464415015004,1,1636261464415,19.385118,1,1636,10.443765,19.415417,19.3686,0.21313785,0.3709,287.5994193,77.8070784,0.67,t17_f5_c3,19.2173,0.4148,True,False,False,correction_0.0.1,0.0,,,,0.9999688,866120144.0,
5,ztf,59390.335208300035,1636335203315015001,2,1636335203315,19.78378,1,1636,0.96503615,19.58007,19.6003,0.18607019,0.3384,287.599413,77.807099,0.5285714,t17_f5_c3,19.9864,0.6198,True,True,False,correction_0.0.1,0.0,19.486301,0.17028102,0.17067456,0.9940287,865120233.0,
6,ztf,59390.361169000156,1636361164415015004,2,1636361164415,19.874477,1,1636,0.30507195,19.469252,19.6254,0.18647778,0.3333,287.5997665,77.8071451,0.7728571,t17_f5_c3,19.5353,0.3939,True,True,False,correction_0.0.1,0.0,19.394106,0.17313017,0.1740077,0.9998597,866120244.0,
7,ztf,59392.27959490009,1638279593315015002,1,1638279593315,19.627712,1,1638,0.75682193,19.120865,19.1557,0.14458302,0.23,287.5995272,77.8070957,0.79714286,t17_f5_c3,19.3938,0.3674,True,True,True,correction_0.0.1,0.0,19.088625,0.13999352,0.14035276,0.99992406,865120133.0,
8,ztf,59392.281099500135,1638281094415015007,1,1638281094415,19.805437,1,1638,10.486292,19.040567,18.8472,0.1025441,0.1633,287.599554,77.8071172,0.87285715,t17_f5_c3,18.8466,0.2092,True,False,False,correction_0.0.1,0.0,,,,0.999727,866120144.0,
9,ztf,59392.36245370004,1638362454415015005,2,1638362454415,19.7788,1,1638,0.5523384,19.341614,19.3108,0.15540239,0.2364,287.5994578,77.8071058,0.8485714,t17_f5_c3,18.9327,0.2144,True,True,False,correction_0.0.1,0.0,19.27455,0.14525503,0.14609393,0.99989736,866120244.0,
10,ztf,59392.36438659998,1638364383315015001,2,1638364383315,19.865814,1,1638,0.6260853,19.325748,19.464,0.13909626,0.2577,287.599918,77.8071429,0.86285716,t17_f5_c3,19.2316,0.267,True,True,False,correction_0.0.1,0.0,19.250902,0.12949522,0.1298306,0.9999988,865120233.0,
11,ztf,59394.3268519002,1640326853315015001,2,1640326853315,19.549038,1,1640,0.9913431,19.107315,18.9576,0.13646251,0.2193,287.5996096,77.8070629,0.81142855,t17_f5_c3,18.967,0.284,True,True,False,correction_0.0.1,0.0,19.04573,0.1287062,0.12893753,0.99998695,865120233.0,
12,ztf,59394.34383099992,1640343833315015003,1,1640343833315,19.69741,1,1640,0.83967185,19.055586,19.1373,0.15830459,0.2375,287.5995287,77.807071,0.9057143,t17_f5_c3,18.901,0.2452,True,True,True,correction_0.0.1,0.0,19.0252,0.15364434,0.15393567,0.9998781,865120133.0,
13,ztf,59394.36545140017,1640365454415015003,1,1640365454415,20.079334,1,1640,10.3920965,19.076944,19.1195,0.104360305,0.1798,287.5996605,77.807099,0.9057143,t17_f5_c3,19.2268,0.254,True,False,False,correction_0.0.1,0.0,,,,0.99711776,866120144.0,
14,ztf,59394.43259260012,1640432594415015011,2,1640432594415,20.119785,1,1640,0.4050105,19.112072,19.2682,0.09294843,0.1904,287.5996732,77.8070956,0.9042857,t17_f5_c3,19.2351,0.2365,True,True,False,correction_0.0.1,0.0,19.057472,0.08745803,0.08838983,0.999995,866120244.0,
15,ztf,59396.35273149982,1642352733315015005,2,1642352733315,20.18539,1,1642,0.7946741,19.128933,18.9033,0.10983,0.1169,287.5998553,77.807097,0.81714284,t17_f5_c3,18.9707,0.1591,True,True,False,correction_0.0.1,0.0,19.066145,0.103359744,0.10365867,0.99999034,865120233.0,
16,ztf,59396.42534720013,1642425343315015002,1,1642425343315,20.140947,1,1642,0.7930976,19.003126,18.6842,0.1046617,0.1051,287.5996961,77.8070724,0.76285714,t17_f5_c3,18.6957,0.1356,True,True,True,correction_0.0.1,0.0,18.974155,0.1015049,0.10190589,0.9999978,865120133.0,
17,ztf,59397.30592590012,1643305924415015011,1,1643305924415,20.514153,1,1643,10.361923,19.013783,18.8592,0.07452472,0.0844,287.5996488,77.8070875,0.87142855,t17_f5_c3,18.7618,0.0983,True,False,False,correction_0.0.1,0.0,,,,0.99999833,866120144.0,
18,ztf,59397.36487270007,1643364874415015006,2,1643364874415,20.438652,1,1643,0.4232542,19.129824,19.2229,0.07547204,0.1334,287.5996169,77.8071211,0.91571426,t17_f5_c3,19.2643,0.177,True,True,False,correction_0.0.1,0.0,19.074347,0.07052423,0.07171258,0.9999995,866120244.0,
19,ztf,59399.30787040014,1645307873315015155,1,1645307873315,20.105654,1,1645,0.57017183,18.906137,18.869,0.08429967,0.133,287.5997935,77.8071336,0.8428571,t17_f5_c3,18.8665,0.1694,True,True,True,correction_0.0.1,0.0,18.879612,0.08184753,0.08226511,0.99999976,865120133.0,
20,ztf,59399.3478472,1645347843315015004,2,1645347843315,20.45823,1,1645,0.81499296,19.111954,18.9974,0.1065511,0.099,287.5997824,77.8070978,0.88285714,t17_f5_c3,19.0842,0.1367,True,True,False,correction_0.0.1,0.0,19.050112,0.10035286,0.10065177,0.99999994,865120233.0,
21,ztf,59400.36401619995,1646364014415015006,1,1646364014415,20.357334,1,1646,10.3884535,19.028969,18.9629,0.081400625,0.0936,287.5995773,77.8070842,0.8842857,t17_f5_c3,18.9061,0.1132,True,False,False,correction_0.0.1,0.0,,,,0.9999987,866120144.0,
22,ztf,59400.42736109998,1646427364415015003,2,1646427364415,20.145256,1,1646,0.47174728,19.071386,18.9808,0.07388475,0.1177,287.5996052,77.807086,0.8685714,t17_f5_c3,18.9449,0.1456,True,True,False,correction_0.0.1,0.0,19.018747,0.06929581,0.070388086,0.99999034,866120244.0,
23,ztf,59401.35112270014,1647351123315015004,2,1647351123315,20.455624,1,1647,0.78722966,19.11121,19.0712,0.085238226,0.1063,287.5998263,77.8071017,0.91571426,t17_f5_c3,19.0734,0.136,True,True,False,correction_0.0.1,0.0,19.04941,0.080148496,0.080521956,0.9999995,865120233.0,
24,ztf,59401.36459490005,1647364593315015002,1,1647364593315,20.361757,1,1647,0.98479986,19.090965,19.053,0.09610568,0.1002,287.5997341,77.8070179,0.8457143,t17_f5_c3,19.0169,0.1235,True,True,True,correction_0.0.1,0.0,19.059587,0.09285534,0.093367994,0.9999994,865120133.0,
25,ztf,59402.32229170017,1648322294415015007,1,1648322294415,20.483812,1,1648,10.322257,19.130112,19.0642,0.09911612,0.0996,287.5997194,77.8070869,0.89857143,t17_f5_c3,19.0488,0.1251,True,False,False,correction_0.0.1,0.0,,,,0.9999992,866120144.0,
