,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,rbversion
0,ztf,58303.17798609985,549177984915010850,2,549177984915,20.469645,-1,549,1.0792085,18.515705,18.122799,18.5199,0.09384062,0.059444096,0.06534739,0.0498,213.3138305,29.1102669,0.5,0.0,18.4878,0.0608,628120249.0,True,True,False,bulk_1.0.0,0.0,0.0,
1,ztf,58654.193391200155,900193394915015015,2,900193394915,20.5942,1,900,0.411768,20.2245,17.46035,20.936,0.251201,0.013056496,0.019695248,0.6148,213.3136892,29.1104185,0.624286,,20.7406,0.6451,,False,True,False,bulk_1.0.0,0.0,9.09195724915015e+17,t17_f5_c3
2,ztf,58657.257638900075,903257634915015008,2,903257634915,20.3876,1,903,0.832998,20.2649,17.463465,20.2903,0.269033,0.01402551,0.020381274,0.3734,213.3137908,29.1103269,0.831429,,20.1013,0.3953,,False,True,False,bulk_1.0.0,0.0,9.09195724915015e+17,t17_f5_c3
3,ztf,58663.1957291998,909195724915015019,2,909195724915,19.942434,1,909,0.16878062,19.47273,17.378513,19.1259,0.17004983,0.020582201,0.024710951,0.1857,213.3137235,29.1105303,0.95714283,0.9994118,19.1169,0.2339,628120249.0,False,True,False,bulk_1.0.0,0.0,9.35177244915015e+17,t17_f5_c3
4,ztf,58689.177245399915,935177244915015008,2,935177244915,20.353449,1,935,0.49223974,19.624779,17.39933,19.7134,0.16615446,0.016231896,0.02139599,0.2462,213.3136488,29.1103984,0.94142854,0.99894774,19.6957,0.3056,628120249.0,False,True,False,bulk_1.0.0,0.0,9.51160164915015e+17,t17_f5_c3
5,ztf,58705.160161999986,951160164915015016,2,951160164915,19.712372,1,951,0.26958853,19.447832,17.37486,20.0902,0.20096877,0.026479429,0.02978103,0.5671,213.3137265,29.1104786,0.87714285,0.9986193,19.5728,0.4502,628120249.0,True,True,False,bulk_1.0.0,0.0,0.0,t17_f5_c3
6,ztf,58875.52574069984,1121525744915015047,2,1121525744915,20.435257,1,1121,0.9726491,19.518778,17.385086,19.5708,0.20360379,0.02499411,0.02853046,0.1668,213.3139698,29.1104585,0.62857145,0.9039078,19.6236,0.2185,628120249.0,False,True,False,bulk_1.0.0,0.0,1.147436924915015e+18,t17_f5_c3
7,ztf,58881.52690970013,1127526904915015026,2,1127526904915,20.58692,1,1127,0.8817162,19.737019,17.413149,19.6484,0.19189177,0.017607577,0.022568796,0.1902,213.3139482,29.1104654,0.8214286,0.9996057,19.604,0.2289,628120249.0,False,True,False,bulk_1.0.0,0.0,1.147436924915015e+18,t17_f5_c3
8,ztf,58887.54196760012,1133541964915015004,2,1133541964915,19.851194,1,1133,0.4636919,19.445854,17.374567,19.7871,0.17886735,0.022783674,0.026547039,0.4082,213.3138064,29.110477,0.8757143,0.9956455,19.795,0.525,628120249.0,False,True,False,bulk_1.0.0,0.0,1.147436924915015e+18,t17_f5_c3
9,ztf,58898.458090300206,1144458094915015050,1,1144458094915,21.0317,1,1144,1.83238,19.8888,,19.6115,0.244808,,,0.1209,213.3142475,29.1104033,0.341429,,19.6468,0.1534,,False,False,False,bulk_1.0.0,0.0,1.147436924915015e+18,t17_f5_c3
