,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase
0,ztf,59623.301666699816,1869301661415015002,1,1869301661415,19.774376,1,1869,0.54277086,19.80844,19.604082,19.6238,0.20140588,0.16605332,0.16685131,0.351,162.6871589,37.3719097,0.70428574,t17_f5_c3,0.998854,19.493,0.3994,713120114,True,True,False,correction_1.0.6,0.0
1,ztf,59623.35064810002,1869350641415015003,2,1869350641415,19.800798,1,1869,0.30626076,19.711815,19.34659,19.5618,0.1952517,0.13888423,0.13947783,0.3096,162.6870294,37.3718495,0.8914286,t17_f5_c3,0.9997283,19.4676,0.3642,713120214,True,True,False,correction_1.0.6,0.0
2,ztf,59636.41072920011,1882410721415015006,2,1882410721415,20.439043,1,1882,0.48792246,20.129427,19.627678,20.2972,0.21302912,0.13315861,0.13419585,0.3665,162.6871436,37.3718459,0.9185714,t17_f5_c3,0.98425204,20.1174,0.3981,713120214,True,True,False,correction_1.0.6,0.0
