,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase
0,ztf,59248.20822919998,1494208224715015003,1,1494208224715,20.522123,1,1494,2.10302,19.094406,19.1548,0.08137158,0.1066,62.7946713,-1.8690051,0.9457143,t17_f5_c3,1.0,19.1008,0.1293,405120147.0,True,False,False,correction_0.0.1,0.0
1,ztf,59250.169999999925,1496169994715015000,2,1496169994715,20.12082,1,1496,1.9435339,19.108488,19.1369,0.106726095,0.1206,62.7946883,-1.8690925,0.8914286,t17_f5_c3,0.999992,19.1349,0.1536,405120247.0,True,False,False,correction_0.0.1,0.0
2,ztf,59252.208726900164,1498208724715015002,2,1498208724715,20.472124,1,1498,1.8646966,19.032644,19.3848,0.07751958,0.1499,62.7946848,-1.8690397,0.89428574,t17_f5_c3,0.99999464,19.4592,0.2048,405120247.0,True,False,False,correction_0.0.1,0.0
3,ztf,59252.23494210001,1498234944715015001,1,1498234944715,20.447535,1,1498,2.0347068,19.106445,19.075,0.08545277,0.1109,62.7946937,-1.8690126,0.9342857,t17_f5_c3,0.99999696,19.0431,0.1376,405120147.0,True,False,False,correction_0.0.1,0.0
4,ztf,59254.16901620012,1500169014715015001,2,1500169014715,19.904995,1,1500,1.9262234,19.078386,19.2409,0.10199455,0.2317,62.7946786,-1.8690613,0.78571427,t17_f5_c3,0.9840301,19.3646,0.3325,405120247.0,True,False,False,correction_0.0.1,0.0
5,ztf,59254.24446759978,1500244464715015001,1,1500244464715,20.455309,1,1500,2.0332434,19.177395,19.1895,0.08576304,0.1109,62.794707,-1.8690332,0.93714285,t17_f5_c3,1.0,19.061,0.1257,405120147.0,True,False,False,correction_0.0.1,0.0
6,ztf,59256.18454860011,1502184544715015001,2,1502184544715,20.358984,1,1502,1.883982,19.181623,19.0218,0.08972359,0.1109,62.7946825,-1.8690529,0.92285717,t17_f5_c3,0.99999094,19.0059,0.1396,405120247.0,True,False,False,correction_0.0.1,0.0
7,ztf,59256.258263899945,1502258264715015002,1,1502258264715,19.93136,1,1502,1.9709324,19.373112,19.8581,0.13870277,0.3007,62.7947064,-1.8689991,0.8528572,t17_f5_c3,0.9999987,19.8173,0.3714,405120147.0,True,False,False,correction_0.0.1,0.0
8,ztf,59260.185428199824,1506185424715015000,1,1506185424715,20.16953,1,1506,1.9731582,19.506695,19.2378,0.118498355,0.1521,62.7947395,-1.8690527,0.8042857,t17_f5_c3,0.99977255,18.9838,0.1544,405120147.0,True,False,False,correction_0.0.1,0.0
9,ztf,59263.148842600174,1509148844715015001,1,1509148844715,19.5357,1,1509,1.81829,19.5905,19.5752,0.238487,0.2108,62.7947727,-1.8690239,0.314286,t17_f5_c3,,19.558,0.266,,False,False,False,correction_0.0.1,0.0
10,ztf,59263.171747699846,1509171744715015000,2,1509171744715,19.56039,1,1509,1.7338071,19.548765,19.359,0.20231079,0.1958,62.7947014,-1.8689871,0.2957143,t17_f5_c3,0.8112335,19.5335,0.2943,405120247.0,True,False,False,correction_0.0.1,0.0
11,ztf,59265.13442130014,1511134424715015001,2,1511134424715,20.186716,1,1511,1.771397,19.44038,19.2523,0.10404831,0.175,62.794716,-1.8690478,0.88,t17_f5_c3,0.9993433,19.1732,0.2085,405120247.0,True,False,False,correction_0.0.1,0.0
12,ztf,59265.15016200021,1511150164715015001,1,1511150164715,20.043545,1,1511,2.2732213,19.940346,20.5937,0.21621355,0.6501,62.7946341,-1.8690391,0.70285714,t17_f5_c3,0.9997666,20.0997,0.5299,405120147.0,True,False,False,correction_0.0.1,0.0
13,ztf,59267.15393520007,1513153934715015001,2,1513153934715,19.4871,1,1513,2.84581,19.7876,19.8915,0.268049,0.4017,62.7945304,-1.8693075,0.344286,t17_f5_c3,,19.294,0.2977,,False,False,False,correction_0.0.1,0.0
14,ztf,59269.153773100115,1515153774715015003,2,1515153774715,19.928476,1,1515,1.804748,19.719833,19.8536,0.16080464,0.402,62.7946691,-1.8689653,0.7985714,t17_f5_c3,0.9993911,19.7126,0.4532,405120247.0,True,False,False,correction_0.0.1,0.0
