,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,rbversion
0,ztf,58302.42857640004,548428570615015009,1,548428570615,20.189157,1,548,0.17455174,18.14348,14.975659,18.0963,0.12036246,100.0,0.0065067313,0.0723,283.4224022,66.1497698,0.69,0.0,18.0489,0.0816,849120106.0,False,True,False,bulk_1.0.0,0.0,5.6637168061501e+17,
1,ztf,58311.35068289982,557350680615015015,1,557350680615,20.781689,1,557,1.0761688,17.938162,14.96351,17.9917,0.15588151,0.0037229438,0.010067781,0.0552,283.4229229,66.1495635,0.45666668,0.0,18.0009,0.0615,849120106.0,False,True,False,bulk_1.0.0,0.0,5.6637168061501e+17,
2,ztf,58314.34488430014,560344880615015005,1,560344880615,20.615255,1,560,0.62593395,18.088392,14.9726095,18.1564,0.1007672,100.0,0.0057148654,0.0652,283.4226437,66.1496293,0.6,0.0,18.1789,0.0742,849120106.0,False,True,False,bulk_1.0.0,0.0,5.6637168061501e+17,
3,ztf,58320.37168980017,566371680615010001,2,566371680615,20.447598,-1,566,0.25467023,17.465837,14.79176,17.678,0.10238211,100.0,0.0087215435,0.0448,283.4221229,66.1497235,0.48,0.0,17.6758,0.0502,849120206.0,True,True,False,bulk_1.0.0,0.0,0.0,t8_f5_c3
4,ztf,58588.49021989992,834490210615010011,1,834490210615,20.359564,-1,834,0.147295,18.337908,15.089156,18.3612,0.12601282,100.0,0.0063228654,0.082,283.4222225,66.1497594,0.28142858,0.0,18.3149,0.0896,849120106.0,True,True,False,bulk_1.0.0,0.0,0.0,t15_f5_c3
5,ztf,58639.422106499784,885422100615010010,1,885422100615,20.814434,-1,885,0.54014575,17.99151,15.109825,18.1699,0.1454984,100.0,0.010237266,0.0561,283.4222466,66.1498876,0.5742857,0.0,18.1325,0.0597,849120106.0,True,True,False,bulk_1.0.0,0.0,0.0,t17_f5_c3
6,ztf,58671.40785880014,917407850615015020,2,917407850615,18.34483,1,917,0.5588649,16.847807,14.561976,16.8223,0.09066323,100.0,0.011043305,0.1098,283.4225352,66.1496041,0.6157143,0.44554922,16.7062,0.1239,849120206.0,False,True,False,bulk_1.0.0,0.0,9.4228405061501e+17,t17_f5_c3
7,ztf,58679.29956019996,925299560615010001,1,925299560615,19.5758,-1,925,0.957374,17.9157,15.115364,18.1369,0.155934,0.0049083377,0.011825129,0.0993,283.4221335,66.1499969,0.361429,,18.157,0.1249,,False,True,False,bulk_1.0.0,0.0,9.4228405061501e+17,t17_f5_c3
8,ztf,58682.279398099985,928279390615010003,2,928279390615,19.975,-1,928,0.562955,17.6749,14.775681,17.683,0.220732,100.0,0.015281909,0.0618,283.4220301,66.1496174,0.287143,,17.7226,0.0767,,False,True,False,bulk_1.0.0,0.0,9.57213860615015e+17,t17_f5_c3
9,ztf,58684.27113430016,930271130615015002,1,930271130615,19.721758,1,930,1.2116891,18.21971,14.979647,18.4382,0.14693946,100.0,0.007432131,0.1106,283.4230097,66.1495477,0.62714285,0.41212672,18.5107,0.1425,849120106.0,False,True,False,bulk_1.0.0,0.0,9.57213860615015e+17,t17_f5_c3
