,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase
0,ztf,59623.414780099876,1869414781715015003,2,1869414781715,19.673315,1,1869,0.49208388,17.745392,16.704206,17.7638,0.051559154,100.0,0.019762019,0.0656,260.9811903,75.482019,0.93714285,t17_f5_c3,0.99999845,17.7046,0.0785,864120217,True,True,False,correction_1.0.6,0.0
1,ztf,59623.42707179999,1869427071715015004,1,1869427071715,19.456924,1,1869,0.36374325,17.666107,16.970407,17.6245,0.058859374,100.0,0.031012405,0.065,260.9810217,75.48202,0.9557143,t17_f5_c3,0.99999976,17.6566,0.0852,864120117,True,True,False,correction_1.0.6,0.0
2,ztf,59625.390150499996,1871390151715015002,1,1871390151715,18.981663,1,1871,0.48438314,17.823126,17.050303,17.7522,0.07412189,100.0,0.036376204,0.0952,260.9810875,75.4819889,0.8471429,t17_f5_c3,0.9998757,17.6438,0.1102,864120117,True,True,False,correction_1.0.6,0.0
3,ztf,59625.40451390017,1871404511715015005,2,1871404511715,19.436495,1,1871,0.5132087,17.75402,16.707504,17.71,0.06440723,100.0,0.024565652,0.0724,260.9812129,75.4820213,0.93285716,t17_f5_c3,0.9999999,17.6227,0.0848,864120217,True,True,False,correction_1.0.6,0.0
4,ztf,59628.389259300195,1874389251715015002,1,1874389251715,19.063364,1,1874,0.3656167,17.835068,17.056147,17.9521,0.08167942,100.0,0.03986066,0.1102,260.9807775,75.4820274,0.91,t17_f5_c3,0.9999995,17.964,0.1426,864120117,True,True,False,correction_1.0.6,0.0
5,ztf,59628.47488430003,1874474881715015005,2,1874474881715,19.112904,1,1874,0.6907716,17.920212,16.76793,17.9521,0.08933701,100.0,0.030911397,0.0822,260.9813829,75.4820643,0.5485714,t17_f5_c3,0.99832004,18.0031,0.1096,864120217,True,True,False,correction_1.0.6,0.0
6,ztf,59630.41087959986,1876410871715015003,1,1876410871715,19.702116,1,1876,0.34137493,17.977072,17.12313,18.1005,0.06396307,100.0,0.029130839,0.0918,260.9811285,75.4820373,0.95857143,t17_f5_c3,0.9999894,18.2171,0.1298,864120117,True,True,False,correction_1.0.6,0.0
7,ztf,59630.5172917,1876517291715015009,2,1876517291715,20.033451,1,1876,0.4680226,17.97201,16.785574,17.9537,0.050216034,100.0,0.016837135,0.064,260.981152,75.4820261,0.94285715,t17_f5_c3,0.9999999,17.9171,0.0775,864120217,True,True,False,correction_1.0.6,0.0
8,ztf,59637.36378470017,1883363781715015003,1,1883363781715,19.741274,1,1883,0.29462552,18.601316,17.364246,18.6883,0.10895548,100.0,0.03486754,0.1014,260.9810404,75.482041,0.8314286,t17_f5_c3,0.9996458,18.753,0.136,864120117,True,True,False,correction_1.0.6,0.0
9,ztf,59637.40723379981,1883407231715015006,2,1883407231715,19.874552,1,1883,0.46556443,18.475695,16.929878,18.5219,0.08857777,100.0,0.021330344,0.0964,260.9811609,75.4820201,0.91571426,t17_f5_c3,0.9999981,18.5174,0.1205,864120217,True,True,False,correction_1.0.6,0.0
10,ztf,59639.38746530004,1885387461715015003,1,1885387461715,19.705017,1,1885,0.51114637,18.7794,17.418123,18.7938,0.1650257,100.0,0.04710217,0.1043,260.9813199,75.4820107,0.68714285,t17_f5_c3,0.99815845,18.7659,0.1288,864120117,True,True,False,correction_1.0.6,0.0
11,ztf,59639.50609950023,1885506091715015003,2,1885506091715,19.772974,1,1885,0.7390875,18.547895,16.94683,18.3773,0.12598215,100.0,0.028832542,0.0747,260.9814678,75.4820211,0.53,t17_f5_c3,0.9991912,18.4128,0.0966,864120217,True,True,False,correction_1.0.6,0.0
12,ztf,59641.34775459999,1887347751715015004,1,1887347751715,20.063148,1,1887,0.3599076,18.820452,17.429684,18.8827,0.13639386,100.0,0.037886743,0.1348,260.9811414,75.4820315,0.95428574,t17_f5_c3,0.99992913,18.8477,0.1642,864120117,True,True,False,correction_1.0.6,0.0
13,ztf,59641.36894680001,1887368941715015009,2,1887368941715,20.284416,1,1887,0.51955485,18.466734,16.927713,18.4197,0.07602654,100.0,0.018422848,0.0781,260.9812231,75.48201,0.9457143,t17_f5_c3,0.99999857,18.2812,0.0852,864120217,True,True,False,correction_1.0.6,0.0
