,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext
0,ztf,59622.443958300166,1868443950815015011,2,1868443950815,19.776014,1,1868,1.4967769,18.893892,18.9372,0.12029942,0.1475,164.7807484,1.8894338,0.8428571,t17_f5_c3,0.9999936,18.8435,0.1738,470120208,True,False,False,correction_1.0.6,0.0,,,
1,ztf,59622.50376159977,1868503760815015011,1,1868503760815,20.128588,1,1868,3.7481265,19.627012,19.7902,0.15403056,0.2406,164.7806685,1.8894832,0.78,t17_f5_c3,0.9999959,19.7538,0.2989,470120108,True,False,False,correction_1.0.6,0.0,,,
2,ztf,59624.378541700076,1870378540815015014,2,1870378540815,19.932482,1,1870,1.4088162,18.947926,19.0533,0.14177813,0.1865,164.780721,1.8894728,0.88714284,t17_f5_c3,0.99757403,19.0153,0.2315,470120208,True,False,False,correction_1.0.6,0.0,,,
3,ztf,59629.46204859996,1875462040815015023,2,1875462040815,19.127653,1,1875,1.3975875,18.866262,19.0285,0.12831956,0.3034,164.7807148,1.8894663,0.66,t17_f5_c3,0.9998404,19.176,0.447,470120208,True,True,True,correction_1.0.6,0.0,18.809607,0.12137424,0.121795245
4,ztf,59636.39868059987,1882398680815015029,2,1882398680815,20.316181,1,1882,1.37373,19.106133,19.2682,0.11811999,0.1438,164.7807086,1.8894905,0.9142857,t17_f5_c3,0.9999945,19.3394,0.1973,470120208,True,True,True,correction_1.0.6,0.0,19.035913,0.11001879,0.11072244
5,ztf,59636.44103009999,1882441030815015019,1,1882441030815,20.220955,1,1882,4.056621,19.967594,20.2381,0.17191298,0.3284,164.7807204,1.8894103,0.6628571,t17_f5_c3,0.9999838,20.1058,0.3741,470120108,True,False,False,correction_1.0.6,0.0,,,
6,ztf,59639.27113430016,1885271130815015016,2,1885271130815,20.128252,1,1885,1.3753693,19.062502,18.9692,0.109969564,0.1179,164.7807149,1.8894438,0.8814286,t17_f5_c3,0.9999988,18.8438,0.1349,470120208,True,True,True,correction_1.0.6,0.0,18.994965,0.102638066,0.10333736
7,ztf,59639.277326399926,1885277320815015015,1,1885277320815,20.32628,1,1885,4.0946326,20.032818,20.1083,0.1712471,0.2704,164.7807818,1.889424,0.7385714,t17_f5_c3,0.99998546,19.9844,0.3104,470120108,True,False,False,correction_1.0.6,0.0,,,
8,ztf,59641.22315970017,1887223150815015024,1,1887223150815,20.447672,1,1887,3.9445798,20.212639,20.76,0.19208713,0.5202,164.7807578,1.8894595,0.75857145,t17_f5_c3,0.98483396,20.4614,0.5092,470120108,True,False,False,correction_1.0.6,0.0,,,
9,ztf,59641.29659719998,1887296590815015049,2,1887296590815,20.22071,1,1887,1.462641,19.163296,19.4007,0.13081615,0.1986,164.780735,1.8894807,0.86142856,t17_f5_c3,0.9999958,19.7029,0.3369,470120208,True,False,False,correction_1.0.6,0.0,,,
