,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase
0,ztf,59396.29938660003,1642299383415015024,1,1642299383415,20.581682,1,1642,10.452158,19.087666,19.1439,0.10859771,0.0963,295.8201183,48.2913767,0.93714285,t17_f5_c3,1.0,19.1093,0.1188,766120134.0,True,False,False,correction_0.0.1,0.0
1,ztf,59399.3506713002,1645350673415015006,2,1645350673415,20.904613,1,1645,4.6011,19.435465,19.6202,0.09987685,0.1146,295.8201044,48.2913769,0.7828571,t17_f5_c3,1.0,19.6478,0.1496,766120234.0,True,False,False,correction_0.0.1,0.0
2,ztf,59401.35395829985,1647353953415015011,2,1647353953415,20.75538,1,1647,4.6733227,19.706968,20.0,0.1265234,0.1817,295.820053,48.2913987,0.7014286,t17_f5_c3,0.9998841,19.9513,0.2222,766120234.0,True,False,False,correction_0.0.1,0.0
3,ztf,59401.366088000126,1647366083415015036,1,1647366083415,20.801731,1,1647,10.336648,19.749022,19.722,0.13308696,0.135,295.8201324,48.2913323,0.67714286,t17_f5_c3,0.99987817,19.7066,0.1699,766120134.0,True,False,False,correction_0.0.1,0.0
4,ztf,59403.342499999795,1649342493415015013,2,1649342493415,20.715094,1,1649,4.5222573,19.861782,19.9655,0.15773171,0.1843,295.8199822,48.2913501,0.63285714,t17_f5_c3,0.9997672,20.0552,0.2559,766120234.0,True,False,False,correction_0.0.1,0.0
5,ztf,59405.33045140002,1651330453415015038,1,1651330453415,20.752346,1,1651,10.406911,20.069193,19.8741,0.15689215,0.1698,295.8201102,48.2913687,0.47857141,t17_f5_c3,0.9999774,19.7414,0.1923,766120134.0,True,False,False,correction_0.0.1,0.0
6,ztf,59407.28560189996,1653285603415015024,1,1653285603415,20.59091,1,1653,10.324386,19.898586,19.6435,0.18314785,0.1614,295.8200908,48.2913454,0.5257143,t17_f5_c3,0.9998226,19.5624,0.1914,766120134.0,True,False,False,correction_0.0.1,0.0
7,ztf,59407.32408560021,1653324083415015013,2,1653324083415,20.726906,1,1653,4.6346445,19.726097,19.7953,0.15057202,0.1604,295.8200552,48.291387,0.6785714,t17_f5_c3,0.9999776,19.6302,0.1762,766120234.0,True,False,False,correction_0.0.1,0.0
8,ztf,59409.302488400135,1655302483415015011,2,1655302483415,20.7482,1,1655,4.4316,20.1381,19.7264,0.200927,0.1523,295.8200477,48.2913335,0.274286,t17_f5_c3,,19.5873,0.1712,,False,False,False,correction_0.0.1,0.0
9,ztf,59409.328240700066,1655328243415015033,1,1655328243415,20.77799,1,1655,10.514947,20.441065,20.4729,0.2138027,0.2895,295.8200666,48.2914174,0.4757143,t17_f5_c3,0.9998418,20.4945,0.3781,766120134.0,True,False,False,correction_0.0.1,0.0
