,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,drb,rfid
0,ztf,58849.47572920006,1095475720915015003,1,1095475720915,20.1494,1,1095,2.97516,20.525,20.5339,0.279551,0.4201,97.3750772,59.820843,0.322857,t17_f5_c3,20.4507,0.4993,False,False,False,bulk_1.0.0,0.0,1113216130915015001,,,,,
1,ztf,58850.457013899926,1096457010915015005,2,1096457010915,19.7706,1,1096,1.39701,20.0662,20.1616,0.33007,0.371,97.375059,59.8211685,0.252857,t17_f5_c3,20.1119,0.4552,False,True,False,bulk_1.0.0,0.0,1113216130915015001,19.835787,0.2658147,0.2669567,,
2,ztf,58851.43003469985,1097430030915015003,2,1097430030915,20.004066,1,1097,2.014373,19.854357,20.0233,0.16129293,0.3427,97.3750238,59.8209941,0.73,t17_f5_c3,20.2462,0.5396,False,False,True,bulk_1.0.0,0.0,1113216130915015001,,,,0.99999225,813120209.0
3,ztf,58852.47189809987,1098471890915015004,1,1098471890915,20.640747,1,1098,2.2170014,19.584192,19.6627,0.09835721,0.1651,97.3750093,59.8210562,0.88857144,t17_f5_c3,19.6185,0.2026,False,False,False,bulk_1.0.0,0.0,1113216130915015001,,,,0.99998605,813120109.0
4,ztf,58853.45103010023,1099451030915015001,1,1099451030915,20.606674,1,1099,2.2012446,19.440123,19.5611,0.09643415,0.1494,97.3750091,59.8210596,0.9057143,t17_f5_c3,19.5809,0.194,False,False,False,bulk_1.0.0,0.0,1113216130915015001,,,,0.9999999,813120109.0
5,ztf,58854.16601849999,1100166010915015000,2,1100166010915,19.2356,1,1100,1.51736,19.4175,19.6112,0.231881,0.2972,97.3753172,59.8211178,0.327143,t17_f5_c3,20.1383,0.6191,False,False,True,bulk_1.0.0,0.0,1113216130915015001,,,,,
6,ztf,58854.44973379979,1100449730915015001,2,1100449730915,19.3232,1,1100,2.19451,19.4983,19.6105,0.322148,0.253,97.3746823,59.8210071,0.22,t17_f5_c3,19.9541,0.4457,False,False,True,bulk_1.0.0,0.0,1113216130915015001,,,,,
7,ztf,58854.4909144002,1100490910915015000,1,1100490910915,19.6072,1,1100,2.99324,19.378,19.3705,0.228383,0.1565,97.3750743,59.8208387,0.305714,t17_f5_c3,19.1927,0.1703,False,False,False,bulk_1.0.0,0.0,1113216130915015001,,,,,
8,ztf,58855.17565969983,1101175650915015002,1,1101175650915,19.373613,1,1101,2.4062238,19.100166,19.1417,0.15941416,0.2261,97.3749121,59.8209862,0.61714286,t17_f5_c3,18.9777,0.2497,False,False,False,bulk_1.0.0,0.0,1113216130915015001,,,,0.9985284,813120109.0
9,ztf,58859.13393520005,1105133930915015000,1,1105133930915,18.978249,1,1105,2.3151512,19.124546,19.4088,0.17089048,0.4887,97.3750841,59.8210394,0.5714286,t17_f5_c3,19.4744,0.6674,False,False,False,bulk_1.0.0,0.0,1113216130915015001,,,,0.9893767,813120109.0
10,ztf,58859.24232639978,1105242320915015002,2,1105242320915,19.459751,1,1105,1.845714,19.007378,18.8775,0.14656277,0.2335,97.3749976,59.8210457,0.6457143,t17_f5_c3,19.1168,0.3735,False,False,True,bulk_1.0.0,0.0,1113216130915015001,,,,0.9999993,813120209.0
11,ztf,58859.27516200021,1105275160915015000,2,1105275160915,19.439007,1,1105,1.7095096,19.14026,19.5525,0.17576745,0.4324,97.3750351,59.8210816,0.75857145,t17_f5_c3,19.3042,0.4419,False,False,True,bulk_1.0.0,0.0,1113216130915015001,,,,0.9993845,813120209.0
12,ztf,58860.117905099876,1106117900915015001,1,1106117900915,19.222862,1,1106,2.6041005,19.026085,19.0558,0.17424732,0.253,97.3748328,59.8209217,0.7014286,t17_f5_c3,19.2322,0.3818,False,False,False,bulk_1.0.0,0.0,1113216130915015001,,,,0.9989333,813120109.0
