,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,drb,rfid,parent_candid
0,ztf,59403.37017360004,1649370175115015020,1,1649370175115,20.5411,1,1649,1.62255,20.2895,19.8757,0.267481,0.2149,268.6908209,49.9479237,0.708571,t17_f5_c3,19.9917,0.2993,False,False,False,correction_0.0.1,0.0,,,,,,
1,ztf,59403.37496529985,1649374966215015032,1,1649374966215,20.5718,1,1649,1.08279,20.0933,19.6419,0.232371,0.1749,268.6907835,49.9480485,0.7,t17_f5_c3,19.4884,0.1902,False,True,True,correction_0.0.1,0.0,18.332935,0.020843891,0.045923658,,,
2,ztf,59405.325127299875,1651325125115015028,1,1651325125115,20.6705,1,1651,1.1324,19.8112,19.6014,0.218298,0.1564,268.690599,49.9480174,0.835714,t17_f5_c3,19.4521,0.1702,False,True,True,correction_0.0.1,0.0,18.26196,0.037622306,0.05240275,,,
3,ztf,59405.3256019,1651325606215015019,1,1651325606215,20.705786,1,1651,1.1056973,19.773773,19.8089,0.1441242,0.1871,268.6907737,49.9480373,0.9285714,t17_f5_c3,19.7395,0.2191,True,True,True,correction_0.0.1,0.0,18.261889,100.0,0.035808265,0.9988517,764120162.0,
4,ztf,59407.26884259982,1653268845115015032,1,1653268845115,20.677776,1,1653,1.29089,19.433233,19.4414,0.14615121,0.1305,268.6907453,49.9480028,0.80857146,t17_f5_c3,19.5883,0.1848,True,True,True,correction_0.0.1,0.0,18.15852,0.030678922,0.045176968,0.9999951,763120151.0,
5,ztf,59407.31241900008,1653312415115015018,2,1653312415115,20.582195,1,1653,1.3241683,19.468775,19.3953,0.12859453,0.1562,268.6907722,49.9480121,0.9085714,t17_f5_c3,19.3463,0.183,True,True,False,correction_0.0.1,0.0,17.490507,100.0,0.020792902,0.9985825,763120251.0,
6,ztf,59407.32025460014,1653320256215015013,2,1653320256215,20.483173,1,1653,1.2820828,19.498308,19.5212,0.14832616,0.1941,268.6907927,49.9480233,0.89428574,t17_f5_c3,19.8229,0.3164,True,True,False,correction_0.0.1,0.0,17.427485,100.0,0.022023613,0.9992693,764120262.0,
7,ztf,59409.246875000186,1655246875115015023,1,1655246875115,20.532656,1,1655,1.2471814,19.153938,18.99,0.15704031,0.0967,268.6907014,49.9480043,0.80142856,t17_f5_c3,18.8908,0.1099,True,True,True,correction_0.0.1,0.0,18.064278,0.048877943,0.057563428,0.99999803,763120151.0,
8,ztf,59409.29131940007,1655291315115015011,2,1655291315115,20.629923,1,1655,1.3262058,19.400225,19.6921,0.106856644,0.1983,268.6908348,49.948034,0.92714286,t17_f5_c3,19.5855,0.2204,True,True,False,correction_0.0.1,0.0,17.479124,100.0,0.018212162,0.9999999,763120251.0,
9,ztf,59409.32486109994,1655324866215015017,1,1655324866215,20.63936,1,1655,1.264424,19.09248,19.0216,0.10293163,0.0986,268.6908586,49.9480172,0.9614286,t17_f5_c3,18.9331,0.1131,True,True,True,correction_0.0.1,0.0,18.04877,0.023604661,0.03936093,0.9999987,764120162.0,
10,ztf,59411.244618100114,1657244615115015006,2,1657244615115,20.360182,1,1657,1.2887051,19.003166,19.0845,0.09077269,0.1416,268.6907979,49.9480339,0.9628571,t17_f5_c3,19.0194,0.1659,True,True,False,correction_0.0.1,0.0,17.400349,100.0,0.02074093,1.0,763120251.0,
11,ztf,59411.262928199954,1657262926215015012,2,1657262926215,20.378859,1,1657,1.2838377,18.995073,19.2888,0.11666904,0.1741,268.6908379,49.9480399,0.82714283,t17_f5_c3,19.3282,0.2246,True,True,False,correction_0.0.1,0.0,17.336365,100.0,0.025320487,0.9939904,764120262.0,
12,ztf,59411.309502299875,1657309505115015016,1,1657309505115,20.673403,1,1657,1.3548565,19.033714,18.9034,0.10594856,0.0861,268.6907726,49.9479914,0.9357143,t17_f5_c3,19.0138,0.1175,True,True,True,correction_0.0.1,0.0,18.018648,0.0296715,0.04159765,1.0,763120151.0,
13,ztf,59411.31927079987,1657319276215015011,1,1657319276215,20.504171,1,1657,1.3276744,19.021233,19.0743,0.11703474,0.1146,268.6909156,49.9480219,0.9457143,t17_f5_c3,19.1114,0.1478,True,True,True,correction_0.0.1,0.0,18.020971,0.0350318,0.046581157,0.99994874,764120162.0,
14,ztf,59414.2915856,1660291585115015015,2,1660291585115,20.249886,1,1660,1.3386773,18.9756,18.9381,0.09807862,0.1321,268.6908242,49.9480274,0.86142856,t17_f5_c3,19.0224,0.1786,True,True,False,correction_0.0.1,0.0,17.393988,100.0,0.022852296,1.0,763120251.0,
15,ztf,59414.30072919978,1660300726215015011,2,1660300726215,20.267813,1,1660,1.3413026,18.887878,19.0287,0.11639338,0.1431,268.690844,49.9480239,0.95714283,t17_f5_c3,19.0111,0.1764,True,True,False,correction_0.0.1,0.0,17.312183,100.0,0.02726783,0.999976,764120262.0,
16,ztf,59414.38719910011,1660387195115015017,1,1660387195115,20.652847,1,1660,1.340275,18.861664,18.8581,0.101552814,0.0799,268.6908261,49.9480182,0.9657143,t17_f5_c3,18.9431,0.1069,True,True,True,correction_0.0.1,0.0,17.947813,0.03419946,0.0437675,1.0,763120151.0,
17,ztf,59414.38766200002,1660387666215015023,1,1660387666215,20.612473,1,1660,1.2261342,18.824724,18.7819,0.095005445,0.0799,268.690854,49.9480301,0.9685714,t17_f5_c3,18.7241,0.0943,True,True,True,correction_0.0.1,0.0,17.93845,0.030891119,0.041999012,0.9999998,764120162.0,
18,ztf,59419.29086809978,1665290865115015010,2,1665290865115,18.737993,1,1665,1.2301446,18.748941,18.9916,0.18678287,0.5618,268.6907516,49.9480366,0.75,t17_f5_c3,18.7619,0.5835,True,True,False,correction_1.0.6,0.0,17.336794,0.024855938,0.05087187,0.9988174,763120251.0,
19,ztf,59419.29946759995,1665299466215015012,2,1665299466215,18.920946,1,1665,1.2539525,18.875767,19.297,0.17600141,0.6594,268.6908257,49.9480456,0.7542857,t17_f5_c3,19.1645,0.7491,True,True,False,correction_1.0.6,0.0,17.309334,100.0,0.04158563,0.99998677,764120262.0,
20,ztf,59419.34719910007,1665347195115015089,1,1665347195115,18.416,1,1665,0.964896,18.7056,18.7809,0.222648,0.5944,268.6907483,49.9481108,0.49,t17_f5_c3,18.2959,0.4887,False,True,True,correction_1.0.6,0.0,17.877787,0.10066483,0.10387068,,,1.669239685115015e+18
21,ztf,59423.239687500056,1669239685115015015,2,1669239685115,20.315924,1,1669,1.2392657,18.957268,18.8613,0.106830925,0.1093,268.6907863,49.9480447,0.9714286,t17_f5_c3,18.776,0.1256,True,True,False,correction_1.0.6,0.0,17.389688,100.0,0.025215378,1.0,763120251.0,
22,ztf,59423.30805560015,1669308056215015013,2,1669308056215,18.9308,1,1669,1.17021,19.0408,18.24,0.282582,0.2328,268.690877,49.9481062,0.515714,t17_f5_c3,18.4012,0.3455,False,True,False,correction_1.0.6,0.0,17.346127,0.035679877,0.059330076,,,1.669327925115015e+18
