,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,rbversion
0,ztf,58249.3589583002,495358953415010001,1,495358953415,20.6324,-1,495,0.664632,19.9898,19.836742,20.0642,0.117991,0.09801901,0.10247689,0.171,258.7074437,26.2382592,0.223333,19.9317,0.1929,False,True,False,bulk_1.0.0,0.0,5.2435787341501e+17,,,
1,ztf,58252.37473380007,498374733415010001,2,498374733415,20.7953,-1,498,0.17331,20.0324,18.6679,20.1739,0.132639,0.031659562,0.03774604,0.236,258.7076407,26.2383902,0.286667,20.268,0.3262,False,True,False,bulk_1.0.0,0.0,5.2435787341501e+17,,,
2,ztf,58252.42300930014,498423003415010001,1,498423003415,20.9379,-1,498,0.085802,20.4527,19.550657,20.4113,0.151416,0.061842784,0.065971226,0.232,258.7075557,26.2384052,0.23,20.9252,0.4732,False,True,False,bulk_1.0.0,0.0,5.2435787341501e+17,,,
3,ztf,58278.27284719981,524272843415010005,2,524272843415,20.558405,-1,524,0.26818812,20.363945,18.589495,20.0907,0.20146231,0.034336817,0.03930194,0.2467,258.7076731,26.2384139,0.68666667,20.1007,0.3167,False,True,False,bulk_1.0.0,0.0,5.2435787341501e+17,0.0,634120234.0,
4,ztf,58278.35787039995,524357873415010002,1,524357873415,20.913696,-1,524,0.18376224,20.562502,19.506083,20.711,0.17423101,0.062049896,0.06585034,0.3176,258.7075942,26.238347,0.74,21.0078,0.5314,False,True,False,bulk_1.0.0,0.0,5.3632452341501e+17,0.0,634120134.0,
5,ztf,58284.292754599825,530292753415010010,2,530292753415,20.700508,-1,530,0.12118938,19.825224,18.734882,19.8185,0.12156841,0.03879819,0.04453325,0.1929,258.7076212,26.2383831,0.8333333,19.8119,0.2441,False,True,False,bulk_1.0.0,0.0,5.3632452341501e+17,0.0,634120234.0,
6,ztf,58284.36197920004,530361973415010006,1,530361973415,20.74336,-1,530,0.19094284,20.110987,19.741457,20.2635,0.12822989,0.08703178,0.09123833,0.238,258.7076249,26.2383658,0.77666664,19.9653,0.2307,False,True,False,bulk_1.0.0,0.0,5.3632452341501e+17,0.0,634120134.0,
7,ztf,58290.211666699965,536211663415010005,1,536211663415,20.2766,-1,536,0.139746,20.2786,19.636215,20.5439,0.292415,0.15990484,0.16182491,0.4706,258.7076092,26.2383633,0.673333,20.5299,0.5949,False,True,False,bulk_1.0.0,0.0,5.3632452341501e+17,,,
8,ztf,58290.32452550018,536324523415010012,2,536324523415,20.353989,-1,536,0.3914083,19.792814,18.747002,20.1565,0.15832463,0.056236964,0.06042595,0.3116,258.7076269,26.2385023,0.76666665,20.3192,0.4619,True,True,False,bulk_1.0.0,0.0,0.0,0.0,634120234.0,
9,ztf,58330.31451389985,576314513415015002,2,576314513415,19.9769,1,576,0.446342,19.8544,18.144213,19.828,0.25194,0.050578877,0.05214611,0.3761,258.7075682,26.2382747,0.59,19.4978,0.3556,False,True,False,bulk_1.0.0,0.0,5.99247883415015e+17,,,t8_f5_c3
10,ztf,58336.2196411998,582219643415015008,2,582219643415,20.661415,1,582,0.4001917,19.752117,18.122236,20.052,0.16369264,0.03429751,0.03648186,0.2327,258.707564,26.2382887,0.7033333,19.7856,0.2308,False,True,False,bulk_1.0.0,0.0,6.08190693415015e+17,0.0,634120234.0,t8_f5_c3
11,ztf,58349.24965280015,595249653415015011,2,595249653415,20.015097,1,595,0.15402035,19.358767,18.021416,19.5848,0.16860875,0.047874384,0.049197145,0.2633,258.7075479,26.2383737,0.74333334,19.4873,0.3078,False,True,False,bulk_1.0.0,0.0,6.23149523415015e+17,0.0,634120234.0,t8_f5_c3
12,ztf,58353.19245370012,599192453415015007,2,599192453415,20.054937,1,599,0.22116034,19.303053,18.004862,19.3068,0.1543041,0.04532305,0.046676815,0.208,258.7075437,26.2383513,0.69666666,19.1387,0.2277,False,True,False,bulk_1.0.0,0.0,6.23149523415015e+17,0.0,634120234.0,t8_f5_c3
