,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,parent_candid
0,ztf,59459.33881939994,1705338811515015004,1,1705338811515,20.708473,1,1705,1.4543282,20.236864,20.7606,0.19350925,0.3868,13.1283729,-5.8083094,0.8057143,t17_f5_c3,0.9999982,20.4635,0.3776,398120115.0,True,False,False,correction_1.0.6,0.0,,,,
1,ztf,59461.37993060006,1707379931515015008,2,1707379931515,20.6222,1,1707,1.14474,20.5034,21.1257,0.274179,0.6825,13.1283887,-5.8082759,0.525714,t17_f5_c3,,21.0709,0.8322,,False,True,False,correction_1.0.6,0.0,19.96004,0.16195883,0.16622232,1.707399501515015e+18
2,ztf,59461.39950230019,1707399501515015002,1,1707399501515,20.53455,1,1707,1.3826542,20.019926,19.9784,0.16856386,0.2084,13.1283837,-5.808329,0.78571427,t17_f5_c3,0.99931496,20.0678,0.2891,398120115.0,True,True,True,correction_1.0.6,0.0,19.786875,0.13279413,0.13600162,
3,ztf,59463.38364579994,1709383641515015004,2,1709383641515,20.3019,1,1709,1.06271,20.3848,20.0626,0.227749,0.2962,13.1284059,-5.8082917,0.58,t17_f5_c3,,20.3318,0.4859,,False,True,False,correction_1.0.6,0.0,19.886602,0.13962874,0.14393869,1.709425521515015e+18
4,ztf,59463.425520800054,1709425521515015014,1,1709425521515,20.634043,1,1709,1.458624,20.085894,19.705,0.1421896,0.1591,13.1283322,-5.8083616,0.4842857,t17_f5_c3,0.99999624,19.6618,0.1952,398120115.0,True,False,False,correction_1.0.6,0.0,,,,
5,ztf,59465.35946760001,1711359461515015009,2,1711359461515,20.2609,1,1711,1.32566,20.3968,19.9892,0.297883,0.2884,13.1283799,-5.8082056,0.34,t17_f5_c3,,19.7311,0.2917,,False,True,False,correction_1.0.6,0.0,19.89417,0.18416245,0.18749702,1.711401411515015e+18
6,ztf,59465.40141199995,1711401411515015007,1,1711401411515,20.510218,1,1711,1.6043522,20.243433,20.3184,0.19703479,0.3045,13.1283726,-5.8082544,0.78571427,t17_f5_c3,0.99999833,20.2449,0.3644,398120115.0,True,False,False,correction_1.0.6,0.0,,,,
7,ztf,59467.377442100085,1713377441515015013,2,1713377441515,20.562908,1,1713,1.2489274,20.176779,20.1008,0.17394955,0.285,13.1283634,-5.8082608,0.6571429,t17_f5_c3,0.99999654,20.065,0.353,398120215.0,True,True,False,correction_1.0.6,0.0,19.750582,0.113353446,0.11747464,
8,ztf,59467.42355319997,1713423551515015010,1,1713423551515,20.574764,1,1713,1.5964171,20.170387,20.5721,0.19300832,0.3926,13.1283167,-5.8083137,0.77428573,t17_f5_c3,0.9999988,20.2919,0.3893,398120115.0,True,False,False,correction_1.0.6,0.0,,,,
9,ztf,59469.37817130005,1715378171515015010,2,1715378171515,20.608416,1,1715,1.3299079,20.264248,20.0782,0.17988561,0.2706,13.1283204,-5.8082972,0.6342857,t17_f5_c3,0.99999756,20.2306,0.3981,398120215.0,True,True,False,correction_1.0.6,0.0,19.808872,0.11369628,0.11826226,
