,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase
0,ztf,59435.2212731,1681221273415015030,1,1681221273415,20.971712,1,1681,2.0083795,19.35153,19.3354,0.12657048,0.0925,311.2763271,26.652762,0.8585714,t17_f5_c3,0.9999933,19.3347,0.1183,641120134,True,False,False,correction_1.0.6,0.0
1,ztf,59438.247222200036,1684247223415015010,2,1684247223415,20.765873,1,1684,2.0412776,20.317877,20.4221,0.20300429,0.3056,311.2762968,26.6527872,0.5271429,t17_f5_c3,0.9863081,20.3148,0.3604,641120234,True,False,False,correction_1.0.6,0.0
2,ztf,59438.36319439998,1684363193415015020,1,1684363193415,20.71327,1,1684,1.9775406,20.170069,20.1801,0.19868888,0.2426,311.2763352,26.6527553,0.6357143,t17_f5_c3,0.99998635,20.3281,0.3584,641120134,True,False,False,correction_1.0.6,0.0
