,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,drb,rfid
0,ztf,59396.301342600025,1642301341715015001,1,1642301341715,20.6736,1,1642,17.3085,20.7821,21.5963,0.323758,0.9172,278.3846912,61.9069121,0.455714,t17_f5_c3,21.2335,0.8436,False,False,False,correction_0.0.1,0.0,,
1,ztf,59399.29023149982,1645290231715015001,1,1645290231715,20.8462,1,1645,17.4529,20.4409,20.5082,0.221672,0.2952,278.3847757,61.906869,0.652857,t17_f5_c3,20.7708,0.481,False,False,False,correction_0.0.1,0.0,,
2,ztf,59399.348784700036,1645348781715015000,2,1645348781715,20.5817,1,1645,9.65538,20.7818,20.7891,0.303334,0.4861,278.3848837,61.9068275,0.302857,t17_f5_c3,21.2083,0.9179,False,False,False,correction_0.0.1,0.0,,
3,ztf,59401.35206020018,1647352061715015001,2,1647352061715,20.4702,1,1647,9.66307,20.6131,21.3866,0.256396,0.8497,278.3848526,61.9069337,0.555714,t17_f5_c3,21.4741,1.1827,False,False,False,correction_0.0.1,0.0,,
4,ztf,59401.36704860022,1647367041715015000,1,1647367041715,20.7171,1,1647,17.5022,20.3635,20.6268,0.261454,0.3413,278.3848011,61.9069232,0.672857,t17_f5_c3,20.3252,0.3314,False,False,False,correction_0.0.1,0.0,,
5,ztf,59405.32856479986,1651328561715015000,1,1651328561715,20.6186,1,1651,17.402737,20.103094,20.1452,0.19590175,0.2576,278.3847386,61.9068908,0.73714286,t17_f5_c3,20.0299,0.2967,True,False,False,correction_0.0.1,0.0,0.9996636,826120117.0
6,ztf,59407.270717599895,1653270711715015001,1,1653270711715,20.600723,1,1653,17.604038,20.162588,20.1397,0.20736946,0.2675,278.3848569,61.9069226,0.70714283,t17_f5_c3,19.7359,0.2367,True,False,False,correction_0.0.1,0.0,0.9900638,826120117.0
7,ztf,59407.32219910016,1653322191715015000,2,1653322191715,20.431755,1,1653,9.358225,20.330048,20.4726,0.20948516,0.4242,278.3846822,61.9069087,0.5742857,t17_f5_c3,20.3198,0.4731,True,False,False,correction_0.0.1,0.0,0.9995484,826120217.0
8,ztf,59409.326770800166,1655326771715015001,1,1655326771715,20.627867,1,1655,17.552675,20.08516,20.0642,0.15477899,0.2423,278.3848434,61.9068407,0.6528571,t17_f5_c3,20.151,0.3358,True,False,False,correction_0.0.1,0.0,0.99956536,826120117.0
9,ztf,59414.30409719981,1660304091715015000,2,1660304091715,20.3332,1,1660,9.77202,20.1668,20.6261,0.220035,0.5488,278.3849247,61.9069112,0.495714,t17_f5_c3,20.5897,0.6818,False,False,False,correction_0.0.1,0.0,,
10,ztf,59414.38340280019,1660383401715015000,1,1660383401715,20.652306,1,1660,17.439777,20.328983,20.4782,0.1967274,0.334,278.3847764,61.9068413,0.7385714,t17_f5_c3,20.3313,0.3743,True,False,False,correction_0.0.1,0.0,0.9999918,826120117.0
