,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase
0,ztf,59550.45620370004,1796456205115015015,1,1796456205115,20.726038,1,1796,0.68145186,20.12043,19.862823,20.1489,0.17827752,0.13831918,0.14062224,0.2286,155.779461,20.9781082,0.86142856,t17_f5_c3,0.99998647,19.9482,0.2433,571120151,True,True,False,correction_1.0.6,0.0
1,ztf,59550.46493060002,1796464936215015008,1,1796464936215,20.78168,1,1796,0.052058846,20.093578,19.832327,20.0656,0.19120371,0.14899112,0.15031277,0.2051,155.7795948,20.9781116,0.87,t17_f5_c3,0.9994473,20.052,0.2587,572120162,True,True,False,correction_1.0.6,0.0
2,ztf,59550.518680599984,1796518686215015012,2,1796518686215,20.58449,1,1796,0.08782175,20.293512,19.797258,20.0365,0.17389686,0.10580631,0.11010065,0.2505,155.7796001,20.9781698,0.6357143,t17_f5_c3,0.99966884,19.9417,0.2937,572120262,True,True,False,correction_1.0.6,0.0
