,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,drb,rfid
0,ztf,59177.347986099776,1423347982215015046,2,1423347982215,20.0355,1,1423,2.07731,20.0728,19.2748,0.236382,0.1851,72.591731,-18.5686718,0.154286,t17_f5_c3,19.0777,0.1978,False,False,False,bulk_1.0.0,0.0,1441275252215015017,,,,,
1,ztf,59181.29288189998,1427292882215015000,2,1427292882215,19.1916,1,1427,1.37913,19.657,19.3671,0.301618,0.3666,72.5915774,-18.568533,0.412857,t17_f5_c3,19.224,0.4125,False,True,True,bulk_1.0.0,0.0,1441275252215015017,19.457302,0.2503001,0.2509448,,
2,ztf,59185.294699099846,1431294692215015003,1,1431294692215,19.1756,1,1431,0.230473,19.3253,19.3286,0.219943,0.3961,72.5916614,-18.5684049,0.668571,t17_f5_c3,19.1212,0.4205,False,True,False,bulk_1.0.0,0.0,1441275252215015017,19.198853,0.19542913,0.19576329,,
3,ztf,59187.35789350001,1433357892215015011,1,1433357892215,19.1704,1,1433,0.369072,19.3701,19.3694,0.247646,0.3063,72.5915592,-18.5684183,0.504286,t17_f5_c3,19.415,0.4098,False,True,False,bulk_1.0.0,0.0,1441275252215015017,19.238636,0.21908386,0.21940465,,
4,ztf,59187.41171299992,1433411712215015004,2,1433411712215,18.9984,1,1433,1.8454,19.1599,19.2641,0.246826,0.2829,72.5916597,-18.5686388,0.298571,t17_f5_c3,19.3722,0.4011,False,False,False,bulk_1.0.0,0.0,1441275252215015017,,,,,
5,ztf,59189.32437499985,1435324372215015277,2,1435324372215,19.6649,1,1435,1.27194,19.3766,19.2045,0.125499,0.2585,72.5916091,-18.5684707,0.58,t17_f5_c3,18.8609,0.2421,False,True,True,bulk_1.0.0,0.0,1441275252215015017,19.219234,0.10760179,0.108565986,,
6,ztf,59193.283669000026,1439283662215015024,2,1439283662215,20.360191,1,1439,1.4855901,19.501324,19.3987,0.15968361,0.1649,72.5916745,-18.5684974,0.80714285,t17_f5_c3,19.5112,0.2335,False,False,False,bulk_1.0.0,0.0,1441275252215015017,,,,0.9999044,304120222.0
7,ztf,59193.36659719981,1439366592215015020,1,1439366592215,20.2395,1,1439,0.250761,19.5753,19.4257,0.150464,0.1622,72.5916893,-18.5685335,0.844286,t17_f5_c3,19.4028,0.2028,False,True,False,bulk_1.0.0,0.0,1441275252215015017,19.418379,0.12946163,0.13021591,,
8,ztf,59195.275254600216,1441275252215015017,1,1441275252215,20.166496,1,1441,0.2458674,19.66067,19.5784,0.14856765,0.1696,72.5917158,-18.5685115,0.7228571,t17_f5_c3,19.5592,0.2127,False,True,False,bulk_1.0.0,0.0,1446256302215015024,19.491861,0.12629002,0.12717481,0.99994564,304120122.0
9,ztf,59198.31340279989,1444313402215015013,1,1444313402215,19.8715,1,1444,0.297485,19.9791,19.8592,0.274972,0.2384,72.5917151,-18.5685331,0.298571,t17_f5_c3,19.7508,0.2763,False,True,False,bulk_1.0.0,0.0,1446256302215015024,19.758274,0.22354864,0.22436652,,
10,ztf,59200.25630789995,1446256302215015024,2,1446256302215,20.211742,1,1446,1.4531924,19.94578,20.0084,0.16713747,0.3243,72.5916441,-18.5685119,0.7271429,t17_f5_c3,19.6069,0.2874,False,False,False,bulk_1.0.0,0.0,1449233192215015023,,,,0.9999964,304120222.0
11,ztf,59203.23319440009,1449233192215015023,2,1449233192215,19.823948,1,1449,1.8206671,19.855225,19.4719,0.20888358,0.2068,72.5917376,-18.5685709,0.21285714,t17_f5_c3,19.4907,0.2694,True,False,False,bulk_1.0.0,0.0,0,,,,0.9662409,304120222.0
