,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,drb,rfid
0,ztf,59399.28694440005,1645286942215015004,1,1645286942215,20.7262,1,1645,3.77823,20.8415,20.4171,0.260938,0.2871,248.1603447,61.0986158,0.225714,t17_f5_c3,20.2513,0.3159,False,False,False,correction_0.0.1,0.0,,
1,ztf,59401.25633100001,1647256332215015001,1,1647256332215,20.5639,1,1647,3.3016,20.5649,20.7396,0.255788,0.3961,248.1606125,61.0985759,0.402857,t17_f5_c3,20.3411,0.3517,False,False,False,correction_0.0.1,0.0,,
2,ztf,59403.32603010023,1649326032215015004,2,1649326032215,20.5262,1,1649,6.12242,20.9193,20.9042,0.311237,0.6266,248.1605707,61.0986424,0.607143,t17_f5_c3,20.8717,0.7781,False,False,False,correction_0.0.1,0.0,,
3,ztf,59403.37259260006,1649372592215015004,1,1649372592215,20.3581,1,1649,3.83761,20.3316,20.3215,0.221752,0.3762,248.1602741,61.0985776,0.727143,t17_f5_c3,20.1381,0.4073,False,False,False,correction_0.0.1,0.0,,
4,ztf,59405.30500000017,1651305002215015008,1,1651305002215,20.604048,1,1651,3.7665677,20.119377,20.0791,0.17086998,0.2404,248.1604092,61.0986668,0.6314286,t17_f5_c3,19.8735,0.2547,True,False,False,correction_0.0.1,0.0,0.9999667,824120122.0
5,ztf,59407.26785880001,1653267852215015002,1,1653267852215,20.610737,1,1653,3.6747086,20.150227,20.1269,0.20636548,0.2583,248.1603762,61.0985796,0.40142858,t17_f5_c3,19.9777,0.288,True,False,False,correction_0.0.1,0.0,0.99709797,824120122.0
6,ztf,59409.243564799894,1655243562215015004,1,1655243562215,20.576223,1,1655,3.5546231,20.236406,20.289,0.19252157,0.297,248.1604863,61.0986136,0.47285715,t17_f5_c3,20.6463,0.5273,True,False,False,correction_0.0.1,0.0,0.9995523,824120122.0
7,ztf,59409.288935199846,1655288932215015000,2,1655288932215,20.542616,1,1655,6.3352494,20.290234,20.6703,0.15483579,0.5079,248.1604023,61.0986064,0.7342857,t17_f5_c3,20.5541,0.5838,True,False,False,correction_0.0.1,0.0,0.9999487,824120222.0
8,ztf,59411.24271989986,1657242712215015001,2,1657242712215,20.285185,1,1657,6.3440094,19.959532,19.5828,0.15539517,0.2373,248.1603495,61.0985602,0.76,t17_f5_c3,19.2863,0.2313,True,False,False,correction_0.0.1,0.0,0.99951786,824120222.0
9,ztf,59411.31138890004,1657311382215015002,1,1657311382215,20.314014,1,1657,3.6798491,19.954847,20.1589,0.16274631,0.3515,248.160446,61.0986487,0.77428573,t17_f5_c3,19.8292,0.3328,True,False,False,correction_0.0.1,0.0,0.99999297,824120122.0
10,ztf,59414.28967589978,1660289672215015001,2,1660289672215,20.173164,1,1660,6.6583576,20.051731,19.8265,0.17438024,0.3092,248.1601436,61.0985505,0.8471429,t17_f5_c3,19.8807,0.4165,True,False,False,correction_0.0.1,0.0,0.9999801,824120222.0
