,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext
0,ztf,59518.450057900045,1764450052615015000,1,1764450052615,20.3483,1,1764,1.52547,20.6105,20.2725,0.341294,0.3394,142.2598064,25.0974667,0.488571,t17_f5_c3,20.182,0.3997,False,False,False,correction_1.0.6,0.0,1.764520642615015e+18,,,,,
1,ztf,59518.52064809995,1764520642615015001,2,1764520642615,20.4951,1,1764,1.5858635,20.455734,20.444,0.19750166,0.4007,142.259785,25.0974907,0.72571427,t17_f5_c3,20.747,0.6776,True,False,False,correction_1.0.6,0.0,,0.9998112,619120226.0,,,
2,ztf,59522.50841439981,1768508412615015004,1,1768508412615,20.74705,1,1768,1.5698488,20.097775,20.3091,0.15162025,0.2565,142.2597686,25.0974508,0.8414286,t17_f5_c3,20.302,0.3253,True,False,False,correction_1.0.6,0.0,,0.99917895,619120126.0,,,
3,ztf,59524.465474499855,1770465472615015001,2,1770465472615,20.535852,1,1770,1.498186,20.275356,20.2563,0.20784855,0.3286,142.259751,25.0974285,0.75714284,t17_f5_c3,20.0916,0.3613,True,False,False,correction_1.0.6,0.0,,0.99991393,619120226.0,,,
4,ztf,59524.52658559987,1770526582615015001,1,1770526582615,20.725128,1,1770,1.4987081,20.097843,19.959,0.1798566,0.1861,142.2598045,25.0974568,0.70285714,t17_f5_c3,20.0534,0.259,True,False,False,correction_1.0.6,0.0,,0.999573,619120126.0,,,
5,ztf,59526.46706019994,1772467062615015000,1,1772467062615,20.565,1,1772,1.59952,20.045,20.3293,0.238417,0.2772,142.2597435,25.0974415,0.811429,t17_f5_c3,20.3292,0.3541,False,False,False,correction_1.0.6,0.0,1.774508562615015e+18,,,,,
6,ztf,59526.507407399826,1772507402615015001,2,1772507402615,20.5737,1,1772,1.66022,20.1521,20.4439,0.22866,0.3713,142.2597538,25.0974943,0.555714,t17_f5_c3,20.5463,0.5218,False,False,False,correction_1.0.6,0.0,1.774508562615015e+18,,,,,
7,ztf,59528.508564800024,1774508562615015000,1,1774508562615,20.536957,1,1774,1.4901397,19.956474,20.0623,0.1949124,0.1997,142.259796,25.0974418,0.79285717,t17_f5_c3,20.1103,0.2662,True,False,False,correction_1.0.6,0.0,,0.9999504,619120126.0,,,
8,ztf,59530.434652800206,1776434652615015000,1,1776434652615,19.6757,1,1776,1.56754,20.1266,20.0035,0.445622,0.2572,142.259651,25.097301,0.171429,t17_f5_c3,19.7819,0.269,False,False,False,correction_1.0.6,0.0,1.778469122615015e+18,,,,,
9,ztf,59530.46555559989,1776465552615015000,2,1776465552615,19.7654,1,1776,0.559234,20.2306,20.0168,0.474972,0.2787,142.2599772,25.0972596,0.374286,t17_f5_c3,20.0209,0.3581,False,True,True,correction_1.0.6,0.0,1.778469122615015e+18,,,19.155664,0.17388208,0.17647924
10,ztf,59532.46912040003,1778469122615015001,2,1778469122615,20.444435,1,1778,1.5411606,19.919664,20.1293,0.15682116,0.3021,142.2597761,25.0974675,0.8914286,t17_f5_c3,19.8058,0.2875,True,False,False,correction_1.0.6,0.0,,0.99999917,619120226.0,,,
11,ztf,59532.49831019994,1778498312615015001,1,1778498312615,20.59217,1,1778,1.5237161,20.233307,20.1327,0.16967894,0.2359,142.2597357,25.0974021,0.8257143,t17_f5_c3,20.5578,0.4453,True,False,False,correction_1.0.6,0.0,,0.9999981,619120126.0,,,
