,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,drb,rfid
0,ztf,59250.29422450019,1496294224415015002,1,1496294224415,20.2417,1,1496,1.49366,20.4646,20.5402,0.27083,0.35,133.4466288,-0.9821709,0.401429,t17_f5_c3,20.4165,0.4028,False,False,False,correction_0.0.1,0.0,,
1,ztf,59252.27259259997,1498272594415015003,1,1498272594415,20.6628,1,1498,1.57469,20.363,20.4917,0.218954,0.3035,133.4466473,-0.9822436,0.738571,t17_f5_c3,20.4579,0.3774,False,False,False,correction_0.0.1,0.0,,
2,ztf,59252.29503470007,1498295034415015005,2,1498295034415,20.6353,1,1498,2.00229,20.4016,20.122,0.21927,0.2435,133.4465929,-0.9822068,0.325714,t17_f5_c3,20.0071,0.281,False,False,False,correction_0.0.1,0.0,,
3,ztf,59254.27693289984,1500276934415015003,1,1500276934415,20.925777,1,1500,1.7684926,20.047762,20.0165,0.14520784,0.1617,133.4465875,-0.9822524,0.73142856,t17_f5_c3,20.2459,0.2547,True,False,False,correction_0.0.1,0.0,0.9999999,415120144.0
4,ztf,59254.37853009999,1500378534415015007,2,1500378534415,20.687029,1,1500,1.9146717,20.112537,20.256,0.1724584,0.2609,133.4466365,-0.9821935,0.75285715,t17_f5_c3,20.2671,0.3379,True,False,False,correction_0.0.1,0.0,0.9999976,415120244.0
5,ztf,59256.23672450008,1502236724415015004,2,1502236724415,20.632559,1,1502,2.0054927,19.987234,19.9866,0.1799376,0.2206,133.4465819,-0.9822046,0.6642857,t17_f5_c3,20.1565,0.3303,True,False,False,correction_0.0.1,0.0,0.9999999,415120244.0
6,ztf,59256.294398100115,1502294394415015005,1,1502294394415,20.721365,1,1502,1.7253401,19.997131,20.083,0.14914706,0.2057,133.4465788,-0.9822166,0.75714284,t17_f5_c3,19.9395,0.2307,True,False,False,correction_0.0.1,0.0,0.9999999,415120144.0
7,ztf,59260.2708101999,1506270814415015005,2,1506270814415,19.77472,1,1506,1.7692091,19.978905,19.9108,0.20970894,0.3465,133.4466119,-0.9821461,0.35428572,t17_f5_c3,20.1345,0.5472,True,False,False,correction_0.0.1,0.0,0.9999478,415120244.0
8,ztf,59260.37010420021,1506370104415015004,1,1506370104415,20.160757,1,1506,1.7296199,19.953766,20.0615,0.18704146,0.3265,133.4466047,-0.9822649,0.75285715,t17_f5_c3,19.4961,0.2495,True,False,False,correction_0.0.1,0.0,0.99999946,415120144.0
9,ztf,59265.27491899999,1511274914415015001,2,1511274914415,20.348309,1,1511,2.0002835,20.088694,20.22,0.19973528,0.3411,133.4466197,-0.9822121,0.5957143,t17_f5_c3,20.3415,0.4896,True,False,False,correction_0.0.1,0.0,0.99980855,415120244.0
