,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,parent_candid
0,ztf,59459.25188660016,1705251884715015013,2,1705251884715,20.194376,1,1705,1.7158425,19.791285,19.4323,0.20075236,0.1662,330.7458364,-16.4772874,0.36714286,t17_f5_c3,0.99847317,19.5525,0.237,341120247.0,True,False,False,correction_1.0.6,0.0,,,,
1,ztf,59461.251863399986,1707251864715015013,1,1707251864715,20.402637,1,1707,1.7014973,19.543821,19.715,0.11529772,0.1946,330.7458656,-16.477296,0.9114286,t17_f5_c3,0.99994695,19.9609,0.3115,341120147.0,True,False,False,correction_1.0.6,0.0,,,,
2,ztf,59461.29370369995,1707293704715015013,2,1707293704715,20.148169,1,1707,1.2759792,19.548515,19.2623,0.13200143,0.1566,330.7459202,-16.4774021,0.76714283,t17_f5_c3,0.9998969,19.0752,0.1686,341120247.0,True,True,True,correction_1.0.6,0.0,18.964209,0.07318684,0.0770648,
3,ztf,59463.23672450008,1709236724715015014,1,1709236724715,20.408876,1,1709,1.691907,19.142565,19.1755,0.10386873,0.1215,330.7458629,-16.4773044,0.9342857,t17_f5_c3,0.9999953,19.1375,0.1495,341120147.0,True,False,False,correction_1.0.6,0.0,,,,
4,ztf,59463.290439799894,1709290434715015023,2,1709290434715,20.188538,1,1709,1.5855782,19.320824,19.4397,0.11548454,0.1824,330.7458425,-16.4773511,0.87857145,t17_f5_c3,0.9999184,19.3395,0.2128,341120247.0,True,False,False,correction_1.0.6,0.0,,,,
5,ztf,59465.33643520018,1711336434715015013,2,1711336434715,19.999937,1,1711,1.3937817,19.142773,19.1202,0.098164745,0.1581,330.7459087,-16.4773485,0.9257143,t17_f5_c3,0.99999404,19.1005,0.1984,341120247.0,True,True,True,correction_1.0.6,0.0,18.709385,0.06302959,0.06585679,
6,ztf,59468.31848380016,1714318484715015017,2,1714318484715,20.345678,1,1714,1.5737964,18.910103,18.9133,0.07698397,0.1141,330.7458628,-16.4773216,0.9242857,t17_f5_c3,0.9999964,18.8552,0.1379,341120247.0,True,False,False,correction_1.0.6,0.0,,,,
7,ztf,59470.25368059985,1716253684715015016,2,1716253684715,20.470016,1,1716,1.5222406,18.90928,18.7326,0.06735974,0.0901,330.7458779,-16.4773241,0.8857143,t17_f5_c3,0.99995387,18.6672,0.108,341120247.0,True,False,False,correction_1.0.6,0.0,,,,
8,ztf,59470.36196759995,1716361964715015011,1,1716361964715,20.098957,1,1716,1.656703,19.071985,19.168,0.11249825,0.1509,330.7458758,-16.4773041,0.9085714,t17_f5_c3,0.99999934,19.1483,0.1895,341120147.0,True,False,False,correction_1.0.6,0.0,,,,
9,ztf,59473.35994210001,1719359944715015006,1,1719359944715,19.899609,1,1719,1.5744921,18.993605,19.041,0.116254635,0.1675,330.7458839,-16.477332,0.93,t17_f5_c3,0.9999998,18.966,0.2001,341120147.0,True,False,False,correction_1.0.6,0.0,,,,
