,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,rbversion
0,ztf,58302.30232639983,548302320815010087,2,548302320815,19.940872,-1,548,1.1741178,19.272364,17.101936,18.957,0.19131681,100.0,0.025916832,0.1327,219.5965763,30.7065303,0.60333335,0.0,18.9175,0.1597,676120208.0,True,True,False,bulk_1.0.0,0.0,0,
1,ztf,58936.45418980019,1182454180815015007,2,1182454180815,20.581116,1,1182,0.23283356,18.51431,16.730608,18.433,0.08358828,100.0,0.016168306,0.0643,219.5965678,30.706799,0.95714283,0.99993765,18.4524,0.0788,676120208.0,False,True,False,bulk_1.0.0,0.0,1212372060815015010,t17_f5_c3
2,ztf,58936.467442099936,1182467440815015018,1,1182467440815,20.851862,1,1182,0.08751239,18.7969,17.473581,18.7523,0.09483249,100.0,0.028030438,0.063,219.5965398,30.7068271,0.96428573,0.9999988,18.7229,0.0748,676120108.0,False,True,False,bulk_1.0.0,0.0,1212372060815015010,t17_f5_c3
3,ztf,58939.454097200185,1185454090815015001,1,1185454090815,19.36609,1,1185,0.23817512,18.82628,17.482183,18.7291,0.1929611,0.048210286,0.055953976,0.2323,219.5964958,30.7068509,0.88857144,0.9998561,18.6198,0.2675,676120108.0,False,True,False,bulk_1.0.0,0.0,1212372060815015010,t17_f5_c3
4,ztf,58940.456770800054,1186456770815015008,2,1186456770815,18.628,1,1186,0.264173,18.3398,16.694593,17.9828,0.261509,0.047737237,0.057465076,0.2339,219.5965356,30.7069102,0.68,,18.0096,0.3052,,False,True,False,bulk_1.0.0,0.0,1212372060815015010,t17_f5_c3
5,ztf,58941.4241204001,1187424120815015011,2,1187424120815,20.663345,1,1187,0.3564873,18.630272,16.752094,18.5444,0.08089876,100.0,0.0143440105,0.0656,219.5965567,30.7067655,0.9614286,0.99999535,18.5134,0.0759,676120208.0,False,True,False,bulk_1.0.0,0.0,1212372060815015010,t17_f5_c3
6,ztf,58941.47712960001,1187477120815015017,1,1187477120815,20.691673,1,1187,0.10361249,19.093227,17.553074,19.0606,0.097323105,100.0,0.023558889,0.0794,219.5965404,30.7068362,0.95428574,0.9998957,19.0658,0.097,676120108.0,False,True,False,bulk_1.0.0,0.0,1212372060815015010,t17_f5_c3
7,ztf,58943.42358799977,1189423580815015009,1,1189423580815,20.100271,1,1189,0.06455053,19.275461,17.594463,19.3755,0.13887037,100.0,0.029526396,0.1976,219.5965819,30.7068405,0.9671429,0.9999896,19.2191,0.2171,676120108.0,False,True,False,bulk_1.0.0,0.0,1212372060815015010,t17_f5_c3
8,ztf,58943.4662269,1189466220815015007,2,1189466220815,20.273304,1,1189,0.22802773,18.852774,16.788364,18.8706,0.10692728,100.0,0.015970731,0.1178,219.5965723,30.7067992,0.93,0.9999956,18.8916,0.1487,676120208.0,False,True,False,bulk_1.0.0,0.0,1212372060815015010,t17_f5_c3
9,ztf,58944.37582179997,1190375820815015009,2,1190375820815,19.804441,1,1190,0.5001033,18.819574,16.78334,18.5912,0.12289,100.0,0.018837493,0.1278,219.5965459,30.7067269,0.95285714,0.9999596,18.5659,0.1573,676120208.0,False,True,False,bulk_1.0.0,0.0,1212372060815015010,t17_f5_c3
10,ztf,58944.474108799826,1190474100815015010,1,1190474100815,19.82728,1,1190,0.26422933,19.295862,17.598768,19.1596,0.15733255,0.009299547,0.03295955,0.19,219.5965235,30.7067562,0.9514286,0.99951303,19.0079,0.2104,676120108.0,False,True,False,bulk_1.0.0,0.0,1212372060815015010,t17_f5_c3
11,ztf,58954.455555600114,1200455550815015009,2,1200455550815,20.241314,1,1200,0.12999341,19.07207,16.818436,19.2818,0.10337507,100.0,0.012970664,0.1608,219.5965662,30.7068369,0.95857143,0.999997,19.1528,0.176,676120208.0,False,True,False,bulk_1.0.0,0.0,1212372060815015010,t17_f5_c3
12,ztf,58955.42384260008,1201423840815015014,2,1201423840815,20.521547,1,1201,0.47380635,19.220634,16.835999,19.0159,0.12448777,100.0,0.013844336,0.1098,219.5965329,30.7067395,0.93714285,0.9999775,19.0555,0.1382,676120208.0,False,True,False,bulk_1.0.0,0.0,1212372060815015010,t17_f5_c3
13,ztf,58962.31680560019,1208316800815015005,2,1208316800815,20.53828,1,1208,0.4773959,19.688496,16.879114,19.5946,0.1530281,100.0,0.011508497,0.1844,219.5965769,30.706727,0.93857145,0.99994516,19.7658,0.2621,676120208.0,False,True,False,bulk_1.0.0,0.0,1212372060815015010,t17_f5_c3
14,ztf,58966.3720602002,1212372060815015010,2,1212372060815,20.73061,1,1212,0.9046748,19.831888,16.889263,19.9164,0.14225921,100.0,0.009463037,0.226,219.5966345,30.7066101,0.9042857,0.99991703,19.9818,0.2884,676120208.0,True,True,False,bulk_1.0.0,0.0,0,t17_f5_c3
