,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext
0,ztf,59446.39846060006,1692398463615015003,2,1692398463615,19.6285,1,1692,10.3479,19.893,19.9438,0.235346,0.4897,23.9066029,-0.9891816,0.617143,t17_f5_c3,19.717,0.5103,False,False,False,correction_1.0.6,0.0,1.695374013615015e+18,,,,,
1,ztf,59449.37401620019,1695374013615015003,2,1695374013615,18.844765,1,1695,10.562473,19.082243,18.7375,0.19414921,0.4149,23.9066528,-0.9892167,0.4242857,t17_f5_c3,18.6397,0.4871,True,False,False,correction_1.0.6,0.0,,0.99931335,399120236.0,,,
2,ztf,59458.36063659983,1704360633615015005,2,1704360633615,20.404776,1,1704,10.220771,18.826658,18.7651,0.07104241,0.0867,23.9065606,-0.9891843,0.9071429,t17_f5_c3,18.6534,0.0998,True,False,False,correction_1.0.6,0.0,,0.99999964,399120236.0,,,
3,ztf,59460.35958330007,1706359583615015004,2,1706359583615,20.551577,1,1706,10.24923,18.67168,18.646,0.070405975,0.07,23.9065575,-0.9892082,0.93285716,t17_f5_c3,18.5915,0.0846,True,False,False,correction_1.0.6,0.0,,0.99999857,399120236.0,,,
4,ztf,59460.407824099995,1706407823615015006,1,1706407823615,20.68247,1,1706,0.35065082,18.606075,18.5736,0.05955262,0.0575,23.9065646,-0.9891963,0.94142854,t17_f5_c3,18.5578,0.0715,True,True,False,correction_1.0.6,0.0,,0.9999999,399120136.0,18.590803,0.05851813,0.058720816
5,ztf,59462.416840299964,1708416843615015006,2,1708416843615,20.703453,1,1708,10.28502,18.701777,18.7179,0.060691025,0.0712,23.9065734,-0.9891986,0.92142856,t17_f5_c3,18.6464,0.0847,True,False,False,correction_1.0.6,0.0,,0.99999976,399120236.0,,,
6,ztf,59462.46965279989,1708469653615015003,1,1708469653615,20.565039,1,1708,0.34650353,18.590488,18.4975,0.088526845,0.061,23.9065673,-0.9891926,0.9514286,t17_f5_c3,18.5124,0.0783,True,True,False,correction_1.0.6,0.0,,0.99999994,399120136.0,18.575432,0.08717533,0.08730772
7,ztf,59464.41420139978,1710414203615025006,2,1710414203615,20.4866,1,1710,10.3497,18.6705,18.6171,0.06497,0.0733,23.906582,-0.9892216,0.928571,t17_f5_c3,18.6254,0.0939,False,False,False,correction_1.0.6,0.0,1.714377883615015e+18,,,,,
8,ztf,59464.41420139978,1710414203615015006,2,1710414203615,20.486609,1,1710,10.349708,18.670498,18.6171,0.064969555,0.0733,23.906582,-0.9892216,0.9285714,t17_f5_c3,18.6254,0.0939,True,False,False,correction_1.0.6,0.0,,0.9999995,399120236.0,,,
9,ztf,59464.44076390006,1710440763615015004,1,1710440763615,20.627289,1,1710,0.394684,18.62772,18.5702,0.07708813,0.0609,23.906557,-0.9891827,0.94714284,t17_f5_c3,18.5057,0.0726,True,True,False,correction_1.0.6,0.0,,0.9999999,399120136.0,18.612143,0.07582723,0.07599003
10,ztf,59464.44076390006,1710440763615025004,1,1710440763615,20.6273,1,1710,0.394684,18.6277,18.5702,0.077088,0.0609,23.906557,-0.9891827,0.947143,t17_f5_c3,18.5057,0.0726,False,True,False,correction_1.0.6,0.0,1.714377883615015e+18,,,18.612123,0.07582712,0.07598992
11,ztf,59466.37710649986,1712377103615015007,2,1712377103615,20.470285,1,1712,10.280053,18.797297,18.7994,0.062040187,0.0875,23.9065709,-0.9892007,0.9185714,t17_f5_c3,18.8001,0.1116,True,False,False,correction_1.0.6,0.0,,0.9999995,399120236.0,,,
