,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,rbversion
0,ztf,58242.24421299994,488244213315010001,1,488244213315,20.7236,-1,488,0.279775,19.8377,18.09349,19.8943,0.077861,100.0,0.015618384,0.1135,203.5721263,41.9258925,0.51,19.8202,0.2055,False,True,False,bulk_1.0.0,0.0,5.1822437331501e+17,,,
1,ztf,58248.21736110002,494217363315010001,1,494217363315,20.6876,-1,494,0.135136,19.8815,18.084913,19.8553,0.091238,100.0,0.017439771,0.1092,203.5722216,41.9259127,0.44,20.0013,0.2455,False,True,False,bulk_1.0.0,0.0,5.1822437331501e+17,,,
2,ztf,58254.203923599795,500203923315010002,2,500203923315,20.5949,-1,500,0.138232,18.9419,17.581898,19.1188,0.062397,100.0,0.017830482,0.1095,203.572153,41.9259651,0.5,19.2158,0.1482,False,True,False,bulk_1.0.0,0.0,5.2524311331501e+17,,,
3,ztf,58257.26643519988,503266433315010000,2,503266433315,20.6231,-1,503,0.447263,19.0673,17.548573,19.1957,0.070468,100.0,0.017398061,0.1149,203.572213,41.9258277,0.433333,19.1457,0.1355,False,True,False,bulk_1.0.0,0.0,5.2524311331501e+17,,,
4,ztf,58257.28020829987,503280203315010003,2,503280203315,20.7176,-1,503,0.230448,19.1013,17.54034,19.1357,0.070879,100.0,0.016831934,0.106,203.5721976,41.9258885,0.476667,19.1968,0.1381,False,True,False,bulk_1.0.0,0.0,5.2524311331501e+17,,,
5,ztf,58266.27430560021,512274303315010001,2,512274303315,19.5698,-1,512,0.222827,19.0348,17.55675,18.9883,0.139791,100.0,0.035831016,0.2117,203.5721826,41.9258923,0.296667,18.8361,0.2349,False,True,False,bulk_1.0.0,0.0,5.2524311331501e+17,,,
6,ztf,58269.194317100104,515194313315010000,2,515194313315,20.2981,-1,515,0.269586,19.0661,17.54887,19.1759,0.093163,100.0,0.023033066,0.1555,203.5721952,41.9258776,0.84,19.0053,0.1675,False,True,False,bulk_1.0.0,0.0,5.2524311331501e+17,,,
7,ztf,58272.17509259982,518175093315010002,2,518175093315,20.617207,-1,518,0.22876962,19.067606,17.548498,19.0065,0.07259149,100.0,0.017916055,0.104,203.5721687,41.925894,0.9266667,19.071,0.1369,False,True,False,bulk_1.0.0,0.0,5.2524311331501e+17,0.0,717120233.0,
8,ztf,58272.22437500022,518224373315010003,1,518224373315,20.83585,-1,518,0.10111051,19.714064,18.12008,19.9724,0.10361657,100.0,0.023869105,0.1907,203.5721911,41.9259204,0.88,20.101,0.267,False,True,False,bulk_1.0.0,0.0,5.2524311331501e+17,0.0,717120133.0,
9,ztf,58276.207071799785,522207073315010002,2,522207073315,20.784273,-1,522,0.14953803,18.931385,17.584923,18.8579,0.05688644,100.0,0.016459765,0.0796,203.5721597,41.9259236,0.85,18.8341,0.0958,False,True,False,bulk_1.0.0,0.0,5.2524311331501e+17,0.0,717120233.0,
