iau_name,ztf_name,ra,dec,jd_discovery_date,jd_start,jd_end
2021hi,ZTF21aabeeas,90.35690833333332,-24.585191666666667,2459216.7949073957,2458966.794907,2459466.794907
2021dv,ZTF21aaanhws,109.48879166666664,-1.6174055555555555,2459218.92396,2458968.92396,2459468.92396
2021zr,ZTF21aadiqbt,106.92998749999998,6.5856916666666665,2459223.860891204,2458973.860891,2459473.860891
2021ho,ZTF21aabdfmp,107.24158333333332,8.338761111111111,2459217.8366204053,2458967.83662,2459467.83662
2021ahq,ZTF21aaedplu,104.33776666666665,-24.0134,2459226.7721412037,2458976.772141,2459476.772141
2021aaa,ZTF21aadgibp,93.65557083333333,2.137463888888889,2459225.729097199,2458975.729097,2459475.729097
2021asu,ZTF21aaezixn,129.22236249999997,-5.917702777777778,2459232.85282,2458982.85282,2459482.85282
2021bpn,ZTF21aagocor,134.87325416666664,-2.927102777777778,2459248.790497697,2458998.790498,2459498.790498
2021bpm,ZTF21aagocxm,135.7191458333333,-2.8644805555555557,2459248.790497697,2458998.790498,2459498.790498
2021bnd,ZTF21aagocky,128.70379583333332,-6.455330555555555,2459245.911,2458995.911,2459495.911
2021cbe,ZTF21aagocpb,132.84979999999996,-1.3437944444444443,2458496.944,2458246.944,2458746.944
2021avo,ZTF21aafvhij,120.44495416666665,4.285294444444444,2459228.84508,2458978.84508,2459478.84508
2021bxo,ZTF21aagnqnz,121.00245833333331,10.009319444444445,2459248.7550462964,2458998.755046,2459498.755046
2021crg,ZTF21aaizarc,123.09047083333331,3.267875,2459252.713136597,2459002.713137,2459502.713137
2021buv,ZTF21aagwbjr,117.08049999999997,11.409502777777778,2459249.79662,2458999.79662,2459499.79662
2021cdd,ZTF21aahxoxi,124.8775833333333,5.898438888888888,2459252.767824097,2459002.767824,2459502.767824
2021ats,ZTF21aaezgur,122.29126666666666,7.8202444444444446,2459228.8651504978,2458978.86515,2459478.86515
2021amn,ZTF21aaeedxy,123.63606249999997,2.2478583333333333,2459228.8450809955,2458978.845081,2459478.845081
2021aud,ZTF21aaezfqt,124.38155416666665,6.101719444444444,2459230.837291701,2458980.837292,2459480.837292
2021bmc,ZTF21aaglrzc,127.24880416666666,12.419380555555556,2459245.972,2458995.972,2459495.972
2021aik,ZTF21aaeglcm,120.530075,10.342680555555557,2459228.8417707984,2458978.841771,2459478.841771
2021dcj,ZTF21aahchsq,133.44660416666665,-0.9822,2459250.794212963,2459000.794213,2459500.794213
2021awg,ZTF21aaggwjb,131.60750416666667,9.081041666666666,2459233.7707292014,2458983.770729,2459483.770729
2021dbh,ZTF21aahyegx,131.00044166666666,7.4782472222222225,2459252.7136110994,2459002.713611,2459502.713611
2021bnf,ZTF21aagnvvk,128.29537499999998,7.597652777777777,2459231.852,2458981.852,2459481.852
2021cfb,ZTF21aaglsfy,128.0377875,8.481872222222222,2459251.789942095,2459001.789942,2459501.789942
2021cfp,ZTF21aaimlve,119.21742083333332,-15.555855555555556,2459248.7517593056,2458998.751759,2459498.751759
2021cqi,ZTF21aahqahr,119.09144583333332,-14.709591666666666,2459251.893,2459001.893,2459501.893
2021cby,ZTF21aagnaqf,117.45109166666666,-20.195333333333334,2459250.8300346993,2459000.830035,2459500.830035
2021caf,ZTF21aahargb,122.12954999999997,-17.249825,2459251.8926620022,2459001.892662,2459501.892662
2021csy,ZTF21aahlbxc,125.26395416666665,-22.163475,2459251.816539398,2459001.816539,2459501.816539
2021bzc,ZTF21aagofwb,127.88481666666667,-17.203322222222223,2459248.771921296,2458998.771921,2459498.771921
2021aim,ZTF21aaegqtu,126.44866249999997,-21.747977777777777,2459228.8502315045,2458978.850232,2459478.850232
2021bpc,ZTF21aagqjph,127.44118749999998,-21.880108333333332,2459248.7714468054,2458998.771447,2459498.771447
2021cda,ZTF21aahlmwr,124.54658333333332,-13.516675000000001,2459252.7851620023,2459002.785162,2459502.785162
2021byx,ZTF21aahjkus,125.37103333333332,-20.880883333333333,2459248.7714468054,2458998.771447,2459498.771447
2021ann,ZTF21aaezirc,132.77961249999998,-17.488044444444444,2459230.834930602,2458980.834931,2459480.834931
2021bpd,ZTF21aagogqj,125.7761208333333,-16.647780555555556,2459248.771921296,2458998.771921,2459498.771921
2021bsp,ZTF21aagofpx,116.81520833333332,-2.179561111111111,2459248.977,2458998.977,2459498.977
2021ail,ZTF21aadhlsy,121.69831249999999,0.25145555555555554,2459228.8455556016,2458978.845556,2459478.845556
