julian_date,filter,flux,flux_unc
2459356.6869792,ZTF_g,,
2459356.7447685,ZTF_r,,
2459460.0072917,ZTF_r,,
2459460.0096644,ZTF_r,,
2459460.0120255,ZTF_r,,
2459460.0143866,ZTF_r,,
2459460.0167593,ZTF_r,,
2459461.0097222,ZTF_r,,
2459461.0121412,ZTF_r,,
2459461.0145718,ZTF_r,,
2459461.0169907,ZTF_r,,
2459461.0194213,ZTF_r,,
2459462.0087731,ZTF_r,,
2459462.0111921,ZTF_r,,
2459462.0136111,ZTF_r,,
2459462.0160417,ZTF_r,,
2459462.0184722,ZTF_r,,
2459463.0103588,ZTF_r,,
2459463.0127894,ZTF_r,,
2459463.0152083,ZTF_r,,
2459463.0176273,ZTF_r,,
2459463.0200579,ZTF_r,,
2459464.0154514,ZTF_r,,
2459464.0178819,ZTF_r,,
2459464.0203125,ZTF_r,,
2459465.0095139,ZTF_r,,
2459465.0119097,ZTF_r,,
2459465.0143056,ZTF_r,,
2459465.0166898,ZTF_r,,
2459465.0190856,ZTF_r,,
2459466.0093403,ZTF_r,,
2459466.0117014,ZTF_r,,
2459466.0140741,ZTF_r,,
2459466.0164352,ZTF_r,,
2459466.0187963,ZTF_r,,
2459467.0136343,ZTF_r,,
2459467.0160301,ZTF_r,,
2459467.0184259,ZTF_r,,
2459467.0208218,ZTF_r,,
2459468.0127315,ZTF_r,,
2459468.0151273,ZTF_r,,
2459468.0175231,ZTF_r,,
2459468.019919,ZTF_r,,
2459468.0223264,ZTF_r,,
2459469.012963,ZTF_r,,
2459469.0153588,ZTF_r,,
2459469.0177546,ZTF_r,,
2459469.0201505,ZTF_r,,
2459469.0225463,ZTF_r,,
2459471.0023611,ZTF_r,,
2459471.0047801,ZTF_r,,
2459471.0071991,ZTF_r,,
2459471.0096181,ZTF_r,,
2459471.0120486,ZTF_r,,
2459472.0030903,ZTF_r,,
2459472.0055208,ZTF_r,,
2459472.0079398,ZTF_r,,
2459472.0103704,ZTF_r,,
2459472.0127894,ZTF_r,,
2459473.0022222,ZTF_r,-87.0986995276778,43.4741307147431
2459473.0046528,ZTF_r,4.20501817654493,42.8943230530838
2459473.0070718,ZTF_r,9.60635064053975,45.2605926723362
2459473.0094907,ZTF_r,-13.1501149626615,38.4975169404775
2459473.0119097,ZTF_r,-21.6388670329519,40.7709664520291
2459474.0034491,ZTF_r,,
2459474.0059838,ZTF_r,,
2459474.0085301,ZTF_r,,
2459474.0110648,ZTF_r,,
2459474.0136111,ZTF_r,,
2459477.0047917,ZTF_r,,
2459477.0072454,ZTF_r,,
2459477.0096991,ZTF_r,,
2459477.0121528,ZTF_r,,
2459477.0146181,ZTF_r,,
2459478.9641088,ZTF_g,,
2459484.9898032,ZTF_r,,
2459496.9692361,ZTF_r,,
2459497.0094676,ZTF_g,,
2459500.9750579,ZTF_g,,
2459501.0097338,ZTF_r,13.5839033534904,27.3278066536576
2459503.9103819,ZTF_r,,
2459504.0034144,ZTF_g,,
2459509.9340509,ZTF_g,,
2459509.994294,ZTF_r,,
2459511.9062731,ZTF_r,182.332627724798,69.1819613079913
2459511.9949537,ZTF_g,,
2459518.8646991,ZTF_g,,
2459519.020162,ZTF_r,1.547610011016,25.1064148062006
2459522.9868403,ZTF_r,12.1418442495077,27.6516064036907
2459523.0088889,ZTF_g,,
2459524.9584838,ZTF_r,-3.01286537299493,28.4146099468278
2459525.0188889,ZTF_g,,
2459526.9508796,ZTF_g,,
2459526.9988773,ZTF_r,-19.7191928672969,29.2404868720093
2459529.9154861,ZTF_r,-29.9055028190184,37.2678924066389
2459530.010787,ZTF_g,,
2459531.9331713,ZTF_r,-23.7666991382726,28.8478164517865
2459531.9729861,ZTF_g,,
2459536.9569444,ZTF_g,,
2459536.9681134,ZTF_r,5.83897494348891,45.3566600775881
2459538.9040394,ZTF_g,,
2459550.9158565,ZTF_r,0.841738846413567,27.2723922059438
2459550.933287,ZTF_g,,
2459622.7674306,ZTF_g,,
2459622.8652431,ZTF_r,968.354307155659,57.9459713621664
2459627.8656366,ZTF_r,1039.22875782359,110.602130875025
2459629.8431366,ZTF_r,985.199550735622,50.4823962221213
2459629.9117824,ZTF_g,,
2459636.7269329,ZTF_g,,
2459636.833125,ZTF_r,863.955185056383,41.3308961173271
2459638.8328819,ZTF_r,888.144032171939,36.8507600420205
2459638.8505903,ZTF_g,,
2459640.8047454,ZTF_g,,
2459671.7908912,ZTF_g,,
2459671.8288426,ZTF_r,,
2459674.7142593,ZTF_r,298.849707576135,29.0889100011586
2459674.8658449,ZTF_g,,
