julian_date,filter,flux,flux_unc
2458377.0220255,ZTF_r,-221.552632857776,118.44612705814176
2458380.0225231,ZTF_r,-66.4141675316488,148.08977662106588
2458384.0217477,ZTF_r,-65.3015508375816,174.7601166494568
2458387.0216782,ZTF_g,-220.241389528836,351.74860770340956
2458387.0221412,ZTF_g,-47.784522281536354,421.76143734573634
2458390.021412,ZTF_r,-231.735587521805,135.78641875896145
2458391.0217361,ZTF_r,-40.40572552698765,58.7083755069598
2458422.9384722,ZTF_g,-15.1884771789717,273.9599706843717
2458423.0017708,ZTF_r,-175.248793401707,291.7609347389279
2458423.9170023,ZTF_g,182.007979142404,241.35259068425057
2458423.9174653,ZTF_g,400.202681808968,499.7003448101011
2458423.9235417,ZTF_g,545.9506128815091,573.082283079569
2458424.0209606,ZTF_r,-459.539009617599,381.25519856833637
2458425.9169097,ZTF_g,-85.47276636238,129.60929853346292
2458425.9522338,ZTF_r,-403.61984193077757,50.7897326471633
2458425.9531481,ZTF_r,368.205816412761,227.67234442958448
2458426.0015278,ZTF_g,-161.05047454447995,381.26548195945986
2458426.9017708,ZTF_r,118.791422538866,96.96156664825925
2458426.9026852,ZTF_r,243.119166000672,252.68883925681484
2458426.9173032,ZTF_r,-9.787631536632055,46.4419997703313
2458426.9390741,ZTF_g,42.7762946151221,83.15112667412124
2458426.939537,ZTF_g,-243.34363630410596,131.3678161505216
2458426.9399884,ZTF_g,105.680917644136,84.54575773511148
2458426.9404514,ZTF_g,-253.21358056946798,141.24368090224655
2458427.9354282,ZTF_g,-32.659617525495456,597.6478277416418
2458427.936794,ZTF_g,143.380710749828,768.3139614161428
2458427.9580208,ZTF_r,-154.79764224700557,48.0239563158293
2458429.8967361,ZTF_r,456.750394897851,99.29277923355669
2458429.935544,ZTF_g,239.549936548715,95.73821951846283
2458429.9364583,ZTF_g,267.54978143926,358.4043359531836
2458429.9373727,ZTF_g,1.3771198131483144,95.42906202138688
2458430.9015856,ZTF_g,-50.9564170303682,125.25084773591318
2458430.9043634,ZTF_g,0.0,175.7712609208753
2458430.9175231,ZTF_g,143.46319229689703,118.21564108958883
2458430.9578356,ZTF_r,209.206260144129,66.14296744479066
2458431.8761921,ZTF_r,2928.09898355224,925.9859160816255
2458431.9135995,ZTF_g,2689.98853269756,500.49821109846124
2458432.8996644,ZTF_r,106.337944164045,184.0405975324153
2458432.9005787,ZTF_r,264.22203934590743,42.6402458765421
2458432.9166898,ZTF_r,182.80449998674942,45.9366957664418
2458432.9345139,ZTF_g,65.2152001116479,113.38887453015802
2458432.9354282,ZTF_g,12.8315581041073,322.49743713018034
2458432.9363426,ZTF_g,186.69854387483105,168.95724436869568
2458432.9372685,ZTF_g,110.01047357194105,74.09666156298198
2458434.8963079,ZTF_g,927.773025001301,395.0694836871252
2458435.8978819,ZTF_g,202.410606261848,622.1924618987788
2458435.8987963,ZTF_g,134.272525050096,869.9128674874165
2458436.8779398,ZTF_r,41.864796763041,195.06573440011516
2458438.8966088,ZTF_g,-13.3983964716856,80.29513576948227
2458438.9053935,ZTF_g,-59.32663579123676,122.54181336394154
2458439.0023727,ZTF_r,1030.9096836534204,95.5276568608361
2458439.858669,ZTF_r,102.35477310991416,120.72364221702101
2458439.861412,ZTF_r,-77.7770768333052,205.49643182070002
2458439.8815394,ZTF_r,198.00539732941843,41.2308027414452
2458441.8968287,ZTF_r,-123.56233249348956,49.5578905352429
2458441.9119907,ZTF_r,46.8251952079977,223.23699409523604
2458441.9129051,ZTF_r,62.7435932314869,521.7623847821889
2458441.9138194,ZTF_r,-3.5176203539142534,71.4240021130648
2458441.9393171,ZTF_g,-194.706872351751,200.9590879799657
2458441.9581713,ZTF_g,-1.3771198131483153,188.18527500766382
2458442.8795718,ZTF_r,-102.35477310991416,399.31976483105547
2458442.8969907,ZTF_r,-173.733566818578,177.96376171191818
2458442.8974537,ZTF_r,-143.308137113063,229.0003066547958
2458442.8989005,ZTF_r,3.5176203539142463,65.5929391432389
2458442.9173958,ZTF_r,504.64905317541144,72.7922823336888
2458442.9604745,ZTF_g,50.54988409003534,163.16575804500573
2458442.9609375,ZTF_g,33.8285897917273,139.4190400827124
2458443.8969329,ZTF_r,207.85956116120542,65.0166947284511
2458450.8555903,ZTF_r,-265.803325545562,364.8032016766306
2458450.8758449,ZTF_r,-565.7756057939336,59.9085103389221
2458450.8974421,ZTF_g,-242.46529533545197,232.9037150858075
2458450.9173148,ZTF_g,-133.946681439173,368.7767278515016
2458450.9182292,ZTF_g,-192.747973952428,199.0495291368439
2458466.7949306,ZTF_g,40.7656764791392,188.34198152745046
2458468.8045718,ZTF_r,-64.18624605322556,43.7170740503635
2458468.8050347,ZTF_r,344.24037362139444,41.1605869089831
2458468.8054861,ZTF_r,-40.55282592703665,40.0599579403956
2458468.8059375,ZTF_r,-376.15262930636754,47.1444964546943
2458468.8064005,ZTF_r,-649.5411449121765,62.7927864387475
2458468.8068519,ZTF_r,-453.61934262659355,46.7823997820295
2458468.8073148,ZTF_r,-87.97508625867556,41.0947073092152
2458468.8077662,ZTF_r,120.11118440428955,40.85460193768
2458468.8082176,ZTF_r,-54.98466727297075,39.1619029901219
2458468.8086806,ZTF_r,2.353574453599144,40.6546033239338
2458468.8091319,ZTF_r,-134.11647639907756,39.6853479417298
2458468.8095949,ZTF_r,-30.558219081045962,38.9597831701537
2458468.8100463,ZTF_r,114.70325990398334,40.2039836604064
2458468.8105093,ZTF_r,199.37375860854746,45.1870774222983
2458468.8109606,ZTF_r,237.95127352182845,41.1326274022939
2458468.8114236,ZTF_r,180.63424337630943,41.8296629968688
2458468.811875,ZTF_r,29.552882718066034,38.912187240815
