julian_date,filter,flux,flux_unc
2459140.0012616,ZTF_r,-21.5834592504165,29.1859226210322
2459141.9833796,ZTF_r,-53.3870219246343,37.5766878530201
2459143.9809259,ZTF_r,25.218429449642,30.1469338269916
2459147.0413426,ZTF_r,4.47011049970617,46.3923569988915
2459151.0227778,ZTF_r,-50.6665063737042,38.4603014429896
2459151.0431944,ZTF_r,7.71819607001546,61.2217116193473
2459152.0037731,ZTF_r,47.79391844104,67.2695093276936
2459152.0042477,ZTF_r,94.1982631164336,63.8520563788906
2459152.9788426,ZTF_r,-62.3519897406192,76.6261228215036
2459153.0000926,ZTF_r,96.2464788630984,67.0409892443524
2459153.0048727,ZTF_g,-76.6203486587338,83.6847212791448
2459153.0057986,ZTF_g,19.883956840858,75.3064188089135
2459153.9979514,ZTF_r,107.013418488425,83.0914943935483
2459153.9988889,ZTF_r,75.5656173872413,74.1198306100829
2459154.006956,ZTF_g,-19.2060791155094,98.6014505432922
2459154.0074306,ZTF_g,25.0995044554689,97.4301124138723
2459157.9610532,ZTF_r,93.0167605631047,76.5203143510118
2459157.9805903,ZTF_r,-23.1068641267377,83.1785768385112
2459158.0025694,ZTF_g,217.96834649834,89.6711679184349
2459158.0030324,ZTF_g,88.8442184090068,87.56349191302
2459159.0207986,ZTF_r,100.660075831163,81.3820247652871
2459159.0217593,ZTF_r,-3.72995650393075,95.5938674610666
2459160.0002315,ZTF_r,22.8162699692362,39.4830901284459
2459160.0088194,ZTF_g,-73.9958223269661,49.2762635275645
2459160.0092824,ZTF_g,106.943893866179,47.9626270381074
2459165.9378009,ZTF_r,40.6568809082181,32.4495270939373
2459166.0037384,ZTF_g,22.770419128495,27.6537021076313
2459166.9926389,ZTF_g,14.9861896537183,29.3765047075935
2459166.9931019,ZTF_g,31.4273159632427,28.1455852028442
2459167.038287,ZTF_r,15.5943921743186,40.6074305548431
2459167.0427894,ZTF_r,30.1361556696787,39.955744742293
2459168.9224537,ZTF_r,20.1309023015257,49.9092500998903
2459168.9238657,ZTF_r,-23.1972228093635,43.2013397879779
2459168.9807755,ZTF_g,-23.4119624022193,32.7098369046023
2459169.0573843,ZTF_g,36.3559681537079,69.7758973360773
2459169.9822338,ZTF_g,-75.7659923313814,41.2885195386409
2459169.9827083,ZTF_g,13.1979934459734,38.9981485869129
2459170.023206,ZTF_r,19.8880005451487,56.101658442163
2459170.0250463,ZTF_r,22.2089776942999,51.766419272929
2459171.0213773,ZTF_r,-56.9014642526224,34.4826933769155
2459171.9808681,ZTF_r,35.6153719270611,32.6149174478379
2459171.9826968,ZTF_r,39.7681254722176,31.2183718040687
2459172.0073843,ZTF_g,-50.6006353677552,28.8400685943245
2459175.0455324,ZTF_r,33.8604328531732,68.1550519089072
2459175.9814005,ZTF_r,-56.4381310510189,37.0377812018882
2459176.9854282,ZTF_g,13.0438551618723,24.8258722217183
2459177.0239931,ZTF_r,22.1799796846735,41.3777084462216
2459177.9826505,ZTF_r,8.36629752813118,32.1251485401719
2459178.0071065,ZTF_g,14.3397557908481,32.5452215795406
2459178.9812616,ZTF_g,18.9795493723828,23.4858459500267
2459179.0454282,ZTF_r,5.29352634307732,30.6204320230327
2459179.9597917,ZTF_g,-12.5279809039579,41.7298799661206
2459180.9423611,ZTF_r,-146.730132153119,100.880732508687
2459180.9792477,ZTF_g,-137.900328410283,75.1642427163518
2459182.9771991,ZTF_r,-40.9330941963985,59.2361720914955
2459182.9805556,ZTF_r,50.5585138485356,67.7504451231322
2459183.0226968,ZTF_g,40.1335613709533,90.5233278176149
2459183.0241088,ZTF_g,-93.5477468278584,81.4302517769783
2459184.8843519,ZTF_i,-110.794119722565,62.2964461225259
2459184.9385648,ZTF_g,-70.2606917837828,78.2875743261494
2459184.9390394,ZTF_g,-5.81937099852887,76.4491479307822
2459185.0000231,ZTF_r,40.0731122325528,66.5621056147873
2459185.8953356,ZTF_r,80.7834325602614,65.0880143880094
2459185.9419676,ZTF_g,-0.778823296832438,85.0961057898518
2459185.9824306,ZTF_g,-75.1379492477212,67.7048997334265
2459186.0427546,ZTF_r,-21.3470962786483,66.532441718823
2459187.9396065,ZTF_r,8.65261432254925,99.5660512248134
2459187.940081,ZTF_r,-75.0818282304109,92.6930099435634
2459188.0028009,ZTF_g,-28.9038549997616,117.513500760393
2459188.0032755,ZTF_g,42.1779330772093,133.721780937837
2459188.96125,ZTF_i,32.2584987365414,55.1430979586615
2459189.9406713,ZTF_r,27.3395708409642,100.118337260596
2459189.9818403,ZTF_g,-19.3412566881977,52.8953824619589
2459190.876794,ZTF_i,15.1847241503579,50.6273615566329
2459192.9366667,ZTF_g,27.4415966327718,62.5853793030035
2459192.9815162,ZTF_r,-69.8934803007191,88.8545407117241
2459193.9564583,ZTF_g,7.77508078884908,31.448782362534
2459193.9569329,ZTF_g,-15.5143946631833,28.8492012625247
2459194.9176273,ZTF_g,30.372369952301,36.7398626291437
2459194.9386458,ZTF_g,-87.4404671200262,38.4213321673284
2459194.9601042,ZTF_r,-23.787989886593,37.2812148832668
2459196.9172685,ZTF_g,-88.1426640995791,52.4174551416774
2459196.9396991,ZTF_g,-19.7238400949065,47.2717493480723
2459196.9608333,ZTF_r,44.5164665187179,56.1121674116102
2459199.8971065,ZTF_r,20.9497938237079,49.707851185565
2459199.9192245,ZTF_g,3.19521633142897,35.2897106881304
2459199.9499421,ZTF_r,-23.9567942891332,45.2973186909937
2459201.9079745,ZTF_g,-1.14756819380256,33.8707275403282
2459201.9404514,ZTF_r,-3.36477393521773,44.1084224972151
2459201.9422917,ZTF_r,-49.4475852839605,46.2871303087654
2459202.9311921,ZTF_i,-35.5906040369841,49.6636442739184
2459202.9316667,ZTF_i,-50.8700927053149,55.6214521773916
2459203.8781134,ZTF_g,-32.980577035004,41.7777479556504
2459203.878588,ZTF_g,36.7239688689115,37.7941565923199
