,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,parent_candid
0,ztf,59517.43428240018,1763434281415015007,2,1763434281415,20.611357,1,1763,3.1980126,19.890717,20.3457,0.20712523,0.3695,75.1041954,30.2117598,0.44142857,t17_f5_c3,0.9990443,19.9919,0.3325,658120214.0,True,False,False,correction_1.0.6,0.0,,,,
1,ztf,59517.45341440011,1763453411415015004,1,1763453411415,20.7002,1,1763,1.1869,20.2099,20.6626,0.23182,0.415,75.1042083,30.2117786,0.438571,t17_f5_c3,,20.4523,0.4334,,False,True,False,correction_1.0.6,0.0,19.643127,0.1290518,0.13754399,1.767371551415015e+18
2,ztf,59521.37155089993,1767371551415015009,2,1767371551415,20.619522,1,1767,3.0983768,19.48861,19.4968,0.11248281,0.1659,75.1042451,30.2117682,0.89428574,t17_f5_c3,0.999989,19.2398,0.1625,658120214.0,True,False,False,correction_1.0.6,0.0,,,,
3,ztf,59523.28348380001,1769283481415015004,2,1769283481415,20.499283,1,1769,3.2304668,19.278927,19.3981,0.10264364,0.1664,75.1041815,30.2117572,0.8957143,t17_f5_c3,0.9998412,19.5829,0.2454,658120214.0,True,False,False,correction_1.0.6,0.0,,,,
4,ztf,59523.34754629992,1769347541415015002,1,1769347541415,20.78515,1,1769,1.0387616,19.752089,19.9455,0.13131364,0.194,75.1041724,30.2117283,0.82857144,t17_f5_c3,0.9999974,20.1261,0.288,658120114.0,True,True,False,correction_1.0.6,0.0,19.34896,0.08299928,0.09058555,
5,ztf,59525.344502300024,1771344501415015001,1,1771344501415,20.627499,1,1771,1.0379013,19.996485,20.0871,0.15097217,0.2224,75.1042054,30.2117373,0.79571426,t17_f5_c3,0.99982786,20.0012,0.2594,658120114.0,True,True,False,correction_1.0.6,0.0,19.51151,0.08690224,0.096584454,
6,ztf,59525.37178240018,1771371781415015009,2,1771371781415,20.618477,1,1771,3.2787828,19.44,19.8111,0.12391784,0.226,75.1041834,30.2117824,0.8142857,t17_f5_c3,0.9999951,19.7401,0.263,658120214.0,True,False,False,correction_1.0.6,0.0,,,,
7,ztf,59527.35290510021,1773352901415015027,2,1773352901415,19.3355,1,1773,2.94244,19.2112,19.2476,0.260467,0.4085,75.1042662,30.2117189,0.494286,t17_f5_c3,,19.4131,0.6052,,False,False,False,correction_1.0.6,0.0,,,,1.776324421415015e+18
8,ztf,59530.32442130009,1776324421415015004,1,1776324421415,20.348387,1,1776,1.1736639,19.856363,19.7441,0.15541081,0.1913,75.1041234,30.2117522,0.80142856,t17_f5_c3,0.99998,19.5864,0.2098,658120114.0,True,True,False,correction_1.0.6,0.0,19.41981,0.09647241,0.103958495,
9,ztf,59530.38288189983,1776382881415015007,2,1776382881415,20.22123,1,1776,3.130688,19.418983,19.4363,0.12682684,0.1715,75.1041899,30.2117231,0.85571426,t17_f5_c3,0.99999875,19.2446,0.1796,658120214.0,True,False,False,correction_1.0.6,0.0,,,,
10,ztf,59532.406099500135,1778406091415015005,1,1778406091415,20.451195,1,1778,1.1955298,19.954329,20.1491,0.16045311,0.2822,75.1042001,30.2117827,0.8371429,t17_f5_c3,0.9999088,20.3351,0.4248,658120114.0,True,True,False,correction_1.0.6,0.0,19.484354,0.09561545,0.10407778,
11,ztf,59537.366458300035,1783366451415015006,2,1783366451415,20.512283,1,1783,3.133641,19.402813,19.5904,0.10748989,0.1932,75.1042066,30.2117408,0.9085714,t17_f5_c3,0.9999107,19.4944,0.2204,658120214.0,True,False,False,correction_1.0.6,0.0,,,,
12,ztf,59537.4064468001,1783406441415015005,1,1783406441415,19.9219,1,1783,1.3447,20.2456,19.7171,0.283051,0.3443,75.1043103,30.2118339,0.332857,t17_f5_c3,,19.5945,0.3929,,False,True,False,correction_1.0.6,0.0,19.664165,0.15842696,0.1656881,1.788200841415015e+18
13,ztf,59542.20084490022,1788200841415015004,2,1788200841415,19.841412,1,1788,3.1796064,19.428862,19.652,0.16149536,0.3458,75.1041915,30.2117487,0.92,t17_f5_c3,0.9999573,19.4261,0.3573,658120214.0,True,False,False,correction_1.0.6,0.0,,,,
