,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext
0,ztf,59266.29489579983,1512294890115015000,1,1512294890115,19.257301,1,1512,1.5503075,18.977661,19.3128,0.15489613,0.2177,152.4840972,-19.3383113,0.36857143,t17_f5_c3,0.9971777,19.3778,0.2967,315120101.0,True,False,False,correction_0.0.1,0.0,,,
1,ztf,59268.28869209997,1514288690115015000,1,1514288690115,19.641565,1,1514,1.6524061,18.86419,18.5947,0.11497105,0.1336,152.4840504,-19.3382036,0.73,t17_f5_c3,0.9999977,18.5134,0.1595,315120101.0,True,False,False,correction_0.0.1,0.0,,,
2,ztf,59268.33512730012,1514335120115015000,2,1514335120115,19.702484,1,1514,1.278822,18.804708,18.6486,0.11795761,0.1345,152.4840881,-19.3381918,0.8385714,t17_f5_c3,0.9999956,18.6724,0.1771,315120201.0,True,True,False,correction_0.0.1,0.0,18.277187,0.06437766,0.07256334
3,ztf,59270.27380790003,1516273800115015005,1,1516273800115,18.922886,1,1516,1.606782,18.82688,18.8469,0.14483058,0.2826,152.4840668,-19.3382455,0.75142854,t17_f5_c3,0.99502623,18.7357,0.328,315120101.0,True,False,False,correction_0.0.1,0.0,,,
4,ztf,59270.32520829979,1516325200115015003,2,1516325200115,19.092028,1,1516,1.451439,18.584852,18.5656,0.14320192,0.2013,152.4840539,-19.3382343,0.67142856,t17_f5_c3,0.9999979,18.4369,0.2302,315120201.0,True,False,True,correction_0.0.1,0.0,,,
5,ztf,59272.27262730012,1518272620115015003,2,1518272620115,18.702164,1,1518,1.4530472,18.466206,18.3622,0.18050237,0.2384,152.4840212,-19.3381704,0.73142856,t17_f5_c3,0.99993616,18.6593,0.4031,315120201.0,True,False,True,correction_0.0.1,0.0,,,
6,ztf,59272.37858799985,1518378580115015003,1,1518378580115,18.5339,1,1518,1.6607205,18.541424,18.4001,0.16493663,0.2976,152.484056,-19.3382824,0.6,t17_f5_c3,0.99856925,18.5957,0.4578,315120101.0,True,False,False,correction_0.0.1,0.0,,,
7,ztf,59276.25230319984,1522252300115015001,1,1522252300115,19.707407,1,1522,1.6944445,18.492695,18.5248,0.08878122,0.1017,152.4840378,-19.3381981,0.89,t17_f5_c3,0.99999774,18.5471,0.1331,315120101.0,True,False,False,correction_0.0.1,0.0,,,
8,ztf,59276.335196800064,1522335190115015003,2,1522335190115,19.359676,1,1522,1.3714924,18.463745,18.4187,0.113113776,0.1193,152.4840681,-19.3382097,0.75142854,t17_f5_c3,0.9997723,18.3898,0.1495,315120201.0,True,True,False,correction_0.0.1,0.0,18.05511,0.07268216,0.07763571
9,ztf,59280.231053200085,1526231050115015007,1,1526231050115,20.28688,1,1526,1.6327822,18.599878,18.6627,0.093168646,0.0754,152.4840574,-19.3382019,0.92285717,t17_f5_c3,0.9999918,18.6046,0.0915,315120101.0,True,False,False,correction_0.0.1,0.0,,,
10,ztf,59280.231053200085,1526231050115025007,1,1526231050115,20.2869,1,1526,1.63278,18.5999,18.6627,0.093169,0.0754,152.4840574,-19.3382019,0.922857,t17_f5_c3,,18.6046,0.0915,,False,False,False,correction_0.0.1,0.0,,,
11,ztf,59280.289803199936,1526289800115015002,2,1526289800115,20.313528,1,1526,1.4625216,18.440954,18.4226,0.07579434,0.0699,152.4840508,-19.3382375,0.89857143,t17_f5_c3,0.999967,18.4149,0.09,315120201.0,True,False,True,correction_0.0.1,0.0,,,
12,ztf,59280.289803199936,1526289800115025002,2,1526289800115,20.3135,1,1526,1.46252,18.441,18.4226,0.075794,0.0699,152.4840508,-19.3382375,0.898571,t17_f5_c3,,18.4149,0.09,,False,False,True,correction_0.0.1,0.0,,,
13,ztf,59290.252419000026,1536252410115015009,2,1536252410115,20.246109,1,1536,1.4128721,19.031681,19.1137,0.10563094,0.1435,152.4840519,-19.3382031,0.91714287,t17_f5_c3,0.99811137,19.1096,0.1859,315120201.0,True,False,True,correction_0.0.1,0.0,,,
14,ztf,59292.23587960005,1538235870115015006,2,1538235870115,20.214548,1,1538,1.4215554,19.028576,19.073,0.11406061,0.1463,152.4840387,-19.3381868,0.81857145,t17_f5_c3,0.9998836,19.059,0.188,315120201.0,True,False,True,correction_0.0.1,0.0,,,
15,ztf,59292.27543980023,1538275430115015003,1,1538275430115,19.972647,1,1538,1.5615892,19.531118,19.3423,0.17073591,0.1901,152.4840912,-19.3383017,0.65,t17_f5_c3,0.9999615,19.4256,0.2639,315120101.0,True,False,False,correction_0.0.1,0.0,,,
16,ztf,59294.231099499855,1540231090115015006,1,1540231090115,19.6084,1,1540,1.62136,19.7669,19.5467,0.226425,0.2717,152.4840632,-19.3382518,0.301429,t17_f5_c3,,19.6212,0.3742,,False,False,False,correction_0.0.1,0.0,,,
17,ztf,59294.28145830007,1540281450115015003,2,1540281450115,19.5464,1,1540,1.4920591,19.111254,19.1905,0.15521553,0.2442,152.4840378,-19.3382327,0.8414286,t17_f5_c3,0.9991908,19.1837,0.3128,315120201.0,True,False,True,correction_0.0.1,0.0,,,
18,ztf,59297.252488399856,1543252480115015005,2,1543252480115,19.144,1,1543,1.42832,19.1793,19.1364,0.23227,0.3106,152.4840597,-19.338228,0.481429,t17_f5_c3,,19.0873,0.3827,,False,False,True,correction_0.0.1,0.0,,,
19,ztf,59303.31428240007,1549314280115015002,2,1549314280115,18.9218,1,1549,1.48407,19.3413,19.4049,0.327334,0.4899,152.4840534,-19.3382557,0.592857,t17_f5_c3,,19.631,0.7763,,False,False,True,correction_0.0.1,0.0,,,
20,ztf,59305.31126159988,1551311260115015004,2,1551311260115,19.1056,1,1551,1.0707,19.535,19.4063,0.282482,0.3805,152.4841801,-19.3382249,0.532857,t17_f5_c3,,19.631,0.6033,,False,True,False,correction_0.0.1,0.0,18.666311,0.11752461,0.12691568
21,ztf,59309.21099539986,1555210990115015003,2,1555210990115,20.19368,1,1555,1.531436,19.775076,19.9902,0.17365067,0.3342,152.4840107,-19.3382062,0.73142856,t17_f5_c3,0.9999261,20.2395,0.5464,315120201.0,True,False,True,correction_0.0.1,0.0,,,
