,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,drb,rfid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext
0,ztf,59334.34716439992,1580347161615015003,2,1580347161615,19.3404,1,1580,8.12977,19.5694,19.3923,0.232297,0.3563,217.8827053,-24.4702356,0.302857,t17_f5_c3,19.4021,0.462,False,False,False,correction_0.0.1,0.0,,,,,
1,ztf,59336.39753470011,1582397532915035000,1,1582397532915,19.3466,1,1582,7.86882,19.8429,20.4646,0.315827,0.8999,217.8828477,-24.4702595,0.418571,t17_f5_c3,20.2553,0.9545,False,False,False,correction_0.0.1,0.0,,,,,
2,ztf,59336.39753470011,1582397532915025000,1,1582397532915,19.3466,1,1582,7.86882,19.8429,20.4646,0.315827,0.8999,217.8828477,-24.4702595,0.418571,t17_f5_c3,20.2553,0.9545,False,False,False,correction_0.0.1,0.0,,,,,
3,ztf,59339.29350689985,1585293501615015004,2,1585293501615,19.98829,1,1585,8.374965,19.710344,19.6962,0.19539629,0.2866,217.8827663,-24.4701923,0.75,t17_f5_c3,19.5051,0.3085,True,False,False,correction_0.0.1,0.0,0.9999399,274120216.0,,,
4,ztf,59339.31392360013,1585313922915015002,2,1585313922915,20.001575,1,1585,1.097771,19.808147,19.6323,0.18371347,0.2536,217.8828702,-24.470217,0.70428574,t17_f5_c3,20.1785,0.5377,True,True,True,correction_0.0.1,0.0,0.9998888,275120229.0,19.699345,0.16366506,0.16619569
5,ztf,59341.273206000216,1587273201615015009,2,1587273201615,20.1502,1,1587,8.46856,20.0127,19.7629,0.203524,0.2559,217.8828031,-24.4701848,0.511429,t17_f5_c3,19.8564,0.3575,False,False,False,correction_0.0.1,0.0,,,,,
6,ztf,59341.27414349979,1587274142915015004,2,1587274142915,20.311264,1,1587,1.2573951,19.80688,19.4394,0.18718305,0.1799,217.8828018,-24.4701168,0.50714284,t17_f5_c3,19.3618,0.2147,True,True,True,correction_0.0.1,0.0,0.9996762,275120229.0,19.698198,0.1668758,0.16935326
7,ztf,59341.29394679982,1587293941615015007,1,1587293941615,20.264511,1,1587,7.466428,19.798534,19.473,0.1600799,0.1702,217.8827648,-24.4702139,0.27285713,t17_f5_c3,19.3393,0.193,True,False,False,correction_0.0.1,0.0,0.9996574,274120116.0,,,
8,ztf,59343.27223380003,1589272231615015008,1,1589272231615,19.991072,1,1589,7.662504,20.026833,20.1405,0.21266782,0.399,217.8827417,-24.4701317,0.69285715,t17_f5_c3,19.9754,0.4397,True,False,False,correction_0.0.1,0.0,0.9965139,274120116.0,,,
9,ztf,59343.272708300035,1589272702915015005,1,1589272702915,19.9979,1,1589,7.80941,19.9944,19.4074,0.2187,0.2003,217.8826064,-24.4701292,0.162857,t17_f5_c3,19.1726,0.2071,False,False,False,correction_0.0.1,0.0,,,,,
10,ztf,59343.29379629996,1589293791615015004,2,1589293791615,19.9735,1,1589,8.41236,20.1508,20.1427,0.26699,0.425,217.882812,-24.4702094,0.482857,t17_f5_c3,20.207,0.5788,False,False,False,correction_0.0.1,0.0,,,,,
11,ztf,59345.3154397998,1591315431615015004,2,1591315431615,19.9827,1,1591,8.1729,19.9729,20.0208,0.22029,0.3773,217.8827589,-24.4702544,0.495714,t17_f5_c3,19.8651,0.4197,False,False,False,correction_0.0.1,0.0,,,,,
12,ztf,59346.37712959992,1592377122915015004,2,1592377122915,19.8993,1,1592,0.939352,19.991,20.0736,0.254858,0.4081,217.8827619,-24.4701988,0.478571,t17_f5_c3,19.754,0.3905,False,True,True,correction_0.0.1,0.0,,,19.86337,0.22408754,0.22659314
13,ztf,59348.33600689983,1594336002915015007,1,1594336002915,20.177925,1,1594,8.183609,19.998045,19.9265,0.18636496,0.2866,217.8829309,-24.4702035,0.6557143,t17_f5_c3,20.0959,0.4294,True,False,False,correction_0.0.1,0.0,0.9957377,275120129.0,,,
14,ztf,59349.29363430012,1595293631615015007,2,1595293631615,20.31668,1,1595,8.375588,19.924728,19.7812,0.17414908,0.2302,217.8828401,-24.4702411,0.6942857,t17_f5_c3,19.7692,0.2918,True,False,False,correction_0.0.1,0.0,0.999997,274120216.0,,,
15,ztf,59353.29392360011,1599293922915015005,2,1599293922915,19.714,1,1599,0.913419,19.7703,19.6071,0.251914,0.2852,217.8827632,-24.4702066,0.504286,t17_f5_c3,19.6248,0.372,False,True,True,correction_0.0.1,0.0,,,19.665049,0.22691973,0.22863993
16,ztf,59354.27229169989,1600272291615015003,2,1600272291615,19.5936,1,1600,8.14284,19.9431,20.0378,0.278766,0.4562,217.8828688,-24.4703452,0.258571,t17_f5_c3,19.9713,0.5515,False,False,False,correction_0.0.1,0.0,,,,,
17,ztf,59356.272962999996,1602272962915015001,2,1602272962915,19.2971,1,1602,0.061679,19.6832,19.3701,0.340487,0.3383,217.882603,-24.4704375,0.395714,t17_f5_c3,19.3775,0.4371,False,True,True,correction_0.0.1,0.0,,,19.58571,0.31015685,0.31124648
18,ztf,59363.29658559989,1609296582915015003,1,1609296582915,19.2134,1,1609,7.85365,19.6551,19.5942,0.324449,0.4256,217.8828563,-24.4702698,0.194286,t17_f5_c3,19.2062,0.3827,False,False,False,correction_0.0.1,0.0,,,,,
19,ztf,59363.31453699991,1609314531615015002,2,1609314531615,19.379,1,1609,8.14023,19.6743,19.1748,0.296193,0.2855,217.8826597,-24.4702005,0.325714,t17_f5_c3,19.0591,0.3295,False,False,False,correction_0.0.1,0.0,,,,,
20,ztf,59365.28263889998,1611282631615015002,1,1611282631615,19.7978,1,1611,7.55517,20.078,20.3968,0.242811,0.5193,217.8828155,-24.4702137,0.561429,t17_f5_c3,19.9322,0.4354,False,False,False,correction_0.0.1,0.0,,,,,
21,ztf,59366.27237269981,1612272372915015002,1,1612272372915,19.8939,1,1612,7.90887,20.2885,19.9396,0.295303,0.352,217.8826867,-24.4701383,0.307143,t17_f5_c3,20.0639,0.5065,False,False,False,correction_0.0.1,0.0,,,,,
22,ztf,59367.27193289995,1613271931615015003,1,1613271931615,19.944265,1,1613,7.7939444,19.875587,19.7671,0.21468529,0.2918,217.8828387,-24.4701493,0.47285715,t17_f5_c3,19.9043,0.4246,True,False,False,correction_0.0.1,0.0,0.99987495,274120116.0,,,
23,ztf,59368.293750000186,1614293742915015003,2,1614293742915,19.9684,1,1614,1.10904,20.0118,19.6201,0.280755,0.2484,217.8828741,-24.4702201,0.242857,t17_f5_c3,19.7576,0.3613,False,True,True,correction_0.0.1,0.0,,,19.881845,0.24672733,0.24908371
24,ztf,59369.18928240007,1615189281615015004,2,1615189281615,20.120636,1,1615,8.001277,19.651506,19.6261,0.15396541,0.2341,217.882698,-24.4702774,0.57714283,t17_f5_c3,19.494,0.266,True,False,False,correction_0.0.1,0.0,0.9993437,274120216.0,,,
25,ztf,59370.21206020005,1616212062915015002,1,1616212062915,19.9619,1,1616,7.84322,20.1553,19.8644,0.247799,0.2908,217.8827405,-24.4701939,0.29,t17_f5_c3,19.9553,0.4059,False,False,False,correction_0.0.1,0.0,,,,,
26,ztf,59370.252430600114,1616252432915015002,2,1616252432915,20.093622,1,1616,1.2612153,19.876415,19.7935,0.20118867,0.2876,217.882863,-24.4701519,0.8042857,t17_f5_c3,19.8806,0.3999,True,True,True,correction_0.0.1,0.0,0.99982846,275120229.0,19.760914,0.17828196,0.18088524
27,ztf,59371.189074099995,1617189071615015006,1,1617189071615,20.193369,1,1617,7.6799808,20.098059,20.2358,0.19844085,0.3901,217.8827975,-24.4701606,0.74142855,t17_f5_c3,20.084,0.4355,True,False,False,correction_0.0.1,0.0,0.9999496,274120116.0,,,
