,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase
0,ztf,59518.50049770018,1764500492715015015,2,1764500492715,20.346024,1,1764,12.462758,15.850145,15.8437,0.023572214,0.0076,137.8020834,17.5617269,0.86714286,t17_f5_c3,0.9999999,15.8404,0.0089,569120227,True,False,False,correction_1.0.6,0.0
1,ztf,59522.485902800225,1768485902715015012,2,1768485902715,20.557058,1,1768,12.460455,16.341845,16.351,0.025724916,0.0102,137.8020802,17.5617207,0.86,t17_f5_c3,0.99999046,16.3414,0.0121,569120227,True,False,False,correction_1.0.6,0.0
2,ztf,59522.50699070003,1768506992715015018,1,1768506992715,20.749622,1,1768,19.452986,16.070654,16.075,0.030542683,0.0074,137.8020768,17.5617317,0.91571426,t17_f5_c3,0.99999964,16.0688,0.0085,569120127,True,False,False,correction_1.0.6,0.0
3,ztf,59524.47826390015,1770478262715015015,2,1770478262715,20.539309,1,1770,12.475477,16.515915,16.5133,0.028409842,0.0118,137.8020819,17.5617203,0.89285713,t17_f5_c3,0.9999956,16.491,0.014,569120227,True,False,False,correction_1.0.6,0.0
4,ztf,59524.52517359983,1770525172715015013,1,1770525172715,20.702633,1,1770,19.458475,16.268192,16.2553,0.02743542,0.0083,137.8020812,17.5617352,0.88857144,t17_f5_c3,0.9999995,16.2496,0.0096,569120127,True,False,False,correction_1.0.6,0.0
5,ztf,59526.46564809978,1772465642715015015,1,1772465642715,20.639122,1,1772,19.440939,16.450733,16.4491,0.030017229,0.0099,137.8020822,17.5617292,0.89428574,t17_f5_c3,1.0,16.4497,0.0116,569120127,True,False,False,correction_1.0.6,0.0
6,ztf,59526.506458300166,1772506452715015023,2,1772506452715,20.586714,1,1772,12.472145,16.65059,16.6477,0.032199815,0.0127,137.8020908,17.5617299,0.9,t17_f5_c3,0.9999589,16.6453,0.0153,569120227,True,False,False,correction_1.0.6,0.0
7,ztf,59528.49733800022,1774497332715015011,2,1774497332715,20.31171,1,1774,12.465892,16.805277,16.7916,0.0336977,0.0153,137.8020837,17.5617182,0.8971428,t17_f5_c3,1.0,16.7737,0.0184,569120227,True,False,False,correction_1.0.6,0.0
8,ztf,59530.435601899866,1776435602715015005,1,1776435602715,19.718689,1,1776,19.354778,16.5424,16.5652,0.04322045,0.0129,137.8020707,17.5616986,0.45142856,t17_f5_c3,0.99674547,16.5213,0.015,569120127,True,False,False,correction_1.0.6,0.0
9,ztf,59530.46319440007,1776463192715015005,2,1776463192715,19.872984,1,1776,12.47002,16.93177,16.9393,0.03798619,0.018,137.8020768,17.5617166,0.7,t17_f5_c3,0.99984646,16.9104,0.0217,569120227,True,False,False,correction_1.0.6,0.0
10,ztf,59532.46392360004,1778463922715015013,2,1778463922715,20.432009,1,1778,12.439667,17.077662,17.0839,0.034446243,0.0198,137.8020718,17.5617247,0.9128571,t17_f5_c3,1.0,17.0663,0.0241,569120227,True,False,False,correction_1.0.6,0.0
11,ztf,59532.49878469994,1778498782715015007,1,1778498782715,20.53658,1,1778,19.453987,16.75065,16.7668,0.04479707,0.0133,137.8020841,17.5617353,0.89857143,t17_f5_c3,0.9999998,16.7713,0.0162,569120127,True,False,False,correction_1.0.6,0.0
12,ztf,59538.381516200025,1784381512715015004,1,1784381512715,19.104992,1,1784,19.477684,17.258923,17.1424,0.050613947,0.0563,137.8020486,17.561728,0.88,t17_f5_c3,0.9999933,17.1239,0.0709,569120127,True,False,False,correction_1.0.6,0.0
13,ztf,59538.442858799826,1784442852715015009,2,1784442852715,19.861597,1,1784,12.477637,17.504068,17.5388,0.04921372,0.0504,137.8020851,17.5617193,0.93,t17_f5_c3,0.99999946,17.5347,0.0639,569120227,True,False,False,correction_1.0.6,0.0
14,ztf,59550.401562499814,1796401562715015014,2,1796401562715,20.603394,1,1796,12.328103,20.476522,20.9484,0.20859648,0.5556,137.8020446,17.5617419,0.6514286,t17_f5_c3,0.99942535,20.7856,0.6138,569120227,True,False,False,correction_1.0.6,0.0
