,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,rbversion
19,ztf,58290.365335599985,536365333515010004,2,536365333515,20.8125,-1,536,0.13996956,19.98393,18.412302,20.3078,0.17311564,0.034101088,0.040708456,0.2614,265.607264,41.2195249,0.74333334,20.3542,0.3452,False,True,False,bulk_1.0.0,0.0,5.5134162461501e+17,0.0,724120235.0,
20,ztf,58290.40707179997,536407074615010001,1,536407074615,20.8784,-1,536,0.333031,20.3,18.728285,20.3048,0.225798,0.04485323,0.053092662,0.2239,265.6070916,41.2195674,0.666667,20.0622,0.2266,False,True,False,bulk_1.0.0,0.0,5.5134162461501e+17,,,
21,ztf,58293.2804744998,539280473515015001,2,539280473515,20.161777,1,539,0.08317504,19.741581,17.951202,19.5486,0.18781416,0.033048898,0.036105826,0.2165,265.6071862,41.2195121,0.6333333,19.4409,0.25,False,True,False,bulk_1.0.0,0.0,5.5134162461501e+17,0.0,724120235.0,
22,ztf,58293.305763899814,539305764615015004,2,539305764615,20.254444,1,539,0.4429193,19.862513,18.017754,20.0451,0.1553422,0.01788946,0.028404407,0.3375,265.6070442,41.2195367,0.8233333,20.3234,0.5563,False,True,False,bulk_1.0.0,0.0,5.5134162461501e+17,0.0,725120246.0,
23,ztf,58293.344745399896,539344743515015003,1,539344743515,20.056515,1,539,0.18172188,19.71132,18.222988,19.6074,0.15228981,0.03701178,0.03866679,0.2479,265.6071872,41.219477,0.7633333,19.5634,0.3045,False,True,False,bulk_1.0.0,0.0,5.5134162461501e+17,0.0,724120135.0,
24,ztf,58296.287766200025,542287763515010004,2,542287763515,20.0099,-1,542,0.379443,19.9936,18.41004,19.7872,0.227703,0.048088208,0.05295956,0.3333,265.6071727,41.2194266,0.6,19.7894,0.4281,False,True,False,bulk_1.0.0,0.0,5.5134162461501e+17,,,
25,ztf,58302.21596059995,548215964615015006,1,548215964615,20.915728,1,548,0.16733547,18.67646,17.831533,18.6527,0.084135264,0.036580715,0.038637362,0.0515,265.6072185,41.2194712,0.78,18.6464,0.0631,False,True,False,bulk_1.0.0,0.0,5.5134162461501e+17,0.0,725120146.0,
26,ztf,58305.21656250022,551216563515010007,1,551216563515,20.7865,-1,551,0.422957,20.3706,18.763668,20.5875,0.229769,0.048953183,0.05230206,0.3247,265.6071514,41.2194133,0.676667,20.3727,0.3382,False,True,False,bulk_1.0.0,0.0,5.5134162461501e+17,,,
27,ztf,58305.31885420019,551318854615010011,1,551318854615,20.8022,-1,551,0.217587,20.2282,18.74588,20.1064,0.220377,0.048292246,0.05626494,0.1914,265.6072767,41.219542,0.633333,20.3207,0.2949,False,True,False,bulk_1.0.0,0.0,5.5134162461501e+17,,,
28,ztf,58305.34162040008,551341624615010009,2,551341624615,20.396069,-1,551,0.043918088,20.191027,18.433231,20.0704,0.20081015,0.02315235,0.03978024,0.2668,265.6072177,41.2195209,0.64666665,19.9278,0.2981,False,True,False,bulk_1.0.0,0.0,5.5734174461501504e+17,0.0,725120246.0,
29,ztf,58311.22313660011,557223133515015008,2,557223133515,19.792746,1,557,0.19071247,18.8715,17.720991,19.0084,0.13512222,0.045328826,0.046829894,0.1614,265.6072373,41.2194773,0.75666666,18.971,0.1983,False,True,False,bulk_1.0.0,0.0,5.5734174461501504e+17,0.0,724120235.0,
30,ztf,58311.34174769977,557341744615015015,1,557341744615,20.75117,1,557,0.22936869,19.990597,18.254002,19.8167,0.17886183,0.031122029,0.036130954,0.1776,265.6072503,41.2194645,0.66,19.8444,0.2293,False,True,False,bulk_1.0.0,0.0,5.7619276461501e+17,0.0,725120146.0,
31,ztf,58314.220960599836,560220963515010004,2,560220963515,20.597672,-1,560,0.1428909,19.736036,18.479843,19.6776,0.13108541,0.033750046,0.041217085,0.1781,265.6071691,41.2195028,0.79,19.7313,0.2377,False,True,False,bulk_1.0.0,0.0,5.89328874615015e+17,0.0,724120235.0,
32,ztf,58314.33024309995,560330243515010007,1,560330243515,20.7745,-1,560,0.532296,20.4873,18.73877,20.4306,0.228515,0.041959744,0.045656435,0.298,265.6071373,41.2193864,0.656667,20.2321,0.3151,False,True,False,bulk_1.0.0,0.0,5.89328874615015e+17,,,t8_f5_c3
33,ztf,58318.34467589995,564344673515015010,2,564344673515,20.590967,1,564,0.092151016,20.33571,18.042936,20.5392,0.19438751,0.017412093,0.02352658,0.3671,265.6071842,41.2195122,0.75666666,20.2066,0.3425,False,True,False,bulk_1.0.0,0.0,5.89328874615015e+17,0.0,724120235.0,t8_f5_c3
34,ztf,58320.20483799977,566204834615015010,1,566204834615,20.504665,1,566,0.03572634,18.608244,17.799673,18.6598,0.09471637,0.043325648,0.044977676,0.0809,265.6072103,41.2195091,0.77666664,18.6355,0.1,False,True,False,bulk_1.0.0,0.0,5.89328874615015e+17,0.0,725120146.0,t8_f5_c3
35,ztf,58320.2790045999,566279004615015008,2,566279004615,20.431868,1,566,0.051190957,19.842686,18.014101,19.5677,0.20828117,0.03179256,0.03865592,0.1951,265.6072042,41.2194979,0.5833333,19.5778,0.2504,False,True,False,bulk_1.0.0,0.0,5.89328874615015e+17,0.0,725120246.0,t8_f5_c3
36,ztf,58321.27707180008,567277073515010003,2,567277073515,20.300072,-1,567,0.12323214,19.725384,18.483215,19.7533,0.16131249,0.045570947,0.051380746,0.2464,265.6071817,41.2194998,0.76,19.7965,0.3276,False,True,False,bulk_1.0.0,0.0,5.89328874615015e+17,0.0,724120235.0,t8_f5_c3
37,ztf,58321.39475690015,567394753515010004,1,567394753515,20.6289,-1,567,0.493697,20.3516,18.76804,20.1607,0.254839,0.056313466,0.0592709,0.2461,265.6071149,41.219405,0.59,20.1679,0.3154,False,True,False,bulk_1.0.0,0.0,5.89328874615015e+17,,,t8_f5_c3
38,ztf,58323.38115740009,569381154615015002,1,569381154615,19.896193,1,569,0.25573128,19.21128,18.045174,19.3564,0.14860538,0.048457358,0.050768204,0.2481,265.6071796,41.2194485,0.75,19.3122,0.3047,False,True,False,bulk_1.0.0,0.0,5.89328874615015e+17,0.0,725120146.0,t8_f5_c3
39,ztf,58330.19276619982,576192764615010008,1,576192764615,20.853174,-1,576,0.027069738,20.22096,18.747736,20.4246,0.19279748,0.040341575,0.049637694,0.2733,265.6072098,41.2195138,0.62666667,20.6175,0.4136,False,True,False,bulk_1.0.0,0.0,5.89328874615015e+17,0.0,725120146.0,t8_f5_c3
40,ztf,58330.32378470013,576323783515010001,2,576323783515,20.0532,-1,576,0.103717,19.7165,18.48606,19.5752,0.222494,0.06757035,0.071637854,0.271,265.6072402,41.2195461,0.546667,19.6251,0.3634,False,True,False,bulk_1.0.0,0.0,5.89328874615015e+17,,,t8_f5_c3
41,ztf,58333.17468750011,579174684615015023,1,579174684615,20.958982,1,579,0.3936937,20.21984,18.296572,20.5509,0.15721567,0.018728927,0.026741672,0.2864,265.6072871,41.2194309,0.6933333,20.4678,0.3343,False,True,False,bulk_1.0.0,0.0,5.89328874615015e+17,0.0,725120146.0,t8_f5_c3
42,ztf,58333.175162000116,579175163515015019,1,579175163515,20.7724,1,579,0.56479,19.9546,18.279787,19.8394,0.236237,0.049119584,0.05051531,0.1622,265.6072876,41.2196684,0.58,19.8207,0.2008,False,True,False,bulk_1.0.0,0.0,5.89328874615015e+17,,,t8_f5_c3
43,ztf,58336.21725689992,582217254615015020,2,582217254615,20.784117,1,582,0.37385118,20.052883,18.050161,20.1525,0.18285182,0.017858364,0.028907482,0.2423,265.6070705,41.2195367,0.68666667,20.0535,0.2794,False,True,False,bulk_1.0.0,0.0,5.89328874615015e+17,0.0,725120246.0,t8_f5_c3
44,ztf,58336.24107640004,582241074615015015,1,582241074615,20.922815,1,582,0.108982265,18.793541,17.883738,18.8562,0.086920135,0.035263617,0.037600994,0.0613,265.6072405,41.2195266,0.79333335,18.873,0.0771,False,True,False,bulk_1.0.0,0.0,5.89328874615015e+17,0.0,725120146.0,t8_f5_c3
45,ztf,58336.24155090004,582241553515015019,1,582241553515,20.77389,1,582,0.13086727,18.760736,17.892744,18.7368,0.12004763,0.053335257,0.05397052,0.0571,265.6072405,41.2194958,0.69666666,18.7157,0.0696,False,True,False,bulk_1.0.0,0.0,5.89328874615015e+17,0.0,724120135.0,t8_f5_c3
46,ztf,58340.177118100226,586177114615015018,2,586177114615,20.41501,1,586,0.1394998,19.710289,17.988277,19.9693,0.1937643,0.033357255,0.039670624,0.2907,265.6071602,41.2194944,0.64666665,20.2293,0.4692,False,True,False,bulk_1.0.0,0.0,5.89328874615015e+17,0.0,725120246.0,t8_f5_c3
47,ztf,58340.179537000135,586179533515015015,2,586179533515,20.3905,1,586,0.409124,20.072,18.007399,20.2447,0.259714,0.035633612,0.03878416,0.3602,265.6071089,41.2194416,0.616667,20.434,0.544,False,True,False,bulk_1.0.0,0.0,5.89328874615015e+17,,,t12_f5_c3
48,ztf,58343.158171299845,589158173515010008,2,589158173515,20.642912,-1,589,0.14517349,19.737503,18.479383,20.3745,0.19851358,0.057645027,0.06230776,0.3266,265.6072448,41.219496,0.50666666,20.3231,0.3958,False,True,False,bulk_1.0.0,0.0,5.89328874615015e+17,0.0,724120235.0,t8_f5_c3
49,ztf,58343.17651619995,589176514615010008,1,589176514615,20.8572,-1,589,0.158096,20.3602,18.714602,20.1869,0.259587,0.049644634,0.057022106,0.2068,265.6071706,41.2194795,0.67,20.1585,0.2549,False,True,False,bulk_1.0.0,0.0,5.89328874615015e+17,,,t12_f5_c3
50,ztf,58343.328877300024,589328874615015018,2,589328874615,20.552584,1,589,0.05426233,19.163635,17.851748,19.2234,0.121635705,0.031009464,0.036333427,0.1313,265.6071954,41.2195253,0.7033333,19.1909,0.1611,False,True,False,bulk_1.0.0,0.0,6.13215963515015e+17,0.0,725120246.0,t8_f5_c3
51,ztf,58346.179236100055,592179233515010005,2,592179233515,20.655636,-1,592,0.14593108,20.136248,18.379387,20.5298,0.21343972,0.03640941,0.04231856,0.371,265.6071588,41.2195178,0.68333334,20.3686,0.4061,False,True,False,bulk_1.0.0,0.0,6.13215963515015e+17,0.0,724120235.0,t8_f5_c3
52,ztf,58346.32855319977,592328554615010003,1,592328554615,20.6449,-1,592,0.285503,20.2872,18.731318,20.3822,0.245615,0.051210143,0.058600478,0.3313,265.6072596,41.2194508,0.703333,20.3611,0.4139,False,True,False,bulk_1.0.0,0.0,6.13215963515015e+17,,,t12_f5_c3
53,ztf,58349.16012729984,595160123515015007,1,595160123515,20.273207,1,595,0.11535211,19.133436,18.044727,19.0836,0.16756018,0.060735364,0.06147337,0.1329,265.6072427,41.219506,0.64666665,18.9551,0.1504,False,True,False,bulk_1.0.0,0.0,6.13215963515015e+17,0.0,724120135.0,t8_f5_c3
54,ztf,58349.19333329983,595193334615015008,1,595193334615,20.460632,1,595,0.08051445,19.654612,18.177235,19.386,0.18004024,0.042892966,0.046176303,0.16,265.6072139,41.2194978,0.5733333,19.3195,0.1914,False,True,False,bulk_1.0.0,0.0,6.13215963515015e+17,0.0,725120146.0,t8_f5_c3
55,ztf,58352.213356500026,598213353515010004,2,598213353515,19.8606,-1,598,0.135072,19.6982,18.492018,20.3297,0.224469,0.06992649,0.07390665,0.573,265.6072037,41.2195641,0.623333,20.1224,0.6067,False,True,False,bulk_1.0.0,0.0,6.13215963515015e+17,,,t12_f5_c3
56,ztf,58355.24721059995,601247214615010002,2,601247214615,20.0855,-1,601,0.162352,19.7964,18.531849,20.0536,0.260704,0.073225714,0.08134432,0.4332,265.6072384,41.2195501,0.67,20.1817,0.6246,False,True,False,bulk_1.0.0,0.0,6.13215963515015e+17,,,t12_f5_c3
57,ztf,58355.248622700106,601248623515010002,2,601248623515,20.018799,-1,601,0.12186108,19.6912,18.494333,19.6242,0.17742804,0.053822316,0.058921695,0.2927,265.6071789,41.2195522,0.68666667,19.4114,0.3083,False,True,False,bulk_1.0.0,0.0,6.13215963515015e+17,0.0,724120235.0,t8_f5_c3
