,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,drb,rfid
0,ztf,59248.27144679986,1494271445415015011,1,1494271445415,19.8209,1,1494,1.74845,19.9438,19.6172,0.334779,0.2513,127.4411937,-21.8801209,0.351429,t17_f5_c3,19.5373,0.2985,False,False,False,correction_0.0.1,0.0,,
1,ztf,59248.358576400205,1494358575415015026,2,1494358575415,19.715666,1,1494,1.7749978,19.84876,20.5938,0.1980683,0.7558,127.441185,-21.8800952,0.70285714,t17_f5_c3,20.165,0.6516,True,False,False,correction_0.0.1,0.0,0.99833626,262120254.0
