julian_date,filter,flux,flux_unc,proc_status_code
2458305.9657407,ZTF_g,-0.196617650338568,59.7783567061277,0
2458314.9422338,ZTF_r,22.6872634753086,29.653333461864,0
2458314.9770139,ZTF_g,-3.4402165348751,25.8674011348891,0
2458320.9639583,ZTF_g,8.32474659509784,20.0354589574841,0
2458320.985463,ZTF_r,-7.81145008697977,27.0269761636135,0
2458323.9429745,ZTF_g,-28.5432933623481,21.8733245273626,0
2458323.9855903,ZTF_r,-41.2604397840273,27.8193777759953,0
2458327.9848727,ZTF_g,113.892221616294,71.1373062323124,0
2458330.9205556,ZTF_r,7.23844849293691,69.6109413124362,0
2458330.9848611,ZTF_g,4.79373725040742,63.3302442237447,0
2458336.9735532,ZTF_r,85.2856931956082,29.2537445360545,0
2458336.9850579,ZTF_g,-31.3084321871208,37.403141221445,0
2458340.9413773,ZTF_r,-10.4625332571986,24.8840084201408,0
2458340.9841435,ZTF_g,-4.37511638547429,18.7974027491323,0
2458343.9578819,ZTF_g,7.05104939053468,18.9836695570617,0
2458345.9409259,ZTF_g,-11.5074771973424,17.4881569645929,0
2458345.9752431,ZTF_r,-47.0990511122978,21.5826940110514,0
2458346.955,ZTF_r,4.16659833514453,22.8668000214699,0
2458346.9568171,ZTF_r,-58.639278527874,22.0075537056376,0
2458346.9715856,ZTF_g,19.503946371751,17.8998013665633,0
2458346.9725116,ZTF_g,17.9978384537798,20.147923840833,0
2458347.9418287,ZTF_r,-9.10806392481613,20.2438294253085,0
2458347.9812616,ZTF_g,-39.6142419566621,22.3866627756185,0
2458348.934537,ZTF_r,-21.3055114220783,21.0539584282714,0
2458348.9824653,ZTF_g,-10.5094027493771,22.5846529795808,0
2458349.9236111,ZTF_g,24.9989112250046,18.0858326392681,0
2458349.9245139,ZTF_g,-8.25151960667044,19.1249674777,0
2458349.9955324,ZTF_r,7.32733011171075,22.2087822337974,0
2458349.9964468,ZTF_r,-31.5357406531282,23.4131511770817,0
2458350.9612384,ZTF_g,16.1122006574966,16.8535355370024,0
2458351.0003356,ZTF_r,-26.3703230579137,23.5489253486321,0
2458351.9490162,ZTF_g,22.0721743519082,18.4094711834815,0
2458351.9935069,ZTF_r,-14.4058543962704,18.0710438682027,0
2458352.9395486,ZTF_g,56.977827522292,18.9375599462548,0
2458352.940463,ZTF_g,-4.41651943368733,16.8717967310767,0
2458352.9965741,ZTF_r,16.2203934043674,16.9106391307973,0
2458352.9974884,ZTF_r,-29.9095828786603,19.5037966357461,0
2458353.9408681,ZTF_r,-70.3808637039917,23.4560833094793,0
2458353.9843519,ZTF_r,-15.252369079182,19.3355105535494,0
2458354.9405556,ZTF_r,25.3624791231768,36.6607700629427,0
2458355.0003819,ZTF_r,-62.6912899608568,20.8148642206056,0
2458355.891169,ZTF_r,-120.286347600266,64.934478850184,0
2458355.8920833,ZTF_r,233.449509200486,68.9648956677803,0
2458355.9990972,ZTF_r,-79.9930663241034,33.2495098666587,0
2458356.9390972,ZTF_r,-91.1455975255888,51.9549216936273,0
2458356.9992361,ZTF_r,11.8556581089487,48.4289340176739,0
2458357.933912,ZTF_r,4.07903384576941,55.0692889257507,0
2458357.983912,ZTF_r,-62.6535503108541,49.0519053599834,0
2458358.9422222,ZTF_r,-22.0850312758052,57.044811862959,0
2458358.9431366,ZTF_r,70.9093336798859,54.4205808798633,0
2458359.9405093,ZTF_r,-224.761688615158,141.722312779339,0
2458359.981713,ZTF_r,-359.845762264167,161.91602369954,0
2458363.913588,ZTF_g,-4.1660259659241,47.8004184430882,0
2458363.9145023,ZTF_g,13.028780918706,46.8530076281519,0
2458363.9779167,ZTF_r,-4.47234738999797,40.2486464574733,0
2458363.978831,ZTF_r,42.6856694315834,38.4771745721918,0
2458364.9279745,ZTF_g,34.9166500799181,34.1169204073569,0
2458364.9989699,ZTF_r,9.60141572856822,26.6084623160778,0
2458365.9188079,ZTF_g,54.9863559589045,28.5397370579029,0
2458365.9974653,ZTF_r,-39.679498536494,26.8975543161511,0
2458366.9278472,ZTF_g,15.7136503863973,21.4245890915185,0
2458366.930162,ZTF_g,-22.6498328678392,22.8286242429922,0
2458366.9968634,ZTF_r,-35.7496609228463,23.1789094726001,0
2458366.9986921,ZTF_r,-30.9816688369921,23.7866482261307,0
2458367.9309491,ZTF_g,59.1375389993015,19.1853692093304,0
2458367.9836343,ZTF_r,-2.6670700430945,22.0244470087102,0
2458368.9080556,ZTF_g,58.8724297013578,20.3784237749752,0
2458368.9400926,ZTF_r,23.3180497394227,23.9489655371551,0
2458369.9235069,ZTF_r,8.53053140232323,23.9215168453415,0
2458369.9337037,ZTF_r,-9.71679845922428,25.6922095856165,0
2458369.9766667,ZTF_g,50.9898651760283,20.9806290160964,0
2458369.977581,ZTF_g,45.6969839105956,19.9251635597028,0
2458370.9543634,ZTF_g,64.0001014641187,20.2272673615741,0
2458370.9984954,ZTF_r,12.2086716849729,23.7373631141489,0
2458371.8914583,ZTF_g,42.7804071899459,20.2750592305295,0
2458371.9424769,ZTF_r,-63.683799236559,24.7931658393139,0
2458372.9401273,ZTF_g,30.3260634678353,23.7755311104225,0
2458372.9410417,ZTF_g,18.8351816545517,19.035382152277,0
2458372.9855787,ZTF_r,20.5260078291476,22.8120215946934,0
2458372.9869792,ZTF_r,-39.3563634197822,23.3687282572457,0
2458373.9196065,ZTF_g,32.7355361831122,22.733744285479,0
2458373.9779167,ZTF_r,-115.05697361783,25.8185958617774,0
2458374.8829167,ZTF_r,-1.83572010596232,23.2459294611314,0
